"Symbol","Th1","Th2","Th1/2","Th0","s_th1_th2","s_th1_thm","s_th2_thm","s_th1_th0","s_th2_th0","s_th0_thm","switch_thm","switch_th0"
"Gtf2e2","2",NA,NA,"1",NA,NA,NA,TRUE,NA,NA,FALSE,TRUE
"Mre11a.1","2","1","2","1",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Got2","2","1","1","2",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"Zfp518b","2",NA,"1","1",NA,TRUE,NA,TRUE,NA,FALSE,TRUE,TRUE
"Ppp2r3c","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Rai14.1","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Ralb","2","1",NA,"1",TRUE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE
"Fem1b","2","1",NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE
"Spcs3.1","2","1","2","1",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Tfrc","2",NA,"1",NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE
"Mre11a","2","1","2",NA,TRUE,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
"5730455P16Rik",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Dab2ip.1",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Wdr34",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Dab2ip",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Egfl7.2",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Ube2m",NA,"1","2","2",NA,NA,TRUE,NA,TRUE,FALSE,TRUE,TRUE
"Ptpla",NA,"1","2","2",NA,NA,TRUE,NA,TRUE,FALSE,TRUE,TRUE
"Csda.1",NA,"1","2",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"BC017643",NA,"1","3",NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE
"Atg2a",NA,"1",NA,"3",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Atg2a.1",NA,"1",NA,"3",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Rbm4b",NA,"1",NA,"3",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE
"Gvin1",NA,"3","1","1",NA,NA,TRUE,NA,TRUE,FALSE,TRUE,TRUE
