"Symbol","cor_th1_th2","cor_th1_thm","cor_th2_thm","cluster"
"Gbp2.2",-0.0326246967947939,0.516293919381785,0.620996888779141,5
"Pter",0.4572842228245,0.794591183916001,0.853375703785755,5
"2310046K01Rik",0.489920064655799,0.791355955096685,0.843509547154478,5
"Tspan13",-0.131793747865387,0.400295533893025,0.470656936497467,5
"Ophn1",0.420942180077779,0.582155987304504,0.605095081236212,5
"Il18rap",0.198095827653028,0.518449039566141,0.563107200331775,5
"Rnf138.1",0.419827878920246,0.744446689417463,0.789813645757719,5
"Syngr1.1",0.569271734738373,0.829324417889534,0.870172007080402,5
"4732418C07Rik.1",0.0663693409557113,0.350430181207983,0.393163175925772,5
"Zfp609.1",0.399830394145609,0.598357394984664,0.627574331176448,5
"Brd1.1",0.398689435847951,0.714144080468131,0.760186822835521,5
"Tpm3.3",0.149349412736256,0.526507558045489,0.581431529749691,5
"Suox",0.360779025462049,0.651777153940343,0.674856052191747,5
"Orc4l",-0.103849681880431,0.227400683534222,0.253432495781723,5
"Furin.2",0.568984749703654,0.855302047470628,0.877738649081544,5
"Trim3.1",0.00364685255672361,0.287929248162601,0.308001681222633,5
"Gcsh",0.200571747905635,0.379907698080958,0.392958972329561,5
"Tnfsf13b",0.562600550290295,0.800998367136006,0.815044291437703,5
"Lsm14a",0.545826260420432,0.722493987755376,0.733076767329155,5
"Ikzf5.1",-0.341595084616533,0.345042981452325,0.388637021884317,5
"Dscr3.2",0.578420764027668,0.647537594677805,0.65209236320646,5
"Stt3b",0.460157071087986,0.770588623395755,0.791609636190914,5
"Nrgn",-0.0305841911671394,0.538379120767984,0.577069222169121,5
"Pfdn1",0.442885163936141,0.558079889003223,0.569457772255458,5
"Epm2aip1.4",0.353382104302726,0.777562193991651,0.814707918915698,5
"Tmprss6",0.384087910080289,0.591328246023134,0.610124786007564,5
"Basp1",0.483804909966176,0.834203790683912,0.865933447688401,5
"Cyfip1",0.221223858542567,0.543311219665749,0.583393628314428,5
"Bnc2.1",-0.116151246456647,0.00785721408553391,0.0229675644885558,5
"Hexb.1",0.540979391405406,0.700898998578183,0.718198253570813,5
"Tspan6",-0.225743391602241,0.422860882156984,0.49705806187337,5
"Muc13.1",0.0348556983497695,0.451145573618688,0.497498485594557,5
"2810439F02Rik.1",0.0145800434140142,0.337990473268101,0.313772848487174,5
"Bak1",0.5484918468639,0.775192751925943,0.759124252350396,5
"Bzrap1",0.399148576326232,0.840928405306592,0.809964840864909,5
"Adar.3",0.0516024637962465,0.476941742316753,0.442995655047918,5
"Btbd12",0.348949800678147,0.691746102406376,0.662838948275476,5
"Als2.1",0.313854349992043,0.712508644799044,0.679509962111149,5
"Tnfsf10",0.332264883587713,0.794285757171831,0.753404784194332,5
"Lefty1",-0.0895963875966045,0.588186224297601,0.528591391825913,5
"Olfr832",-0.704321299756502,-0.184359267678911,-0.233026780617189,5
"Mon1a.1",0.114800506028772,0.634419225360328,0.587321936251161,5
"Ergic2.1",0.382659831447982,0.72322717023294,0.692171690556275,5
"Rgs1.1",-0.0475810230646326,0.498419138939714,0.474880299451059,5
"Pard6g",0.355780368196173,0.784683049451003,0.768831991669059,5
"Ipmk.2",0.550624108662909,0.849257404112839,0.839060564999786,5
"Parp14.1",-0.00462281113097611,0.548480707185537,0.514545205978134,5
"Tns4",0.562411188687241,0.667424198072602,0.66168038862275,5
"Hk3",-0.0121413729967409,0.509899911998322,0.484156294754134,5
