"Symbol","cor_th1_th2","cor_th1_thm","cor_th2_thm","cluster"
"D10Bwg1379e",0.679645924747705,0.564859165690082,0.950544408332076,2
"Mgll.1",0.689032974931946,0.596597240991531,0.952115829229662,2
"Atg2a.1",0.620981690382563,0.584703375798064,0.982217295410387,2
"Rapgef5",0.628188969028195,0.60922959473406,0.988055960749066,2
"Adh4",0.623380353317131,0.610269731086153,0.976746627502487,2
"Foxq1",0.619990114937683,0.598148232643228,0.938293224739328,2
"Fth1.1",0.617854017076781,0.613935375781458,0.937215483470602,2
"Trex1",0.633558888487807,0.58970358081559,0.947721424166501,2
"Smg6",0.655839789235259,0.600165266492796,0.955430341005107,2
"Trex1.1",0.646426786618934,0.591941266336671,0.957359961864442,2
"1700037H04Rik",0.722173649900934,0.622746845439436,0.925978169666641,2
"R74862",0.712825353535839,0.627911756249575,0.941410614817261,2
"Dhdh.1",0.717676128479292,0.626886155220665,0.968838077308301,2
"Hrc",0.735898191717934,0.64540188231166,0.954604738120429,2
"Nol3.1",0.706651498780697,0.628956010137727,0.992610317048901,2
"1700025K23Rik",0.693040791406767,0.634009413526517,0.988506296934402,2
"Eng",0.688803818496764,0.656761685448184,0.971392172161872,2
"Stambpl1",0.707024592418304,0.672224476042371,0.972998171614293,2
"Gga1.2",0.722841325816238,0.641380680217653,0.9008222251813,2
"1200015F23Rik.1",0.698457689395511,0.648419115993459,0.908090477959365,2
"5930434B04Rik.3",0.704569640715439,0.639296488427155,0.899010514600364,2
"Gab3.2",0.672165195563139,0.62930945985003,0.948361019620786,2
"Rgs3",0.671772179949531,0.62489358854196,0.909780295949521,2
"Shh",0.675234199532822,0.593617619437613,0.916851589176045,2
"Sbsn",0.718436554805264,0.549656006640047,0.858033698836365,2
"St3gal2.1",0.699415435810987,0.558002391961089,0.862567356877006,2
"Arpc1a",0.737522151464335,0.565569620899077,0.822258815460984,2
"Snf8",0.728635572960763,0.582780362781248,0.852591790429807,2
"Ulk1.1",0.731886271785088,0.528209163067202,0.906366028567123,2
"Rusc2.1",0.736209319816434,0.587519693288002,0.886919211021882,2
"Pde6d.1",0.754931308632566,0.577402332983025,0.888522343879647,2
"Mtr",0.761295984571278,0.587871279543273,0.895596980790608,2
"Prkg2",0.708858445851916,0.617798385617082,0.844761006672866,2
"Sra1.1",0.687416723472831,0.599656149350922,0.826257353284456,2
"Rusc1",0.683784004134019,0.619336859111847,0.816065775638899,2
"Nek4",0.664840991175833,0.66206870563718,0.843370198783531,2
"Hipk2",0.689617253212462,0.65339504084576,0.873309078179264,2
"Pde6d.3",0.654504283645634,0.635287074444156,0.872411007889357,2
"Hrbl",0.652364227022246,0.600291210551679,0.86897540642238,2
"Arhgef2.1",0.626969840189723,0.610202471876549,0.88467313138797,2
"Jag2",0.658221893298247,0.593803400702722,0.838279961044933,2
"Pkd2",0.64843036529329,0.623880452123964,0.802819290563213,2
"Rps15",0.609875586583466,0.613755297409581,0.820749071254451,2
"Mov10.1",0.661572112797583,0.46865963685784,0.952199299167053,2
"Irf9",0.626100322516422,0.521107407813918,0.9439776955533,2
"Ulk1",0.635033796989538,0.52934523192741,0.952578461201761,2
"Acvrl1",0.629835251587508,0.505699997727112,0.773689369545611,2
"Dync1i2",0.624446448687026,0.473504517813275,0.805092265828698,2
"Mbtps1",0.619419783783393,0.496720797574232,0.829724549100173,2
