"Symbol","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster"
"Gramd2.1",0.398285816190179,0.282914337534092,0.134331922184972,9
"Akr1c14",0.281441464243822,0.145570029997301,-0.0171573057328226,9
"Epas1.1",0.331871437711716,0.121284908290091,-0.133161456423568,9
"Sprr2a.1",0.508853265007005,0.417147890592271,0.314372316967113,9
"Wdr47",0.375836686193385,0.306219420627014,0.233654821928045,9
"Myo1c.1",0.411230302724998,0.200257507306937,-0.0106371784623201,9
"EG331493.1",0.123576975170247,-0.275627704599697,-0.631245967980142,9
"Pdzrn3.1",0.336344975524906,0.269979529334167,0.210137087562809,9
"Aire.1",-0.0259793303574704,-0.0815606148895018,-0.128185935526125,9
"Bak1",0.5484918468639,0.269355696083021,0.0260994167292242,9
"Nol3.2",0.585391867906107,0.447813088114422,0.329031069579397,9
"Thbs3.2",0.0781068426602006,-0.330161111843716,-0.623339740131994,9
"Ppm1k.1",0.3903387295649,0.104147333023145,-0.0654612036339236,9
"Kel",0.253241362349356,0.127279454915979,0.0524881018512737,9
"Ktn1",0.417840645193338,0.296489977679932,0.219907600919378,9
"Noxa1",0.320369285607316,0.221644162629176,0.157315578411463,9
"4930535E21Rik",0.403853373150272,0.0745382467663895,-0.0847870582064715,9
"Gstt4",0.489728351696761,0.0332720802903253,-0.189752390932658,9
"Stard10",0.476297531566906,0.296698871655935,0.203912591809717,9
"Muc1",0.165060523828645,-0.0435278140538792,-0.158382397264304,9
"Mapk8ip3.1",0.420055059378217,0.115215630767768,-0.0520137828974854,9
"Ifi47",0.129693942176568,-0.19608685957238,-0.314255154773069,9
"Atp12a",0.23633795630226,-0.071015974385683,-0.181717157942853,9
"Zfp446",0.366214916957617,0.183418440644485,0.102373782528902,9
"Taar3.1",0.475037606458554,0.00296043167395642,-0.194839354437882,9
"BC040758",0.323403944337643,0.153066057344443,0.10522440421649,9
"2810408A11Rik.1",0.503814521658038,0.378338320843913,0.340283648909946,9
"Amacr",0.527187831187364,-0.147594806300337,-0.311046655974088,9
"A730008L03Rik",0.365557948170193,0.25891344449766,0.233597785862817,9
"Plcb4",0.561892934278431,0.163213368961626,0.0604489672073797,9
"Figla",0.515662193467382,-0.232616866878726,-0.430489166988717,9
"Psd3",0.112048837182691,-0.258508291252908,-0.336357402784466,9
"Abcg2",0.559037860860741,0.289094445855578,0.243921190893164,9
"Leprel2",0.44372346761855,0.201003556042726,0.158284201121525,9
"Sardh",0.500937454982603,-0.551319142536345,-0.660438876486358,9
"Aox1",0.512145953229135,-0.10568091355338,-0.162713266237557,9
"Dao1",0.586094099017993,0.0981924521639902,0.0556772737656918,9
"Rims4",0.506716774195929,0.366531665455719,0.347947828016479,9
"Ubr2.1",0.599864778352603,0.470716757185484,0.450323188491259,9
"Mcam.2",0.439948879410117,0.0962949724700971,0.0462331626277018,9
"Syngr1",0.36705707558985,0.26306061539806,0.306511245945704,8
"Cep250.1",0.133246098722738,-0.62108905391313,-0.298001456600505,8
"Trim3",0.569084019312156,0.256564924642871,0.391171655536504,8
"Sts",0.469804074010693,0.0595925561973205,0.236090086181965,8
"1700045I19Rik",0.354483515570845,0.208748699591823,0.26557377523364,8
"C230029F24Rik",0.517860115793508,-0.504864710286286,-0.128437509054118,8
"D6Mm5e",0.491253930534042,-0.107498684107386,0.117505711456917,8
"Hook1",0.323449847409198,-0.318333781666254,-0.0206093095125627,8
"Zdhhc16",0.558096388263274,0.210397732232257,0.37788826589882,8
"Lamc3.2",0.211946361728302,-0.251795540060662,-0.0275132044165628,8
"Sema6b",0.520078373094442,-0.326589444614267,0.101627697594584,8
"2610109H07Rik",0.483192439161424,-0.103290527884788,0.2008293341632,8
"Car7",0.304490043101994,0.183349032724434,0.245610631628143,8
"6820408C15Rik",0.491601915647407,0.0050061531081551,0.276186452546217,8
"V1rh17.1",0.598758254070215,0.226379712252094,0.427117923805714,8
"Mod1",0.572209833920349,0.233289863520846,0.318524640664813,8
"Efr3b",-0.0978277685579704,-0.287850661784014,-0.240809055036741,8
"P2rx3",-0.138312992457324,-0.622059750939845,-0.523555907350103,8
"Crhr1.1",0.267191047759973,-0.272204355984116,-0.159926834460422,8
"Iigp2",0.420083985446683,-0.0912986859737977,0.0788576938790181,8
"Apba3",0.565920039232831,0.273928491802565,0.368470400236767,8
"Krt86.1",0.236507319731829,-0.0733001012371456,0.0271899534586304,8
"Dysf",0.591192803915252,-0.216414966904984,0.0476619645410846,8
"Igfbp3",0.292875223854187,0.0847931745351236,0.152606325165584,8
"Lpar2.1",0.579716443146505,-0.0340905097161062,0.138335743459818,8
"4933407P14Rik.1",0.457270254952349,-0.352668336468616,-0.107674420991697,8
"4931429I11Rik",0.466444299220962,-0.134130938624857,0.0419403210382246,8
"Adora3.1",0.431994848390419,0.0444590561301357,0.106352460998772,8
"Zkscan2",0.332167522014267,-0.0782055200979785,-0.0292236566446988,8
"Tinagl.1",0.0931549637174398,-0.494233104614556,-0.426987234077805,8
"Cyp2b10.1",0.522124741301496,0.104069068735385,0.151448148278855,8
