"Symbol","cor_th1_th2","cor_th1_thm","cor_th2_thm","cluster"
"Syne1.2",0.932403831203084,0.8871985483088,0.852365164707776,7
"Trerf1",0.893099336726316,0.763532535867828,0.660202219000997,7
"Nfkbie",0.811602774525869,0.339751090857769,-0.0294229867595971,7
"Eef1d",0.581584660096345,0.374878388094901,0.212338604358709,7
"Slc41a2",0.724714277166441,0.660241395749841,0.613819010624112,7
"Rorc.1",0.822352872366257,0.576884050265767,0.398626915221427,7
"Jmjd1b.1",0.753938835031792,0.615716686985166,0.524481665976133,7
"Rbm47.3",0.784948021465765,0.744815518693651,0.717389958893875,7
"G3bp2.2",0.929411932508586,0.889615523176988,0.870035967628171,7
"Tuba1a",0.904595290252146,0.566374842644731,0.385851861026507,7
"Med28",0.489903669652951,0.373418740632839,0.313424290689926,7
"Tgm4",0.751244638409289,0.690687651535443,0.65646825632929,7
"Olfr1166",0.651381280088705,0.311774012812159,0.103507246111225,7
"Aktip",0.87243446947531,0.7980589286869,0.753217980865577,7
"4933407P14Rik.1",0.457270254952349,0.312376369538941,0.220984353767388,7
"4930578C19Rik",0.497184171385251,0.190137382078578,-0.00694987891743913,7
"Ppm1k.1",0.3903387295649,0.145007045162396,-0.185302502117038,7
"Igfbp3",0.292875223854187,0.0898341815189579,-0.192981309358179,7
"Slc30a4",0.410185450897464,0.290345577398545,0.124962455952263,7
"Serpina3g",0.775354121199518,0.617999817603324,0.43847429453434,7
"Igtp",0.588998116882003,0.505270379249965,0.407908478556753,7
"Cdkn2a.2",0.597164646499011,0.502964509228116,0.385332746999558,7
"Tnni1",0.886108973134189,0.801539003118407,0.695938785261635,7
"Kcnmb1",0.738527265671487,0.546043768059632,0.309625616198936,7
"Olfml3",0.33833099229158,0.321286479706881,0.300580945224333,7
"2510003E04Rik",0.806769563750825,0.641277342751464,0.43922221147727,7
"2810407C02Rik.3",0.781865823915641,0.728147952455539,0.673363718181043,7
"Ciz1.1",0.748525055794601,0.491820578914078,0.215165252428075,7
"2610109H07Rik",0.483192439161424,0.257276590892648,0.0192754207239038,7
"Cnot4",0.825281830080823,0.772139117965835,0.721466581572688,7
