"Symbol","cor_th1_th2","cor_th1_thm","cor_th2_thm","cluster"
"Mest",0.741302984304619,0.824432685244813,0.640791428790816,5
"Irf8",0.689449879810145,0.772105853468855,0.590860202223193,5
"Oas3",0.865201017623382,0.952325407554125,0.762995719742553,5
"Nrp1",0.109928400705837,0.376410800035033,-0.193474250634442,5
"Ryk",0.962905617264635,0.98208577695477,0.94074556003473,5
"1500012F01Rik.1",0.92357885220066,0.951971156298005,0.893816963398642,5
"Ak3.1",0.95279913626663,0.980011258310168,0.923870575987313,5
"2010001J22Rik.1",0.959660610809786,0.969128274974292,0.94940140889074,5
"Bmpr1a.1",0.968997632541589,0.980814442254832,0.956124062362533,5
"Hint3.1",0.9182288902098,0.972126073317679,0.858214370955487,5
"Msh5",0.909480684488726,0.972371438190942,0.840063317926232,5
"Hnrpk.2",0.721199342824948,0.779706560764567,0.656920069157044,5
"Gadd45gip1.2",0.151884616598768,0.33161636901053,-0.0977901184025665,5
"Ctns",0.172575996557168,0.423787815144666,-0.182378807514483,5
"Yme1l1.2",0.904755744281061,0.93783088575801,0.858273833941115,5
"Otop1",-0.0436321501024559,0.242227926466368,-0.444361586454375,5
"Enpp5",0.202314807171675,0.675390030272213,-0.460681484060526,5
"Ap2s1.1",0.796540117228352,0.85088887877984,0.718332068132977,5
"Strn4.1",0.335052297011843,0.537466055767441,0.0409327427450031,5
"Nasp.2",0.958859958793802,0.970011098326236,0.942509366578425,5
"Cdk5rap2.1",-0.260910506667704,-0.0559886317114186,-0.514031236218431,5
"Rad21",0.807288984295856,0.917495114804361,0.667509869314964,5
"Stk39",0.873234030934807,0.95730690278361,0.767097029157205,5
"Rtn3.1",0.829316383867209,0.899349506397707,0.741176564072811,5
"Tulp3",0.882738650802501,0.97253891284051,0.764593485847425,5
"Zfp364",0.180468940506194,0.556611602032203,-0.312916260199655,5
"March10",0.371735652209885,0.621753530470419,0.0477549283415601,5
"Amy2-2.1",0.908450935465677,0.952274639959274,0.851248718042806,5
"Lrp11",0.734579278977078,0.830778167030466,0.60384387516066,5
"Ifnb1",0.374319850112053,0.642507653905826,0.0112161774682367,5
"Scand1",0.882418557293349,0.916562110199689,0.836866801614918,5
"St6gal1",0.854777874093789,0.918252113416156,0.770772031917597,5
"Cd93",0.244243715725625,0.367192445666931,0.0813551674182124,5
"OTTMUSG00000005737",-0.0234173551587788,-0.00858781318828301,-0.0431153095223258,5
"Cyp20a1.1",0.958655148085934,0.989047760902992,0.91834413996806,5
"2700081O15Rik",0.70011212188409,0.804573357379443,0.629269847191601,5
"Cxcl16",0.661431393155471,0.890959539014001,0.507346779981495,5
"Dbi.1",0.946597281013811,0.953232580995799,0.942138462235806,5
"Oraov1",0.955419694413516,0.968221559062046,0.947195957150922,5
"Apob48r.1",0.555165464611075,0.829988035095045,0.38131567317441,5
"Zfp652",0.369071301796374,0.638657887411674,0.180120069948134,5
"Il28ra.1",0.499336719001096,0.765293695106272,0.314341932110201,5
"Nipa1",0.891300854783768,0.960367348974546,0.842251429970602,5
"Olfr571",-0.387675885587708,0.187498218700261,-0.80167109524452,5
"Parp2",0.865532167101119,0.892829201056288,0.845914701801236,5
"Tcfl5",0.690471979933212,0.798407132150101,0.611590615948174,5
"Scotin",0.686571012970088,0.822805652147462,0.585656065465318,5
"2810008M24Rik",0.690799406911557,0.695210715034564,0.687537669469327,5
"Stx4a",0.868979926865704,0.897631307061083,0.847232314919979,5
"Pigz",0.97366864134012,0.994905733077988,0.95727501169967,5
"Dcxr",0.983648082304233,0.99218338246547,0.974991662725952,5
"Fahd2a.3",0.906198471844618,0.933795951255909,0.878715669189657,5
"Lgals6",0.856559649542752,0.925824399458781,0.791202638933435,5
"Thap1.1",0.853538980753945,0.909951038762641,0.80008058709164,5
"Gtf3c5",0.950290000265592,0.979181983855518,0.92226124357506,5
"Cox5b",0.876704258160623,0.916602729738839,0.838333731257025,5
"Pdik1l",0.909433555972835,0.93608794284507,0.883892966759332,5
"Rad51l3.2",0.84560278601693,0.889287247120831,0.809080008210742,5
"Ube2t",0.903836282759411,0.946726590997197,0.869551078249877,5
"Gabarapl2",0.0373118451015816,0.419260104723678,-0.27015109152243,5
"Kcnk10",0.760572886092726,0.828089688892017,0.700798235940727,5
"3830402I07Rik",0.137315441629014,0.33926790786227,-0.0398776005438377,5
"Rpl12",0.867949423566831,0.888737317328614,0.849833249155179,5
"Spag7",0.902895917925805,0.920648618400602,0.88748149717251,5
"Nusap1.2",0.964675925858281,0.993352732968732,0.939762068259393,5
"Bcl9.1",0.331467150745844,0.611728675915383,0.0904622191379511,5
"Nusap1",0.862702243787215,0.960300368256892,0.779016801710698,5
"Arsi",0.159984412701266,0.266471200360502,0.0687572045090433,5
"St6galnac4.3",0.619321710936269,0.78689500435363,0.46913125843846,5
"Tln2",0.768685968729844,0.839401520124956,0.704816726787848,5
"Fgl2",0.304392205875257,0.676521072987715,-0.0326970478791744,5
"Coro1b.1",0.92628190053811,0.97368961841125,0.883318584502619,5
"Olfr31",0.210411993786219,0.442553616717436,-0.0002169918308059,5
"Eif2ak2",0.882731156681524,0.932928182688538,0.837148104208382,5
"5230400G24Rik",0.913727073490176,0.926253019862846,0.902218721012233,5
"M6prbp1",0.966542783390413,0.984622850448893,0.949669735904892,5
"G6pc2",0.615356094698854,0.83671914532281,0.410425842392927,5
"4833439L19Rik.1",0.304540433276624,0.513954383817736,0.110375143604961,5
"Smchd1",0.414621254850578,0.703890053812469,0.260920010031284,5
"Agrn",0.875154815975314,0.950413401671877,0.833344600388697,5
"Dfna5h",0.652590872615385,0.907620013523879,0.498424438608937,5
"En2",0.127324745316501,0.264018828803234,0.0440688114758271,5
"Ppm1j",0.910561977455684,0.957764542560399,0.883049230072168,5
"Aldh5a1",0.880207823214865,0.958558914827313,0.833946218324356,5
"4930434E21Rik.1",0.0861611614678786,0.593844986774717,-0.213261063310108,5
"Sqrdl",0.889000142670017,0.955639581418951,0.86178793350083,5
"Dst.4",0.341326839200354,0.673751829309173,0.205909939117626,5
"H2afj",0.686578368655986,0.783092355355279,0.644918729388651,5
"Mapk8ip3.1",0.420055059378217,0.846839642348589,0.231286035006323,5
"Snx12",0.807035994642105,0.812237801932197,0.80466672082154,5
"Ube2u",-0.25390309351306,0.318691431122842,-0.516957374899712,5
"Mre11a",0.951019421019404,0.976425648468182,0.939056177722753,5
"Fbxl10.7",-0.243164754375733,-0.126336968196203,-0.299203228081969,5
"1700019D03Rik",0.736146310813168,0.954497200902179,0.625689249951463,5
"Msh5.1",0.95904479677633,0.967664272446199,0.954626262135036,5
"Il15.2",-0.0167369077623897,0.505033395788222,-0.275312141378823,5
"Arhgap18",0.985523159682672,0.987805705597238,0.984406804629004,5
"Tcea3",0.529578427446089,0.615387083737712,0.487770600730424,5
"1700113I22Rik",0.921211935372231,0.969381548210437,0.897772835582966,5
"Ube2f.2",0.261626638213002,0.69320542616387,0.205300403234446,5
"Fut10.3",0.64719350869619,0.851539163798566,0.620670455891481,5
"Tmem132a",0.409375282476588,0.672397276726307,0.372783420241424,5
"Gpr81",0.39557816139167,0.615566249881982,0.365445299721512,5
"Aldh2",0.988744867171888,0.993276322003431,0.988051266249583,5
"Gadd45g.1",0.782750625426813,0.890601926213946,0.766118475078648,5
"Got1l1",0.809636947727901,0.949397971417316,0.788037360344086,5
"Slc38a3",-0.131631796737823,0.722501214138684,-0.25393818710488,5
"Sncg.1",0.802806686443642,0.85813213438651,0.79457831139203,5
"Arhgap1",0.935908994088482,0.962174965653615,0.930533565795415,5
"Cenpl.1",0.969814946108411,0.980752189210215,0.967631255531185,5
"Mt3",0.248565286013133,0.550237537062031,0.191562923148241,5
"Entpd5.3",0.7469934783148,0.941908270714376,0.710322376788428,5
"Edem2.2",0.889474963603429,0.946787146934599,0.87836559046167,5
"Ltb4r1",0.933593686645326,0.998934119475495,0.920985857810997,5
"Pik3r5",0.15103524295246,0.369043124072012,0.114844479645604,5
"Gm106.1",-0.158656732903457,0.864774636638196,-0.330307746602198,5
"Ckap2l",0.952451293448615,0.983456048212118,0.94737534221451,5
"Zfp82.1",0.58222210915624,0.683022968291315,0.565762708096657,5
"Mta2",0.498240633956652,0.783487975743714,0.45211575524645,5
"Tnfrsf13b",0.91410827990701,0.978681812169094,0.903789995090996,5
"Ly6k",0.778366517683415,0.816066294908544,0.772317971425186,5
"Krt10",0.955233437268287,0.988204767661408,0.949528563429066,5
"Adar.2",0.342241461703851,0.680670816153822,0.282983479791412,5
"Ascc2.2",0.0669057138412513,0.349167177160377,0.0154690954920325,5
"Zwint",0.826881142436203,0.935666877769472,0.807312847108285,5
"Capn1.1",0.812371659481223,0.900027195839274,0.796558094887562,5
"Mmp1a.2",0.159918794324813,0.725789491199572,0.0576179310055119,5
"Ltbp1.3",0.210815516290252,0.603321139292757,0.0603780571926415,5
"Tspan17.2",0.962871765598999,0.98710984912617,0.953595908629349,5
"Snx27.2",0.853684585458025,0.920572755328508,0.82951838659545,5
"Kynu",0.611495194018389,0.681122934713331,0.586087108976726,5
"Igf2bp3.2",0.952669121207203,0.979644189534681,0.942754679515978,5
"Gadd45g",0.836087983804465,0.938958447073684,0.802632342406325,5
"Dhrs4",0.833884377502703,0.956797389288818,0.794126930530766,5
"Itih5.1",0.975001016790577,0.994780011914676,0.96863040092661,5
"Ncaph2.2",0.92434664296417,0.966348280079723,0.910291820122163,5
"2900011O08Rik",0.585200570469684,0.939515587753061,0.468537430277292,5
"Gja5.1",0.231721370679048,0.262173533297915,0.221661415205856,5
"Fcer2a.2",0.766019491616379,0.842154638193549,0.740789326445043,5
"Ndufb8",0.925575126220358,0.941886516428366,0.919862802690305,5
"Cacnb3.1",0.481891339258248,0.715463541972667,0.399950686822811,5
"Sart3",0.615971221725765,0.852364155208177,0.53309744968102,5
"Htatsf1",0.899154204577456,0.907246877519549,0.896281767488549,5
"Rab11fip2.1",0.823416779375863,0.927377582972413,0.786694672660931,5
"Ddx6.3",0.604839589540779,0.788832607128156,0.539906034705659,5
"Mal2",-0.0533749330727758,0.378549903927998,-0.200293978984584,5
"Prx",0.593066168197855,0.793546862684769,0.524600147787994,5
"Trim30",-0.202767699961356,0.849458939861343,-0.562066862422282,5
"Alg8",0.847169991598911,0.953080587124187,0.810732195156157,5
"Ascc1.1",0.941036399840368,0.959081928785628,0.934770668223318,5
"Gm561.1",0.797884006239886,0.892011994858405,0.771138410580059,5
"1700023B02Rik.2",0.894468659111126,0.965729185469625,0.874308284918664,5
"Eraf",0.356905035255284,0.590931835997012,0.290792193248782,5
"Zfp583.1",0.550404842291053,0.924376960523723,0.44757778583899,5
"Rai14.1",0.729060815955997,0.92123640873486,0.677090980016461,5
"V1rd7",0.251662278441326,0.606571261939829,0.155030017815851,5
"Irf1.4",0.857617802932943,0.959276736312793,0.826334145545246,5
"Stoml1",0.385388782707329,0.613422865055467,0.316916543702528,5
"Mak10.1",0.922820983223805,0.942840419914146,0.916849175076557,5
"Rnase4",0.98657069330589,0.99197717817746,0.984954092678712,5
"Pbx4.1",0.858627083278194,0.951545707306648,0.830853103172661,5
"4632415K11Rik",0.657793007063318,0.743789028784022,0.632517439488133,5
"Klk1b11.1",0.146733823941172,0.640547866232304,0.002983206439887,5
"Nr1d1",0.334281981992551,0.699244243302479,0.243934880223573,5
"Acot10",0.804929386612492,0.917571634470787,0.776659728494644,5
"Cxcr3",0.147955288170689,0.882886979526421,-0.0380491967708381,5
"Ddx6",0.780972569639793,0.883281631405286,0.753768459978205,5
"EG547109",-0.0904457284960093,0.42311100214567,-0.226878553437123,5
"Slc30a7",0.896075179753912,0.923244606345998,0.88907905416942,5
"2610042L04Rik.1",-0.103107821407017,0.355762963393952,-0.222363666008666,5
"Cnot4.2",0.85264741730234,0.887669390958539,0.844405946187753,5
"Samd3.1",-0.27867057681158,0.240446906263897,-0.400116565368299,5
"Eif3s10.2",0.260390646676347,0.346178890744085,0.240278334347786,5
"Cacnb3.3",0.792204164877819,0.879567743915086,0.773379934526077,5
"Cttnbp2nl",0.498854318591911,0.663739902339305,0.461492265551901,5
"Crhbp",0.460098606519973,0.686418149171907,0.409850480118846,5
"Eps8",0.860087262884507,0.954961733594821,0.839151664910553,5
"Ly6d.1",0.579697225182786,0.83552946047928,0.523411574177943,5
"Ndst2",0.783226263998791,0.756960304482222,0.604416723573382,10
"Elovl6.1",0.899839157201436,0.885488708392278,0.803359946810174,10
"Bcas2",0.788353888568237,0.779209926680403,0.726958947798347,10
"Herc4",0.729156932118676,0.708607240806317,0.598837019096384,10
"Pml.1",0.837733700546051,0.785299047757987,0.49547514661068,10
"Tmtc2",0.37631362030947,0.366194450921081,0.311122114052523,10
"1810021J13Rik.1",0.960359246239292,0.957789141280424,0.943795716271236,10
"Angptl3",0.784190637926955,0.740879700815483,0.387976408299047,10
"Traf6.3",0.869858628073237,0.853182780826324,0.711404842584034,10
"Agps.1",0.632354520390381,0.615110650396538,0.469757067256005,10
"Srp72",0.900501920461015,0.869353279017329,0.674554507423354,10
"Mapbpip",0.796725625480173,0.776272379692578,0.648237741263213,10
"Tpd52l1",0.33698259533848,0.216425447067532,-0.528434520317725,10
"Crmp1.1",0.456717870391518,0.405584149529252,0.0912717017453313,10
"Tspan31",0.845511127079543,0.817315732786316,0.610035978841485,10
"Wif1",0.346220917013105,0.288960811205393,-0.132013304533678,10
"Zfp91-cntf",0.793659237064804,0.776836700445115,0.66486050103957,10
"Tfdp2",0.953162010722716,0.951875189367261,0.943024829581597,10
"Mtap6.3",0.601425027844662,0.507120429578346,-0.156424695781102,10
"Otub2.2",0.825782017710109,0.820915233972943,0.661511088863767,10
"Zdhhc7",0.915849782591026,0.915061745546335,0.884152154578167,10
"Pkn3",0.931395101170264,0.930590534430872,0.891641404223577,10
"EG240327.1",0.132006563856384,0.131313345633413,0.0983418662501805,10
"Zcchc12",0.481508185117975,0.479139602580521,-0.0303678009935982,10
"Treml2",0.79583020082965,0.795004656249539,0.556589648886144,10
"1700030J22Rik",0.506334943509339,0.504642854093454,0.386216193482955,10
"9530066K23Rik",0.512185644514694,0.508151673303126,0.108320568483335,10
"Th1l",0.796921950193583,0.794948502950539,0.618001670967437,10
"Klhl26.1",0.904938401529624,0.894720781259868,0.730803800596266,10
"Snx25",0.82874125509863,0.82105306753049,0.690644880322169,10
"Mrpl44",0.757466147241316,0.744084761406626,0.521732307591695,10
"Fut7",0.855446308093112,0.852532136915228,0.786562701992329,10
"Sept10.1",0.743002079846385,0.741851996250865,0.717488427749758,10
"Ttll11",0.29828597767571,0.259599732080175,-0.537672311529517,10
"Apoa1bp.1",0.963934261317065,0.961060268583195,0.931598974470861,10
"Prkce",0.650349306474441,0.620973754899747,0.313442654121311,10
