"Symbol","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster"
"Msr2",0.246881011229285,0.544624603010664,0.443480074570383,4
"Tom1",0.628966754378556,0.81406407864043,0.75123167418575,4
"Palm.1",0.625547978138894,0.774547021081547,0.723987835873948,4
"Slc7a8.1",-0.392236259690011,0.16962239216279,-0.0210232133911515,4
"4932417I16Rik.1",0.298587546458538,0.511142365505084,0.438764983328638,4
"Nol3.1",0.706651498780697,0.945023477596438,0.863630496235129,4
"Clcn7",0.686522333725191,0.897495843510591,0.825446342243182,4
"Upb1",0.388323041688436,0.88958851836604,0.716054031214532,4
"Sema3b",0.670195436288843,0.942590805044374,0.848870774247315,4
"Muc1.3",0.191315643260232,0.836633826563528,0.614893171819581,4
"Pim2.1",0.323915531051998,0.695765788908891,0.560545545709874,4
"Hist3h2bb",0.835701413056727,0.915064032849945,0.886375155430663,4
"Igf2bp2",-0.00804602264063264,0.728112703567709,0.462422945715102,4
"Il18r1",0.262901131828714,0.890896694418684,0.666567843729098,4
"Kank3",0.499530533847082,0.76001548262652,0.66755384103856,4
"Myo1c",0.526676772985772,0.759302716751094,0.677112508399906,4
"Cxcl9",0.424008864764247,0.721415824959898,0.626746121684335,4
"Pld4",0.182180073455603,0.759639577782919,0.573491448398749,4
"Olfr323",-0.317688908936273,0.376650692094775,0.153325232230289,4
"Etnk2",-0.690552882848706,0.171757164724533,-0.0842627534142805,4
"Gstt1",0.0878930211961148,0.767678366408137,0.564978550146428,4
"Acoxl",0.309744662305167,0.793612519881641,0.649593428883375,4
"St3gal1.1",0.347903427528884,0.464321053712341,0.430066999014109,4
"Gpr139.1",-0.109568121416162,0.496455044124683,0.318384210735529,4
"Rsbn1l",0.588710779054869,0.802451993248527,0.739719410342439,4
"Prdx5.1",0.475442893245647,0.809734257664457,0.711086621163228,4
"9530096D07Rik",0.439606500938337,0.677718914682652,0.607331723434143,4
"6430531B16Rik",0.349242688610821,0.760224420118038,0.638540795255626,4
"Tmem184b",0.354663377613486,0.804784878978739,0.664230313152345,4
"D14Ertd668e",0.00606310934878743,0.702510672226817,0.490463269540046,4
"Prss35",-0.438432741073609,0.140885419176255,-0.0346144092078217,4
"Pex5",0.66620704543921,0.901549762724871,0.830171685685095,4
"Tpm3.3",0.149349412736256,0.364180740731957,0.305122107031858,4
"Dleu7",0.431989944539699,0.811164965085881,0.704890737962102,4
"Ntrk3.2",0.429829753631836,0.753654368931855,0.661892605308681,4
"Tctn3.2",0.325334390045065,0.514861580828576,0.464823920187101,4
"Eomes",0.093233838339147,0.767199655363421,0.589300724683779,4
"Ntrk3.1",0.077779111608119,0.656632896937445,0.505730954537724,4
"Zfp760",0.595272158926017,0.768909888342925,0.723931132503991,4
"Nod1",0.342314707999073,0.867841829616856,0.738870318694229,4
"Epm2aip1.1",0.623249509824946,0.82633659290523,0.775941246722224,4
"Ifi44",0.480603687401056,0.846888071215364,0.756423464173745,4
"LOC545013.1",-0.163534172149821,0.599808554862695,0.407207737156124,4
"Slc30a10.2",-0.540703248880419,-0.180695639366007,-0.272985566023162,4
"Dok1.2",0.578810108492592,0.848517890395468,0.779761311501442,4
"BC049806.2",0.812827771508987,0.856013948275419,0.847623994378673,4
"l7Rn6",0.575792732073139,0.892023987837281,0.829488633546154,4
"Fut8.1",0.157930382213761,0.652341541223299,0.555203539813362,4
"Polh",0.701634176176092,0.910814277311389,0.873399961467858,4
"A230107C01Rik",0.456317363954508,0.651860089459007,0.617685658076297,4
"Anapc10",0.410737176728334,0.672410952765384,0.626470097227944,4
