"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat1","Stat1","30/71","108/320",0.0587690886524897,0.462182193051373,0.462182193051373,"Bbs12/Bst2/Cacnb3/Cdipt/Dhx57/Elmo2/Enc1/Evi2a/Eya3/Gnas/H2-T23/Ifi35/Ifih1/Igtp/Il18rap/Immt/Irf1/Kcnk10/Lrp11/Mrps18c/Oasl1/Oasl2/Seh1l/Stat2/Tap1/Tnfaip8l2/Tnfsf9/Ttc27/Usp18/Zbp1",30,"Ind","linear model"
"Stat4","Stat4","53/71","218/320",0.115545548262843,0.462182193051373,0.462182193051373,"2310004I24Rik/Agpat3/Amica1/Apobec1/Bbs12/Bcl3/Cd226/Cdipt/Cobll1/Ddr1/Dock11/Dyrk2/Elk3/Elmo2/Eya3/Fgl2/Gnas/Hopx/Ifi35/Ifih1/Igtp/Il18rap/Immt/Irf1/Itga6/Itih5/Kcnk10/Klhdc5/Klrk1/Lrp11/Ms4a6b/Mtap6/Nrp1/Pik3cg/Plekhm1/Prm1/Rgs10/Seh1l/Selp/Sema4b/Serpina3f/Slc16a6/Slc17a6/Soat1/Stat2/Sulf2/Tap1/Tapbpl/Tgtp/Trp53i11/Ube2l6/Zbp1/Zc3h12d",53,"Ind","linear model"
"Gata_Th1","Gata_Th1","6/71","26/320",0.537084766719415,0.99187679197501,0.99187679197501,"Hopx/Igtp/Il18rap/Klrk1/Ms4a6b/Usp18",6,"Ind","linear model"
"Tbet_pos","Tbet_pos","10/71","46/320",0.597273876512613,0.99187679197501,0.99187679197501,"Amica1/Dyrk2/Hopx/Il18rap/Klrk1/Mx1/Serpina3f/Spp1/Sulf2/Usp18",10,"Ind","linear model"
"Stat6","Stat6","32/71","158/320",0.830684200239104,0.99187679197501,0.99187679197501,"2310004I24Rik/Agpat3/Amica1/Bbs12/Bcl3/Cobll1/Ddr1/Dhx57/Elmo2/Evi2a/Hmox1/Ifi35/Igtp/Il18rap/Immt/Irf1/Itga6/Mrps18c/Ms4a6b/Mtap6/Pik3cg/Rgs10/Seh1l/Selp/Sema4b/Slc17a6/Soat1/Stat2/Tgtp/Trp53i11/Ttc27/Zbp1",32,"Ind","linear model"
"Tbet_neg","Tbet_neg","2/71","20/320",0.960224664718901,0.99187679197501,0.99187679197501,"Hsd17b11/Trat1",2,"Ind","linear model"
"Gata_Th2","Gata_Th2","1/71","17/320",0.987610721739338,0.99187679197501,0.99187679197501,"Slc17a6",1,"Ind","linear model"
"Tbet_large","Tbet_large","16/71","107/320",0.99187679197501,0.99187679197501,0.99187679197501,"Bcl3/Cd226/Elmo2/Fgl2/Hopx/Igtp/Irf1/Klrk1/Oasl2/Pik3cg/Prm1/Slc17a6/Sulf2/Trat1/Ttc27/Zc3h12d",16,"Ind","linear model"
"Stat1","Stat1","7/21","28/64",0.926411077178681,0.999916327737635,0.999916327737635,"Ifih1/Oasl2/Ifi35/Tap1/Hsh2d/Il18rap/Adar",7,"Ind","hclust"
"Gata_Th1","Gata_Th1","1/21","10/64",0.987342086946996,0.999916327737635,0.999916327737635,"Il18rap",1,"Ind","hclust"
