"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat1","Stat1","53/137","171/531",0.038540155160022,0.308321241280176,0.283980090652794,"1600014C10Rik/4933430I17Rik/Alg9/Arhgap30/Atp8a1/Bbs12/Bst2/Cacnb3/Cdipt/Cndp2/Cox5b/Dhx57/Eif3k/Elmo2/Enc1/Esco1/Evi2a/Eya3/Gnas/H2-T23/Hyou1/Ifi35/Ifih1/Igtp/Il18rap/Immt/Irf1/Irf8/Irs2/Kcnk10/Lrp11/Mrps18c/Nedd9/Npc1/Nup133/Oasl1/Oasl2/Pcna/Pigf/Polg/Seh1l/Slc37a1/Snupn/Snx1/Spag1/Stat2/Tap1/Tnfaip8l2/Tnfsf9/Trmu/Ttc27/Usp18/Zbp1",53,"Ind","linear model"
"Stat4","Stat4","96/137","347/531",0.105997303178955,0.423989212715821,0.390516380132993,"1600014C10Rik/2310004I24Rik/4933430I17Rik/Aco2/Adora2b/Agpat3/Agpat4/Alg9/Amica1/Apobec1/Arhgap30/Atn1/Bbs12/Bcl3/Brwd1/Cd226/Cd44/Cd70/Cdipt/Cndp2/Cobll1/Ddr1/Dock11/Dyrk2/Eif3k/Eif4enif1/Elk3/Elmo2/Ets1/Eya3/Fgf2/Fgl2/Fut7/Gimap1/Gnas/Hexb/Hopx/Ifi35/Ifih1/Igtp/Il17ra/Il18rap/Il21/Immt/Irf1/Irf8/Irs2/Itga6/Itih5/Kcnk10/Klhdc5/Klrk1/Lonrf3/Lrp11/Mdfic/Ms4a6b/Mtap6/Nedd9/Nrn1/Nrp1/Pcna/Pdcd4/Pik3cg/Pkp3/Plekhm1/Polg/Prm1/Rbm5/Rgs10/Rin3/Scly/Seh1l/Selp/Sema4b/Serpina3f/Serpina3g/Slc16a6/Slc17a6/Slc37a1/Snx25/Soat1/Sorl1/Spag1/Stat2/Sulf2/Tal2/Tap1/Tapbpl/Tcf7/Tgtp/Tnfrsf10b/Trp53i11/Ube2l6/Wdr78/Zbp1/Zc3h12d",96,"Ind","linear model"
"Tbet_pos","Tbet_pos","12/137","54/531",0.785225061001412,0.998795008277799,0.919942770782183,"Amica1/Dyrk2/Hopx/Il18rap/Irf8/Klrk1/Mx1/Nedd9/Serpina3f/Spp1/Sulf2/Usp18",12,"Ind","linear model"
"Tbet_neg","Tbet_neg","7/137","34/531",0.820200949904096,0.998795008277799,0.919942770782183,"Hsd17b11/Il21/Irs2/Nrn1/Serf1/Tcf7/Trat1",7,"Ind","linear model"
"Gata_Th1","Gata_Th1","6/137","30/531",0.831577008270866,0.998795008277799,0.919942770782183,"Hopx/Igtp/Il18rap/Klrk1/Ms4a6b/Usp18",6,"Ind","linear model"
"Stat6","Stat6","65/137","271/531",0.85885436078593,0.998795008277799,0.919942770782183,"2310004I24Rik/Adora2b/Agpat3/Agpat4/Amica1/Arcn1/Arhgap30/Atn1/Bbs12/Bcl3/Brwd1/Cbx7/Ccnh/Cndp2/Cobll1/Ddr1/Dhx57/E4f1/Eif3k/Elmo2/Ets1/Evi2a/Gimap1/Hmox1/Hyou1/Ifi35/Igtp/Il17ra/Il18rap/Il21/Immt/Irf1/Irf8/Irs2/Itga6/Lonrf3/Ltb/Mdfic/Mrps18c/Ms4a6b/Mtap6/Nedd9/Nr1d2/Pcna/Pdcd4/Pik3cg/Pus1/Rad51l3/Rgs10/Scly/Seh1l/Selp/Sema4b/Slc17a6/Snx1/Soat1/Sorl1/Stat2/Tcf7/Tgtp/Tnfrsf10b/Trp53i11/Ttc27/Wdr78/Zbp1",65,"Ind","linear model"
"Tbet_large","Tbet_large","42/137","186/531",0.912091110463886,0.998795008277799,0.919942770782183,"Arhgap30/Bcl3/Brwd1/Cbx7/Cd226/E4f1/Eed/Elmo2/Esco1/Ets1/Fgl2/Gimap1/Gnb2l1/Hexb/Hopx/Igtp/Il17ra/Il21/Irf1/Irf8/Irs2/Klrk1/Nedd9/Nr1d2/Nrn1/Oasl2/Otx1/Pdcd4/Pik3cg/Polg/Prm1/Rap1b/Rbm5/Slc17a6/Snx1/Sorl1/Spag1/Sulf2/Tcf7/Trat1/Ttc27/Zc3h12d",42,"Ind","linear model"
"Gata_Th2","Gata_Th2","1/137","22/531",0.998795008277799,0.998795008277799,0.919942770782183,"Slc17a6",1,"Ind","linear model"
"Stat1","Stat1","7/21","28/64",0.926411077178681,0.999916327737635,0.999916327737635,"Ifih1/Oasl2/Ifi35/Tap1/Hsh2d/Il18rap/Adar",7,"Ind","hclust"
"Gata_Th1","Gata_Th1","1/21","10/64",0.987342086946996,0.999916327737635,0.999916327737635,"Il18rap",1,"Ind","hclust"
"Stat4","Stat4","9/21","39/64",0.990258941288961,0.999916327737635,0.999916327737635,"Ifih1/Ube2l6/Nrp1/Ifi35/Sema4b/Tap1/Il18rap/Adar/Tal2",9,"Ind","hclust"
"Stat6","Stat6","4/21","25/64",0.995964569819667,0.999916327737635,0.999916327737635,"Ifi35/Sema4b/Il18rap/Adar",4,"Ind","hclust"
"Tbet_pos","Tbet_pos","1/21","14/64",0.998362181298624,0.999916327737635,0.999916327737635,"Il18rap",1,"Ind","hclust"
"Tbet_large","Tbet_large","2/21","24/64",0.999916327737635,0.999916327737635,0.999916327737635,"Oasl2/Marcks",2,"Ind","hclust"
"Tbet_pos","Tbet_pos","17/74","54/531",0.000350434243526808,0.00280347394821447,0.00221326890648511,"2900011O08Rik/Arsb/BC094916/Ctsw/Dapk2/Furin/Gpr114/Hsd11b1/Ifitm3/Ifng/Klrd1/Nod1/P2ry14/Pik3ap1/Tbx21/Xdh/Zbtb32",17,"Superpos","linear model"
"Gata_Th1","Gata_Th1","11/74","30/531",0.00112304221603718,0.00449216886414871,0.0035464491032753,"BC094916/Furin/Gbp3/Ifitm3/Ifng/Klrd1/Ms4a6d/Nod1/Sytl2/Tbx21/Xdh",11,"Superpos","linear model"
"Gata_Th2","Gata_Th2","5/74","22/531",0.179061000640616,0.47749600170831,0.376970527664455,"Gp49a/Gpt2/Kremen2/Pter/Rps6ka5",5,"Superpos","linear model"
"Stat4","Stat4","51/74","347/531",0.288759020274171,0.53079305067146,0.419047145266942,"2900011O08Rik/a/Aqp9/Armc3/Arsb/Atp2a2/Bzrap1/Ccr5/Clcnkb/Ctsw/Dhx58/Dmwd/Dyrk1b/Enox2/Folr4/Furin/Gbp3/Gbp5/Gp49a/Gpt2/Ifng/Kremen2/Lrrk1/Map2k6/Ms4a6d/Nod1/Osbpl9/P2ry14/Pik3ap1/Pon2/Ppa1/Qprt/Rab31/Rasa3/Rbl1/Rgs1/Rps6ka5/Sco1/Sgk1/Smpdl3a/St3gal6/Stat1/Sytl2/Tbx21/Tox/Trafd1/Vezf1/Xdh/Xrcc6/Zbtb32/Zzz3",51,"Superpos","linear model"
"Tbet_neg","Tbet_neg","6/74","34/531",0.331745656669663,0.53079305067146,0.419047145266942,"Aplp2/Cox6b2/Folr4/H2-Eb1/Map2k6/Rps6ka5",6,"Superpos","linear model"
"Tbet_large","Tbet_large","27/74","186/531",0.435942548678668,0.581256731571557,0.458886893345966,"Aplp2/Aqp9/Armc3/Arsb/B930041F14Rik/Bzrap1/Ccr5/Furin/Gp49a/Hist1h1c/Ifitm3/Ifng/Lrrk1/Myh10/Nod1/Osbpl9/P2ry14/Ppp3ca/Qprt/Rasa3/Sgk1/Tbl1xr1/Tbx21/Tox/Trp53bp2/Xdh/Zzz3",27,"Superpos","linear model"
"Stat6","Stat6","36/74","271/531",0.71505849874265,0.817209712848743,0.645165562775323,"a/Aqp9/Armc3/Bzrap1/Ccr5/Cd84/Dmwd/Dyrk1b/Enox2/Folr4/Furin/Gp49a/Gpt2/Kremen2/Map2k6/Matk/Osbpl9/P2ry14/Ppa1/Ppp3ca/Rab31/Rasa3/Rbl1/Rgs1/Sco1/Scrib/Sgk1/St3gal6/Stat1/Sytl2/Tnfsf13b/Tox/Ube2f/Xdh/Xrcc6/Zzz3",36,"Superpos","linear model"
"Stat1","Stat1","18/74","171/531",0.957666636978732,0.957666636978732,0.756052608141104,"Arrdc4/Ccr5/Cd1d1/Dyrk1b/Furin/Gbp3/Ifng/Lrrk1/Map2k6/Ppa1/Rgs1/Sco1/Scrib/Stat1/Trafd1/Ube2f/Xrcc6/Zbtb32",18,"Superpos","linear model"
