"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat4","Stat4","37/58","330/505",0.662813241237239,0.904015846325739,0.904015846325739,"1600014C10Rik/1700113I22Rik/Amica1/Car11/Ccr5/Eif4enif1/Eps8/Ffar2/Fgl2/H2-D1/Il12rb2/Il2rb/Itpr1/Lrp11/Ly6a/Msh5/Nhedc2/Nusap1/Oas3/Pigz/Pik3cg/Prm1/Ptprk/Pxmp4/Rad50/Rai14/Ralb/Scly/Sdc3/Sema3b/Slc17a6/Stat2/Tha1/Tmem159/Trafd1/Trim25/Upp1",37,"Th1like","linear model"
"Tbet_neg","Tbet_neg","4/58","39/505",0.679383587062383,0.904015846325739,0.904015846325739,"Cd74/H2-DMb1/Ralb/Sdc3",4,"Th1like","linear model"
"Stat6","Stat6","27/58","256/505",0.791013865535022,0.904015846325739,0.904015846325739,"1500012F01Rik/Aff4/Amica1/Ccr5/Ddx26b/Eps8/H2-D1/H2-K1/H2-M3/Il2rb/Itpr1/Msh5/Oas3/Pdlim4/Pigz/Pik3cg/Ppp3ca/Ptprk/Rad50/Rai14/Ralb/Scly/Slc17a6/Stat2/Tha1/Trim25/Upp1",27,"Th1like","linear model"
"Gata_Th2","Gata_Th2","1/58","31/505",0.979896367601023,0.979896367601023,0.979896367601023,"Slc17a6",1,"Th1like","linear model"
"Tbet_large","Tbet_large","6/9","28/78",0.049334484593479,0.296006907560874,0.259655182070942,"Hopx/Fgl2/Ccr5/Ch25h/Ly6a/Plac8",6,"Th1like","hclust"
"Gata_Th1","Gata_Th1","2/9","14/78",0.50918717921612,0.845185559860459,0.741390841982859,"Hopx/Plac8",2,"Th1like","hclust"
"Stat4","Stat4","6/9","50/78",0.588668267842085,0.845185559860459,0.741390841982859,"Amica1/Hopx/Fgl2/Mtap6/Ccr5/Ly6a",6,"Th1like","hclust"
"Tbet_pos","Tbet_pos","2/9","16/78",0.592112971738671,0.845185559860459,0.741390841982859,"Amica1/Hopx",2,"Th1like","hclust"
"Stat6","Stat6","3/9","29/78",0.725777657760963,0.845185559860459,0.741390841982859,"Amica1/Mtap6/Ccr5",3,"Th1like","hclust"
"Stat1","Stat1","3/9","34/78",0.845185559860459,0.845185559860459,0.741390841982859,"Bst2/Ccr5/Ly6a",3,"Th1like","hclust"
"Gata_Th2","Gata_Th2","21/275","31/505",0.0879023696831372,0.675681187147346,0.675681187147346,"1700025K23Rik/5730469M10Rik/Adamtsl4/Akr1c18/Batf/BC057079/Cst7/Cyp11a1/Ecm1/Gata3/Gstk1/Il4/Kcnk5/Kif3a/Lif/Nts/Plekhf1/Pparg/Pros1/Serpinf1/Timd2",21,"Th2like","linear model"
"Stat1","Stat1","95/275","168/505",0.283997194436016,0.675681187147346,0.675681187147346,"1700025G04Rik/4931428F04Rik/Abhd14b/Abhd4/Angel2/Ankrd12/Ankrd37/Anp32e/Atp8b4/Bzw2/Casp3/Casp4/Ccdc18/Ccl3/Ccl4/Cd164/Cd6/Cdk6/Cercam/Cetn4/Cryz/Csnk1g2/Cst7/Cyp11a1/Ddx60/Ecm1/Edem2/Epsti1/F2rl2/Fmnl3/Galnt11/Gbp6/Gnpda1/Gvin1/H2-T23/Hsh2d/Icos/Id2/Ifit3/Ing4/Inpp4b/Inpp5a/Insig1/Irf9/Isg20/Kbtbd7/Kif1b/Kifc1/Klhl21/Lgals3bp/Lpxn/Lrp12/Ly9/Mcl1/Mettl4/Mitd1/Morc3/Nedd1/Npc1/Nucb1/Nup107/Oas1b/Parp14/Pde6d/Phkg2/Plek/Polk/Ppme1/Ppp1r1b/Ptk2b/Rabgap1l/Rbms2/Retsat/Rexo2/Rsad2/Rtp4/Sell/Slc39a4/Slco4a1/Slfn2/Snai3/Tbc1d7/Tmem127/Tmem70/Tmem71/Tnfrsf8/Trex1/Trim21/Tube1/Ubl7/Ypel5/Zbtb2/Zbtb32/Zhx1/Znfx1",95,"Th2like","linear model"
"Stat6","Stat6","143/275","256/505",0.290149862687663,0.675681187147346,0.675681187147346,"1500011H22Rik/1700025G04Rik/1700025K23Rik/2310004I24Rik/2310016C08Rik/4933426M11Rik/5730469M10Rik/Adora3/Akap7/Ankrd12/Arhgap18/Armc3/Armcx3/Armcx6/Asb2/Atp10a/Atp10d/Atp8b4/Atxn7l1/Batf/BC057079/Bzw2/Capsl/Casp6/Ccdc18/Cd164/Cdk6/Cercam/Cetn4/Cpne6/Csnk1g2/Cst7/Cuedc1/Cyb5/Cyp11a1/D030074E01Rik/D330045A20Rik/Ddc/Dusp7/Ecm1/Efna5/Entpd4/Epsti1/F2rl2/Fbxl12/Fhit/Fhl2/Fmnl3/Galnt11/Gata3/Gbp6/Glipr2/Gm885/Gnpda1/Gpld1/Gpr65/Gramd3/Hemk1/Hipk2/Icos/Id2/Ikzf1/Il11ra1/Il4/Il4ra/Inpp4b/Insig1/Irf9/Isg20/Jdp2/Kbtbd7/Kcnk5/Kif3a/Klhl21/Lif/Lpxn/Lrch1/Lrp12/Lrp8/Lyrm5/Mbnl1/Mcf2l/Mcl1/Mgll/Mitd1/Morc3/Ms4a6b/Mtap/Mtap7/Myl4/Myst4/Nucb1/Nup107/Oas1b/Odf2/Osm/Pcx/Pip5k1b/Plekhf1/Polk/Pparg/Ppp3cc/Pros1/Ptger2/Ptk2b/Rabgap1l/Rasgrp4/Rbpj/Rxra/Sdcbp2/Sell/Sema4b/Serpinb6a/Serpinf1/Slc2a6/Slc35e3/Soat1/Sod1/Sp100/Spsb1/St3gal1/Stambpl1/Syce2/Syngr1/Tarbp2/Tbc1d7/Tec/Tgfbr1/Tgm1/Tiam1/Tle6/Tmco3/Tmem108/Tmem127/Tnfrsf8/Tube1/Ubl7/Xpo6/Ypel5/Zfp219/Zfp608/Zmynd11/Znfx1",143,"Th2like","linear model"
"Tbet_neg","Tbet_neg","23/275","39/505",0.337840593573673,0.675681187147346,0.675681187147346,"2010001M09Rik/Adamtsl4/Akr1c18/Cyp11a1/Ecm1/Foxp3/Fscn1/H2-DMa/Hipk2/Hsd17b11/Il4/Itga7/Kif3a/Lif/Mgll/Nts/Pcx/Pde6d/Pparg/Ptger2/Serpinf1/Tiam1/Tnfrsf8",23,"Th2like","linear model"
"Stat4","Stat4","179/275","330/505",0.589016767140116,0.942426827424185,0.942426827424185,"1700019E19Rik/1700025G04Rik/2310004I24Rik/2310016C08Rik/4933426M11Rik/5730469M10Rik/Abhd14b/Abtb1/Adh4/Adora3/Akap7/Apbb1ip/Arhgap18/Armc3/Asb2/Atp10a/Atp10d/Atp8b4/Atxn7l1/Axl/Batf/BC057079/Bmpr1a/Btk/Btla/C030048B08Rik/Capsl/Car5b/Casp4/Casp6/Ccdc28b/Ccdc50/Ccl3/Ccl4/Cd6/Cdc42se1/Cdk6/Cetn4/Cpne6/Crabp2/Csnk1g2/Cst7/Cuedc1/Cyb5/Dbndd2/Ddc/Dusp7/Edem2/Efna5/Eif4enif1/Endod1/Enpp4/Entpd4/F2rl2/Fcrls/Fhit/Fhl2/Fmnl3/Foxp1/Gata3/Gbp6/Gldc/Glipr2/Gm885/Gnb5/Gng2/Gpld1/Gpr65/Gramd3/Gypc/Hemk1/Icos/Id2/Ifit3/Ikzf1/Il4ra/Inpp4b/Inpp5a/Insig1/Irf9/Isg20/Jdp2/Kbtbd7/Kcnk5/Klhl21/l7Rn6/Lif/Lpxn/Lrch1/Lrp8/Ly9/Mbnl1/Mcf2l/Mcl1/Mettl4/Mgll/Mitd1/Mllt11/Mocos/Mpp1/Ms4a6b/Mtap/Mtap7/Muc13/Myst4/Nat5/Ncf1/Nedd1/Nhedc2/Nkg7/Nucb1/Osm/P4ha2/Pacsin1/Parp14/Pcx/Pfn2/Phldb1/Pip5k1b/Pkp4/Plek/Polk/Ppap2c/Ppme1/Ppp3cc/Prdx4/Pros1/Ptger2/Ptk2b/Rabgap1l/Rapsn/Rasa1/Rbm43/Rbpj/Rxra/Sdcbp2/Sell/Sema4b/Serpinb6a/Serpinf1/Sla2/Slc12a8/Slc39a4/Slco4a1/Slfn1/Slfn2/Snai3/Snx10/Snx25/Soat1/Sp100/Spsb1/St3gal1/Stambpl1/Tap2/Tbc1d1/Tbc1d7/Tec/Tgm1/Tiam1/Timd2/Tirap/Tmem108/Tmem159/Tmem38b/Tmem70/Tmem71/Tnfrsf8/Trex1/Trim21/Ube1l/Ubl7/Wipi2/Xpo6/Zbtb32/Zc3h12d/Zfp219/Zfp608/Zscan12",179,"Th2like","linear model"
"Tbet_large","Tbet_large","81/275","155/505",0.775504813898436,0.999166946119545,0.999166946119545,"1110067D22Rik/1700025G04Rik/4931428F04Rik/4933426M11Rik/Apbb1ip/Armc3/Asb2/Atp10a/Atp8b4/Atxn7l1/Aven/Batf/Bzw2/Casp3/Ccl3/Ccl4/Ccl5/Cd164/Cdk6/Cuedc1/Cyp11a1/Dusp7/Edn1/F2rl2/Fcrls/Fhit/Fmnl3/Foxp1/Foxq1/Gata3/Gng2/Gramd3/Hemk1/Hipk2/Icos/Id2/Ifit3/Ikzf1/Inpp4b/Insig1/Jdp2/Kif3a/Lif/Lpxn/Lrch1/Ly9/Mbnl1/Mcl1/Mef2c/Mgll/Morc3/Ncf1/Nkg7/Nup107/P2ry1/P4ha2/Pim2/Plekhf1/Prlr/Ptger2/Ptk2b/Rasa1/Rasgrp4/Scin/Sell/Sla2/Slfn2/Smpdl3b/Spsb1/Tap2/Tbc1d7/Tec/Tgfbr1/Tiam1/Timd2/Tmem159/Tnfrsf8/Xpo6/Zc3h12d/Zmynd11/Zscan12",81,"Th2like","linear model"
"Tbet_pos","Tbet_pos","20/275","55/505",0.998649593071396,0.999166946119545,0.999166946119545,"1700025G04Rik/Adora3/Atp8b4/BC094916/Ccl3/Ccl4/Enpp4/Epsti1/F2rl2/Fhl2/Foxp1/Gramd3/Ifit3/Ifitm2/Nkg7/Pim2/Ptpn12/Rrm2b/Sell/Zbtb32",20,"Th2like","linear model"
"Gata_Th1","Gata_Th1","9/275","31/505",0.999166946119545,0.999166946119545,0.999166946119545,"Atp8b4/BC094916/Ccl5/Epsti1/Gbp6/Ifitm2/Ms4a6b/Sell/Tmem159",9,"Th2like","linear model"
"Stat6","Stat6","13/29","29/78",0.202127806710584,0.9553108381278,0.9553108381278,"Efna5/D330045A20Rik/Atp10a/Gata3/Clpx/P2ry14/Mitd1/Tiam1/C730027P07Rik/St3gal1/Gbp6/Irf7/Znfx1",13,"Th2like","hclust"
"Tbet_large","Tbet_large","10/29","28/78",0.669664228972476,0.9553108381278,0.9553108381278,"Nkg7/Ifit3/Atp10a/Gata3/P2ry14/Pim2/Tiam1/Timd2/Smpdl3b/Fcrls",10,"Th2like","hclust"
"Tbet_pos","Tbet_pos","5/29","16/78",0.798003153648645,0.9553108381278,0.9553108381278,"Nkg7/Ifit3/P2ry14/Pim2/BC094916",5,"Th2like","hclust"
"Stat1","Stat1","11/29","34/78",0.844109837485691,0.9553108381278,0.9553108381278,"Ifit3/Rtp4/Rsad2/Rexo2/Mitd1/Gbp6/Irf7/Ddx60/Znfx1/Lgals3bp/Parp14",11,"Th2like","hclust"
"Stat4","Stat4","17/29","50/78",0.84624673860109,0.9553108381278,0.9553108381278,"Efna5/Nkg7/Ifit3/Atp10a/Ms4a6d/Gata3/Clpx/P2ry14/Mitd1/Tiam1/C730027P07Rik/St3gal1/Gbp6/Timd2/Fcrls/Snx10/Parp14",17,"Th2like","hclust"
"Gata_Th1","Gata_Th1","3/29","14/78",0.9553108381278,0.9553108381278,0.9553108381278,"Ms4a6d/BC094916/Gbp6",3,"Th2like","hclust"
