"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","model","approach"
"Stat4","Stat4","34/42","125/195",0.00699534924898906,0.0299573045288765,0.0236505035754288,"2310004I24Rik/Adar/Amica1/Bbs12/C030048B08Rik/Fgl2/Gbp5/Hopx/Id2/Ifi35/Ifih1/Igfbp7/Igtp/Il18rap/Irf9/Klrk1/Mapre2/Mllt3/Ms4a6b/Mtap6/Nrp1/Prm1/Sco1/Sema3b/Sema4b/Serpina3f/Slc17a6/Stat2/Tap1/Tapbpl/Ube2l6/Wipi2/Zbp1/Zc3h12d",34,"Ind","linear model"
"Stat1","Stat1","20/42","60/195",0.00748932613221911,0.0299573045288765,0.0236505035754288,"Adar/Bbs12/Bst2/H2-T23/Id2/Ifi35/Ifih1/Igtp/Il18rap/Irf9/Mapre2/Oasl1/Oasl2/Sco1/Stat2/Tap1/Ttc27/Ube2f/Usp18/Zbp1",20,"Ind","linear model"
"Gata_Th1","Gata_Th1","6/42","21/195",0.28179807907874,0.751461544209973,0.593259113849979,"Hopx/Igtp/Il18rap/Klrk1/Ms4a6b/Usp18",6,"Ind","linear model"
"Stat6","Stat6","20/42","94/195",0.602061074749784,0.977520245251337,0.77172650940895,"2310004I24Rik/Adar/Amica1/Bbs12/Id2/Ifi35/Igtp/Il18rap/Irf9/Mapre2/Mllt3/Ms4a6b/Mtap6/Sco1/Sema4b/Slc17a6/Stat2/Ttc27/Ube2f/Zbp1",20,"Ind","linear model"
"Tbet_pos","Tbet_pos","7/42","34/195",0.637487005813759,0.977520245251337,0.77172650940895,"Amica1/Hopx/Il18rap/Klrk1/Mx1/Serpina3f/Usp18",7,"Ind","linear model"
"Tbet_large","Tbet_large","12/42","67/195",0.859269144241269,0.977520245251337,0.77172650940895,"Fgl2/Hopx/Id2/Igtp/Klrk1/Mapre2/Mllt3/Oasl2/Prm1/Slc17a6/Ttc27/Zc3h12d",12,"Ind","linear model"
"Tbet_neg","Tbet_neg","1/42","13/195",0.96194614178158,0.977520245251337,0.77172650940895,"Igfbp7",1,"Ind","linear model"
"Gata_Th2","Gata_Th2","1/42","15/195",0.977520245251337,0.977520245251337,0.77172650940895,"Slc17a6",1,"Ind","linear model"
"Stat4","Stat4","16/21","50/78",0.138512073284828,0.831072439708967,0.831072439708967,"Mtap6/Ifih1/Ube2l6/Nrp1/Ifi35/Sema4b/Klrk1/Zbp1/Sco1/Gbp3/Tap1/Il18rap/Igfbp7/Adar/Gbp5/Tal2",16,"Ind","hclust"
"Stat1","Stat1","10/21","34/78",0.427475620029176,0.997644918498186,0.997644918498186,"Ifih1/Oasl2/Ifi35/Zbp1/Sco1/Gbp3/Tap1/Hsh2d/Il18rap/Adar",10,"Ind","hclust"
