annot,gene,celltype,annot_new
2,Tex2,Th0,2
3,Gprc5b,Th0,3
1,D330045A20Rik,Th0,1
2,Lgals9,Th0,2
3,Ly86,Th0,3
2,Psip1,Th0,2
2,Asah1,Th0,2
1,2010305A19Rik,Th0,1
1,Noc3l,Th0,1
2,Zfp219,Th0,2
2,Dstn,Th0,2
2,Il18rap,Th0,2
1,Nip7,Th0,1
1,Tnfaip3,Th0,1
2,Bcat1,Th0,2
3,Ppp1r13b,Th0,3
3,Rnase6,Th0,3
3,D030013I16Rik,Th0,3
2,Ifi202b,Th0,2
1,Sptlc1,Th0,1
2,Rilpl1,Th0,2
3,Tgfbi,Th0,3
3,Tsc22d4,Th0,3
2,Pddc1,Th0,2
2,Rgs1,Th0,2
3,Arid4a,Th0,3
3,Nfatc1,Th0,3
2,Pmpcb,Th0,2
2,Sept1,Th0,2
3,Bbc3,Th0,3
2,Psmd9,Th0,2
2,EG634650,Th0,2
2,BC006779,Th0,2
2,Gvin1,Th0,2
3,Tyrobp,Th0,3
1,Lzic,Th0,1
2,Slc2a3,Th0,2
2,Pitpnc1,Th0,2
3,Sephs1,Th0,3
2,Pde6d,Th0,2
1,Nmd3,Th0,1
2,Bbs5,Th0,2
2,Cbwd1,Th0,2
2,Thex1,Th0,2
1,Nus1,Th0,1
3,Pde2a,Th0,3
2,Pign,Th0,2
3,Aldh6a1,Th0,3
1,Alcam,Th0,1
2,1810015A11Rik,Th0,2
3,Fos,Th0,3
3,Usp53,Th0,3
2,Gins2,Th0,2
2,Lgals3,Th0,2
2,Krtcap2,Th0,2
3,Cyp4f13,Th0,3
1,Vrk1,Th0,1
3,Pacs2,Th0,3
3,Ulk2,Th0,3
3,Tgfbr3,Th0,3
1,Pdia6,Th0,1
2,AI451557,Th0,2
3,H2-Eb1,Th0,3
2,Rab6ip1,Th0,2
3,Pkd1,Th0,3
2,Lrp12,Th0,2
2,2610209M04Rik,Th0,2
2,Plk1,Th0,2
2,Aarsd1,Th0,2
3,Zc3hav1,Th0,3
2,Ctsa,Th0,2
1,Eif4a1,Th0,1
2,Ggt7,Th0,2
2,Cyp51,Th0,2
2,Slc37a4,Th0,2
3,Creb3,Th0,3
2,Xpnpep1,Th0,2
2,Sp140,Th0,2
3,Rufy1,Th0,3
2,1500012F01Rik,Th0,2
3,Tnrc6a,Th0,3
3,Ptpn12,Th0,3
2,Chac1,Th0,2
1,E130012A19Rik,Th0,1
1,Atpbd1b,Th0,1
2,Isg20,Th0,2
2,Mdm1,Th0,2
2,Pgls,Th0,2
2,Ech1,Th0,2
3,Rbms1,Th0,3
2,Supt3h,Th0,2
3,1700019H03Rik,Th0,3
1,Cd69,Th0,1
1,Zfp106,Th0,1
2,Sugt1,Th0,2
2,Mrpl30,Th0,2
1,Mrps28,Th0,1
3,C1qb,Th0,3
1,Adam4,Th0,1
3,Tmem127,Th0,3
