annot,gene,celltype,annot_new
2,Josd3,Th0,2
3,Lgals8,Th0,3
2,Dhcr24,Th0,2
2,1110018J18Rik,Th0,2
3,Akap8,Th0,3
3,Lass4,Th0,3
2,Helb,Th0,2
2,H6pd,Th0,2
1,Qtrt1,Th0,1
1,Zfp593,Th0,1
1,Inpp5a,Th0,1
3,Arl4c,Th0,3
2,Enpp1,Th0,2
1,Prmt5,Th0,1
2,Hook2,Th0,2
2,Uchl5,Th0,2
3,Lphn1,Th0,3
3,P2ry14,Th0,3
2,Etfb,Th0,2
3,Ggtla1,Th0,3
2,Klrk1,Th0,2
3,Foxo1,Th0,3
1,Srp19,Th0,1
3,Rassf5,Th0,3
2,Nudt21,Th0,2
3,Dgkz,Th0,3
3,Cnr2,Th0,3
2,H2-T10,Th0,2
3,Cd3e,Th0,3
3,Rftn2,Th0,3
3,P2ry5,Th0,3
2,Sip1,Th0,2
2,Rcsd1,Th0,2
1,Eif2s2,Th0,1
2,Rbbp7,Th0,2
1,Hivep3,Th0,1
2,Irf7,Th0,2
3,Egr1,Th0,3
2,Ndrg1,Th0,2
3,Btbd14a,Th0,3
3,Lmbr1l,Th0,3
2,Htra2,Th0,2
3,Il27ra,Th0,3
3,Pacsin1,Th0,3
3,Tgfbrap1,Th0,3
1,Fzd5,Th0,1
2,Espn,Th0,2
3,Map4k2,Th0,3
2,Gpsn2,Th0,2
2,Ccdc109b,Th0,2
2,Bmpr1a,Th0,2
1,2310040C09Rik,Th0,1
3,Pscdbp,Th0,3
2,Rnf135,Th0,2
3,4930504E06Rik,Th0,3
2,Il15ra,Th0,2
2,Prelid2,Th0,2
3,Hlcs,Th0,3
1,Ddx51,Th0,1
2,1200015F23Rik,Th0,2
2,Cd226,Th0,2
2,Optn,Th0,2
3,Gimap6,Th0,3
2,Ankrd17,Th0,2
3,Zfp710,Th0,3
2,Pfkl,Th0,2
2,Kif4,Th0,2
2,Il12rb2,Th0,2
3,Spo11,Th0,3
2,Nol3,Th0,2
3,Xylt2,Th0,3
2,Ssx2ip,Th0,2
2,Slmo2,Th0,2
1,Tbrg4,Th0,1
1,Abcf2,Th0,1
1,Mycbp,Th0,1
3,Irf1,Th0,3
3,Krba1,Th0,3
1,Utf1,Th0,1
3,H2-Ob,Th0,3
1,Srm,Th0,1
2,Evi2a,Th0,2
1,Ywhag,Th0,1
3,H2-D1,Th0,3
2,Specc1,Th0,2
1,Pwp1,Th0,1
3,Sipa1l1,Th0,3
2,AI597468,Th0,2
3,Nisch,Th0,3
2,Gnb5,Th0,2
2,Sdc3,Th0,2
1,Ipo4,Th0,1
2,Siva1,Th0,2
1,Mapk6,Th0,1
2,Gpr89,Th0,2
1,Strap,Th0,1
3,Cd74,Th0,3
2,Agl,Th0,2
2,LOC435565,Th0,2
1,Sfrs9,Th0,1
2,Mrpl45,Th0,2
2,Prnp,Th0,2
3,Ppp1r3f,Th0,3
3,Clpx,Th0,3
2,Tnfsf13b,Th0,2
3,Acox3,Th0,3
2,Lrrc41,Th0,2
1,Uap1,Th0,1
1,Odc1,Th0,1
3,D15Wsu169e,Th0,3
3,Bpnt1,Th0,3
2,S100a10,Th0,2
2,Adh4,Th0,2
3,Csnk1g2,Th0,3
3,Slc37a1,Th0,3
3,Ptprcap,Th0,3
2,2900024O10Rik,Th0,2
3,Tsc22d3,Th0,3
2,Commd3,Th0,2
2,B4galt1,Th0,2
2,Snupn,Th0,2
1,Setd6,Th0,1
1,Rrbp1,Th0,1
2,Rilpl2,Th0,2
2,Wbp1,Th0,2
2,Slc17a6,Th0,2
2,Vdac1,Th0,2
3,Tmem9b,Th0,3
3,Dtx1,Th0,3
1,Klhdc4,Th0,1
2,Tmem101,Th0,2
3,Ppargc1b,Th0,3
3,Vipr1,Th0,3
2,Hist1h4f,Th0,2
2,4933430I17Rik,Th0,2
3,Zfp187,Th0,3
2,Cdk4,Th0,2
2,Znhit1,Th0,2
1,Mapre2,Th0,1
3,Arhgef4,Th0,3
2,Cuedc2,Th0,2
3,AI449175,Th0,3
3,Ear3,Th0,3
2,Nthl1,Th0,2
3,L3mbtl3,Th0,3
3,Gcn5l2,Th0,3
3,Lrrc50,Th0,3
2,Yme1l1,Th0,2
3,Plcb2,Th0,3
1,Mrpl16,Th0,1
1,Lonrf1,Th0,1
1,Skp1a,Th0,1
3,Rasa1,Th0,3
2,Sh3bp1,Th0,2
2,Gpld1,Th0,2
2,Cnp,Th0,2
2,Gspt2,Th0,2
2,Mllt4,Th0,2
1,Ccl4,Th0,1
2,Lrdd,Th0,2
3,H2-Q7,Th0,3
2,Pif1,Th0,2
2,Nudt1,Th0,2
2,Stambpl1,Th0,2
3,Ccdc100,Th0,3
1,Tspan6,Th0,1
2,Pkp4,Th0,2
2,Snx21,Th0,2
1,Rbj,Th0,1
3,Tlr1,Th0,3
3,Dbndd2,Th0,3
3,Vps33b,Th0,3
3,Ogt,Th0,3
1,Dcun1d4,Th0,1
3,Furin,Th0,3
3,Plec1,Th0,3
1,Ikbkap,Th0,1
1,Crls1,Th0,1
2,Kndc1,Th0,2
3,Lrrfip1,Th0,3
2,Hsp90b1,Th0,2
2,BC085271,Th0,2
3,Sorl1,Th0,3
3,Scotin,Th0,3
2,Plp2,Th0,2
2,Cetn4,Th0,2
3,Gramd3,Th0,3
1,Nol5a,Th0,1
1,Ruvbl1,Th0,1
1,Dcun1d5,Th0,1
2,Xrcc2,Th0,2
1,D19Bwg1357e,Th0,1
2,Ctdspl,Th0,2
2,Hmga1,Th0,2
3,Trim26,Th0,3
3,Ihpk1,Th0,3
3,Rhobtb2,Th0,3
3,Cirbp,Th0,3
2,Fhit,Th0,2
1,Btla,Th0,1
1,Nol5,Th0,1
2,Kif3a,Th0,2
1,Phb2,Th0,1
1,Polr2e,Th0,1
2,Zwint,Th0,2
2,Tgm2,Th0,2
2,Adora2b,Th0,2
1,Eif1ad,Th0,1
1,Gemin4,Th0,1
1,Sf3b4,Th0,1
2,Nup107,Th0,2
3,Trf,Th0,3
3,Ggt5,Th0,3
2,Avpi1,Th0,2
2,Cth,Th0,2
2,Mapkapk3,Th0,2
2,2410008K03Rik,Th0,2
3,Gpr83,Th0,3
2,Thy1,Th0,2
2,D0H4S114,Th0,2
2,Soat2,Th0,2
1,Nob1,Th0,1
1,Gfi1,Th0,1
2,Cenpm,Th0,2
2,Capn2,Th0,2
2,Lsr,Th0,2
2,Myh10,Th0,2
2,Clic4,Th0,2
1,Xpo6,Th0,1
3,H2-DMb2,Th0,3
2,Rabl2a,Th0,2
3,Fcgrt,Th0,3
1,Prpf19,Th0,1
1,Hax1,Th0,1
2,Mrps22,Th0,2
1,Gfod1,Th0,1
2,Eif3k,Th0,2
2,Fto,Th0,2
2,Uck2,Th0,2
3,Lpxn,Th0,3
3,Klhdc5,Th0,3
3,Hist2h2aa1,Th0,3
3,Clk4,Th0,3
3,Map3k3,Th0,3
2,1500011H22Rik,Th0,2
2,Loh11cr2a,Th0,2
2,Afmid,Th0,2
3,Lrrc33,Th0,3
2,Tmed2,Th0,2
2,Esco2,Th0,2
2,Mnd1,Th0,2
1,Hyou1,Th0,1
2,Brca1,Th0,2
3,Cdk5,Th0,3
3,Tmc6,Th0,3
2,2810417H13Rik,Th0,2
3,Smad5,Th0,3
2,Il2rb,Th0,2
2,Nudt2,Th0,2
3,Herc2,Th0,3
2,Pcx,Th0,2
2,Axl,Th0,2
3,Aff4,Th0,3
3,Prei4,Th0,3
3,Itgae,Th0,3
3,Cnn2,Th0,3
2,9130211I03Rik,Th0,2
3,Rp23-357i14,Th0,3
2,D430039N05Rik,Th0,2
3,Klf7,Th0,3
2,Rpo1-1,Th0,2
1,Ascc2,Th0,1
3,Tnfrsf8,Th0,3
2,Csrp2,Th0,2
2,Cox6b2,Th0,2
2,Zfp692,Th0,2
1,Cd83,Th0,1
3,1110014J01Rik,Th0,3
1,Mthfd1,Th0,1
2,Cdkn2c,Th0,2
3,Pscd4,Th0,3
2,AA467197,Th0,2
2,Gas2l3,Th0,2
2,Emp1,Th0,2
2,1600016N20Rik,Th0,2
2,Hist1h2ad,Th0,2
1,Rsad1,Th0,1
1,Fndc3b,Th0,1
3,B230342M21Rik,Th0,3
1,Slc25a26,Th0,1
2,Piga,Th0,2
3,Arhgap4,Th0,3
3,Sepp1,Th0,3
1,Clpp,Th0,1
3,Taz,Th0,3
3,H2-T23,Th0,3
2,Sap30,Th0,2
2,Chaf1b,Th0,2
2,Etv6,Th0,2
3,Fcna,Th0,3
2,Myo1g,Th0,2
1,Rwdd4a,Th0,1
2,EG622339,Th0,2
2,Cenpa,Th0,2
3,Ostm1,Th0,3
1,Akp2,Th0,1
2,1810035L17Rik,Th0,2
2,Capn5,Th0,2
1,D930001I22Rik,Th0,1
2,Immp2l,Th0,2
2,Lif,Th0,2
2,Ndufb8,Th0,2
2,Pom121,Th0,2
2,Kpna2,Th0,2
3,Pex1,Th0,3
3,Gimap9,Th0,3
3,Npc1,Th0,3
3,Mllt11,Th0,3
1,Cdk5r1,Th0,1
3,2010001M09Rik,Th0,3
2,Grcc10,Th0,2
3,Ift80,Th0,3
2,2310047D13Rik,Th0,2
2,Cnpy2,Th0,2
2,Wdr54,Th0,2
2,Mansc1,Th0,2
3,Gse1,Th0,3
2,Tal2,Th0,2
1,Ptrh1,Th0,1
3,Pira4,Th0,3
2,EG432879,Th0,2
2,Adcy7,Th0,2
3,Mknk1,Th0,3
2,Slc30a7,Th0,2
2,Mgst2,Th0,2
3,Tbk1,Th0,3
3,Nfrkb,Th0,3
2,Gngt2,Th0,2
2,Cebpd,Th0,2
1,Ccdc86,Th0,1
2,Polr2g,Th0,2
2,Fli1,Th0,2
2,Chmp4b,Th0,2
2,Chchd6,Th0,2
2,Card11,Th0,2
1,Gpr174,Th0,1
2,Pttg1,Th0,2
1,Polrmt,Th0,1
3,Heca,Th0,3
1,Nle1,Th0,1
2,Snx5,Th0,2
1,Lad1,Th0,1
2,D15Ertd682e,Th0,2
3,Kcnf1,Th0,3
3,C230093N12Rik,Th0,3
1,Grpel1,Th0,1
2,2310022B05Rik,Th0,2
2,Carhsp1,Th0,2
1,Nab2,Th0,1
3,Fmnl1,Th0,3
2,Phf13,Th0,2
2,Sft2d2,Th0,2
3,1600014C10Rik,Th0,3
2,E330016A19Rik,Th0,2
2,Mrpl14,Th0,2
1,Fosl2,Th0,1
2,Tk1,Th0,2
1,Brp16,Th0,1
1,Nkrf,Th0,1
3,A930008G19Rik,Th0,3
2,Gtf2h4,Th0,2
2,Slc2a6,Th0,2
2,Acpl2,Th0,2
2,R74862,Th0,2
2,Plagl2,Th0,2
3,Sepw1,Th0,3
3,Iah1,Th0,3
2,Kcnab2,Th0,2
1,Zfp202,Th0,1
2,Iqcb1,Th0,2
3,Hvcn1,Th0,3
2,Ifit3,Th0,2
2,Prkar2b,Th0,2
3,Ets2,Th0,3
1,Zswim4,Th0,1
2,Slamf9,Th0,2
3,Icam2,Th0,3
3,Wbscr27,Th0,3
2,Tmem16k,Th0,2
2,Commd10,Th0,2
3,Prkd3,Th0,3
2,Pols,Th0,2
2,Psrc1,Th0,2
2,Mppe1,Th0,2
3,Centb5,Th0,3
3,Slc12a7,Th0,3
2,Fabp5,Th0,2
2,Slc25a30,Th0,2
2,Vegfb,Th0,2
3,5330401P04Rik,Th0,3
1,Txn2,Th0,1
2,Phgdh,Th0,2
1,Nol10,Th0,1
1,Ilf3,Th0,1
2,Abcd3,Th0,2
3,Jun,Th0,3
2,Slc35a1,Th0,2
3,Ass1,Th0,3
2,Rad54l,Th0,2
2,Cort,Th0,2
3,Abcc5,Th0,3
2,Brcc3,Th0,2
2,9930111J21Rik,Th0,2
2,Cyb5,Th0,2
1,Usmg5,Th0,1
3,Btbd6,Th0,3
2,Aldh1l2,Th0,2
2,Mcm3,Th0,2
1,2810405J04Rik,Th0,1
3,Clec2d,Th0,3
3,Chd2,Th0,3
2,Soat1,Th0,2
2,Clspn,Th0,2
2,Agpat4,Th0,2
2,Lsm12,Th0,2
1,E430028B21Rik,Th0,1
3,Lmo2,Th0,3
1,LOC241593,Th0,1
2,Mtap6,Th0,2
3,2510009E07Rik,Th0,3
3,Ids,Th0,3
3,Trpc2,Th0,3
3,Itpr2,Th0,3
2,Bzrap1,Th0,2
3,Stk10,Th0,3
2,Ssr2,Th0,2
2,Aaas,Th0,2
3,Rfx1,Th0,3
2,Comt,Th0,2
2,Dctn6,Th0,2
2,Sectm1a,Th0,2
1,Psmb6,Th0,1
3,Chkb,Th0,3
2,2610510J17Rik,Th0,2
2,Gm885,Th0,2
1,6720458F09Rik,Th0,1
3,Il18r1,Th0,3
3,Ifngr2,Th0,3
2,2210012G02Rik,Th0,2
2,Cdh15,Th0,2
2,Zfp810,Th0,2
1,Aacs,Th0,1
2,Eomes,Th0,2
2,Mboat2,Th0,2
3,Il6ra,Th1,3
2,Depdc1b,Th1,2
3,EG630499,Th1,3
2,Dusp4,Th1,2
2,Ppme1,Th1,2
2,C230052I12Rik,Th1,2
3,Tacc1,Th1,3
2,Insig1,Th1,2
2,Armcx6,Th1,2
3,Ankmy2,Th1,3
2,Trim25,Th1,2
2,Rb1,Th1,2
2,Mrpl52,Th1,2
3,Rapgef2,Th1,3
2,B9d2,Th1,2
2,Ubl7,Th1,2
3,Ehd3,Th1,3
3,Gm2a,Th1,3
2,Capg,Th1,2
1,Ptp4a1,Th1,1
3,Nrbp1,Th1,3
2,Akap7,Th1,2
1,Hat1,Th1,1
2,Chmp5,Th1,2
2,Phldb1,Th1,2
3,Tmco3,Th1,3
3,Srpk3,Th1,3
3,Cep97,Th1,3
3,4632419K20Rik,Th1,3
2,Cenpp,Th1,2
1,5730596K20Rik,Th1,1
3,Bbs4,Th1,3
3,Hist1h1c,Th1,3
1,Cxcr5,Th1,1
3,AB124611,Th1,3
3,4833442J19Rik,Th1,3
1,Cops7a,Th1,1
2,Syngr2,Th1,2
2,Agpat3,Th1,2
3,Nhsl1,Th1,3
3,Rbm5,Th1,3
3,Pias1,Th1,3
3,Ntan1,Th1,3
2,Lonp1,Th1,2
3,Mcoln3,Th1,3
2,2210412D01Rik,Th1,2
2,1810037I17Rik,Th1,2
1,Nola3,Th1,1
3,Il11ra1,Th1,3
3,Mcl1,Th1,3
1,Idh3a,Th1,1
2,Cebpg,Th1,2
3,Ggnbp1,Th1,3
1,Carm1,Th1,1
3,Cbx8,Th1,3
1,Ticam2,Th1,1
3,Cd2,Th1,3
1,Dusp6,Th1,1
2,Unc119,Th1,2
2,E2f1,Th1,2
1,Prrg3,Th1,1
2,Aco2,Th1,2
2,Vbp1,Th1,2
2,Akr1e1,Th1,2
2,Slco3a1,Th1,2
1,Wiz,Th1,1
3,Gprk6,Th1,3
3,Ccm2,Th1,3
3,Txnip,Th1,3
3,Epc1,Th1,3
2,Hist1h2ag,Th1,2
3,Cd96,Th1,3
1,Cops5,Th1,1
2,Ctnna1,Th1,2
2,Hist2h2ab,Th1,2
1,Sla,Th1,1
3,Ctsb,Th1,3
2,Pkig,Th1,2
3,Qprt,Th1,3
1,Pus7l,Th1,1
1,Polr2d,Th1,1
3,2310010M24Rik,Th1,3
2,Rad50,Th1,2
2,Suhw2,Th1,2
3,Adh1,Th1,3
2,Nrbp2,Th1,2
3,Tardbp,Th1,3
2,Pex11c,Th1,2
3,Ebpl,Th1,3
2,Acat2,Th1,2
3,Il4ra,Th1,3
1,Bcl2a1b,Th1,1
1,Tagap,Th1,1
3,Adamtsl4,Th1,3
3,Cd164,Th1,3
2,Wisp1,Th1,2
3,Msrb2,Th1,3
2,Mxd3,Th1,2
1,Rcl1,Th1,1
2,Fut7,Th1,2
2,Lag3,Th1,2
2,Zfp768,Th1,2
3,Ddit4,Th1,3
3,Tmc8,Th1,3
2,Arsb,Th1,2
2,Hist1h2bk,Th1,2
1,Nola1,Th1,1
2,Hist1h2bf,Th1,2
3,Ddx60,Th1,3
3,Madd,Th1,3
1,2410127L17Rik,Th1,1
1,Cacybp,Th1,1
2,Rfc5,Th1,2
3,Gimap1,Th1,3
1,Trp53rk,Th1,1
3,4933426M11Rik,Th1,3
3,Efna5,Th1,3
1,Hspa5,Th1,1
1,Ak2,Th1,1
2,Batf,Th1,2
3,Ccdc130,Th1,3
1,Ndufab1,Th1,1
1,Nubp2,Th1,1
2,Scamp1,Th1,2
3,Fermt3,Th1,3
3,Bbs9,Th1,3
2,Timp1,Th1,2
3,Dusp11,Th1,3
2,Il2ra,Th1,2
3,Ltb,Th1,3
3,D12Ertd647e,Th1,3
2,Lgals3bp,Th1,2
1,Tmem65,Th1,1
3,Arhgap1,Th1,3
1,Tsr1,Th1,1
2,Timeless,Th1,2
3,Mapk1ip1,Th1,3
2,Stag3,Th1,2
3,Rcbtb2,Th1,3
3,Zbtb2,Th1,3
2,D2Ertd750e,Th1,2
1,Bdh2,Th1,1
2,Hist2h2ac,Th1,2
2,Rab33a,Th1,2
2,Eif4ebp1,Th1,2
1,Ankrd13b,Th1,1
2,Ppard,Th1,2
3,Stat1,Th1,3
2,Etv4,Th1,2
3,Traf3,Th1,3
1,Nfix,Th1,1
1,Cd200,Th1,1
3,Atp8a1,Th1,3
2,Atp10a,Th1,2
2,4930570C03Rik,Th1,2
3,Fcho2,Th1,3
3,Emb,Th1,3
3,EG667977,Th1,3
3,Gab3,Th1,3
1,S100pbp,Th1,1
3,Plekha2,Th1,3
3,Aplp2,Th1,3
1,9530058B02Rik,Th1,1
2,Acads,Th1,2
3,B4galnt1,Th1,3
3,Dtx3l,Th1,3
1,Mad2l2,Th1,1
2,Pfkp,Th1,2
3,4732479N06Rik,Th1,3
3,Galnt9,Th1,3
3,Bin1,Th1,3
2,Uevld,Th1,2
2,Rab31,Th1,2
2,Phlda3,Th1,2
3,Rasl11b,Th1,3
2,D10Ertd610e,Th1,2
3,Kifc2,Th1,3
1,Syncrip,Th1,1
2,Cercam,Th1,2
2,Impa2,Th1,2
2,Dhrs1,Th1,2
1,Lrrc59,Th1,1
3,Gna-rs1,Th1,3
1,Hisppd1,Th1,1
3,Axin1,Th1,3
2,Sesn2,Th1,2
2,Pfn2,Th1,2
3,Pcmtd1,Th1,3
3,Vamp1,Th1,3
1,Tymp,Th1,1
1,Ddx3x,Th1,1
1,Slc35a4,Th1,1
3,Ppm1b,Th1,3
1,Eftud2,Th1,1
1,Cct6a,Th1,1
3,1810015C04Rik,Th1,3
2,Pter,Th1,2
2,Maged2,Th1,2
2,Rfwd3,Th1,2
2,Ngfrap1,Th1,2
1,Gabpb1,Th1,1
2,Tubb5,Th1,2
3,Nrp1,Th1,3
3,Cxxc1,Th1,3
1,Hspa4,Th1,1
2,Cln6,Th1,2
1,Smyd5,Th1,1
1,Eif3eip,Th1,1
1,Bccip,Th1,1
3,Rab27a,Th1,3
2,Tnfsf9,Th1,2
2,Golt1b,Th1,2
3,Hexim1,Th1,3
3,Snapc3,Th1,3
2,Aurka,Th1,2
3,Vezf1,Th1,3
1,L2hgdh,Th1,1
3,Plcl2,Th1,3
2,Oip5,Th1,2
3,AI467606,Th1,3
3,Tbc1d10c,Th1,3
1,Stoml2,Th1,1
3,Osgin1,Th1,3
2,Tex2,Th1,2
3,Gprc5b,Th1,3
3,D330045A20Rik,Th1,3
3,Lgals9,Th1,3
3,Ly86,Th1,3
3,Psip1,Th1,3
2,Asah1,Th1,2
3,2010305A19Rik,Th1,3
1,Noc3l,Th1,1
2,Zfp219,Th1,2
2,Dstn,Th1,2
2,Il18rap,Th1,2
1,Nip7,Th1,1
1,Tnfaip3,Th1,1
1,Bcat1,Th1,1
3,Ppp1r13b,Th1,3
3,Rnase6,Th1,3
3,D030013I16Rik,Th1,3
2,Ifi202b,Th1,2
1,Sptlc1,Th1,1
2,Rilpl1,Th1,2
3,Tgfbi,Th1,3
3,Tsc22d4,Th1,3
3,Pddc1,Th1,3
2,Rgs1,Th1,2
3,Arid4a,Th1,3
3,Nfatc1,Th1,3
2,Pmpcb,Th1,2
3,Sept1,Th1,3
3,Bbc3,Th1,3
1,Psmd9,Th1,1
2,EG634650,Th1,2
2,BC006779,Th1,2
2,Gvin1,Th1,2
3,Tyrobp,Th1,3
1,Lzic,Th1,1
2,Slc2a3,Th1,2
3,Pitpnc1,Th1,3
3,Sephs1,Th1,3
2,Pde6d,Th1,2
1,Nmd3,Th1,1
2,Bbs5,Th1,2
1,Cbwd1,Th1,1
2,Thex1,Th1,2
1,Nus1,Th1,1
3,Pde2a,Th1,3
2,Pign,Th1,2
3,Aldh6a1,Th1,3
1,Alcam,Th1,1
1,1810015A11Rik,Th1,1
3,Fos,Th1,3
3,Usp53,Th1,3
2,Gins2,Th1,2
2,Lgals3,Th1,2
2,Krtcap2,Th1,2
3,Cyp4f13,Th1,3
1,Vrk1,Th1,1
3,Pacs2,Th1,3
3,Ulk2,Th1,3
3,Tgfbr3,Th1,3
1,Pdia6,Th1,1
3,AI451557,Th1,3
3,H2-Eb1,Th1,3
2,Rab6ip1,Th1,2
3,Pkd1,Th1,3
2,Lrp12,Th1,2
2,2610209M04Rik,Th1,2
2,Plk1,Th1,2
1,Aarsd1,Th1,1
3,Zc3hav1,Th1,3
3,Ctsa,Th1,3
1,Eif4a1,Th1,1
2,Ggt7,Th1,2
2,Cyp51,Th1,2
2,Slc37a4,Th1,2
3,Creb3,Th1,3
2,Xpnpep1,Th1,2
2,Sp140,Th1,2
3,Rufy1,Th1,3
2,1500012F01Rik,Th1,2
3,Tnrc6a,Th1,3
3,Ptpn12,Th1,3
2,Chac1,Th1,2
1,E130012A19Rik,Th1,1
1,Atpbd1b,Th1,1
2,Isg20,Th1,2
2,Mdm1,Th1,2
2,Pgls,Th1,2
3,Ech1,Th1,3
3,Rbms1,Th1,3
2,Supt3h,Th1,2
3,1700019H03Rik,Th1,3
1,Cd69,Th1,1
1,Zfp106,Th1,1
2,Sugt1,Th1,2
2,Mrpl30,Th1,2
1,Mrps28,Th1,1
3,C1qb,Th1,3
3,Adam4,Th1,3
3,Tmem127,Th1,3
1,Trub2,Th1,1
2,Tg,Th1,2
3,Gpatch2,Th1,3
3,Rab3a,Th1,3
2,Ncapg2,Th1,2
2,Fus,Th1,2
3,Zfp672,Th1,3
2,Eno1,Th1,2
2,Obfc2a,Th1,2
2,Fads1,Th1,2
3,Dok3,Th1,3
2,AA407659,Th1,2
3,Srpk1,Th1,3
3,Cd4,Th1,3
3,Rpe,Th1,3
3,Rabac1,Th1,3
3,Ppapdc2,Th1,3
1,Pex11a,Th1,1
3,D12Ertd553e,Th1,3
3,Mrvi1,Th1,3
1,Mrps7,Th1,1
2,Ccdc5,Th1,2
2,Ccnd3,Th1,2
2,Tfrc,Th1,2
2,Akr1c18,Th1,2
2,Smtn,Th1,2
1,Ola1,Th1,1
1,Cnih4,Th1,1
3,Tspan14,Th1,3
2,3010026O09Rik,Th1,2
2,Crtap,Th1,2
1,Gps1,Th1,1
3,Cdc2l5,Th1,3
2,Mlkl,Th1,2
1,Oxsr1,Th1,1
2,Dmwd,Th1,2
1,Ncl,Th1,1
1,Nfkbid,Th1,1
2,Sulf2,Th1,2
3,Accs,Th1,3
1,Siah1b,Th1,1
3,Mbd5,Th1,3
2,Snx1,Th1,2
2,Acsl6,Th1,2
2,Mapk1ip1l,Th1,2
2,Incenp,Th1,2
3,Habp4,Th1,3
2,Hemk1,Th1,2
2,Nsl1,Th1,2
3,5730494M16Rik,Th1,3
3,Bcl7a,Th1,3
3,D4Wsu132e,Th1,3
3,Hectd3,Th1,3
2,Cd80,Th1,2
3,Itgad,Th1,3
2,Rdh11,Th1,2
2,Eif4enif1,Th1,2
1,Ddx21,Th1,1
2,F2rl2,Th1,2
3,Tpcn1,Th1,3
3,BC031353,Th1,3
1,Dgat2,Th1,1
2,Pmvk,Th1,2
3,A430107D22Rik,Th1,3
2,Hmgn3,Th1,2
3,Gimap7,Th1,3
1,Rangrf,Th1,1
2,Pola2,Th1,2
3,Rtn4rl1,Th1,3
2,Tubb6,Th1,2
2,Mtbp,Th1,2
3,Atp9a,Th1,3
3,Ccdc92,Th1,3
3,5830434P21Rik,Th1,3
2,Fignl1,Th1,2
1,Dtymk,Th1,1
2,Polq,Th1,2
2,Elovl6,Th1,2
2,6230416J20Rik,Th1,2
3,Dusp23,Th1,3
1,Cycs,Th1,1
2,Hist1h2ah,Th1,2
3,Csk,Th1,3
3,H2-Oa,Th1,3
2,Acot7,Th1,2
1,Mrps2,Th1,1
3,Sept9,Th1,3
3,Esco1,Th1,3
3,Tex9,Th1,3
1,Krr1,Th1,1
3,Map3k1,Th1,3
3,D6Wsu176e,Th1,3
3,Camk1d,Th1,3
1,Uqcr,Th1,1
3,E2f2,Th1,3
2,Pik3ap1,Th1,2
1,Nubp1,Th1,1
3,Mbc2,Th1,3
3,Smug1,Th1,3
3,A130092J06Rik,Th1,3
2,Armcx1,Th1,2
1,Ddx1,Th1,1
3,Tbcel,Th1,3
1,Immt,Th1,1
3,Xpc,Th1,3
2,Egln1,Th1,2
1,Siah2,Th1,1
2,Tle6,Th1,2
1,Mettl4,Th1,1
2,Prc1,Th1,2
3,Stx1a,Th1,3
1,Sema7a,Th1,1
3,Trat1,Th1,3
3,Arrb1,Th1,3
2,Sdcbp2,Th1,2
2,Hic1,Th1,2
1,Xrcc6,Th1,1
2,Lilrb4,Th1,2
2,Mrpl1,Th1,2
3,Lyz2,Th1,3
2,Fgf2,Th1,2
3,Tspan32,Th1,3
3,Rbm38,Th1,3
3,Rag1ap1,Th1,3
3,Itgb7,Th1,3
1,Pex14,Th1,1
3,Cbx7,Th1,3
1,Abcb6,Th1,1
2,Eif2ak2,Th1,2
1,Ece2,Th1,1
2,Ifitm2,Th1,2
2,Gzf1,Th1,2
3,4933421E11Rik,Th1,3
2,BC057079,Th1,2
2,Lmnb1,Th1,2
3,Nfatc3,Th1,3
1,Yrdc,Th1,1
2,Snai3,Th1,2
1,Ipo5,Th1,1
3,H2-DMa,Th1,3
3,Sidt1,Th1,3
3,Sec16a,Th1,3
2,Capsl,Th1,2
1,Hras1,Th1,1
2,2410004L22Rik,Th1,2
2,Hif1a,Th1,2
2,C1qdc2,Th1,2
2,Hdac7,Th1,2
3,Ahnak,Th1,3
3,Mlycd,Th1,3
3,Map3k12,Th1,3
3,Mylc2b,Th1,3
3,Prr7,Th1,3
2,Lrp11,Th1,2
3,Bcl6,Th1,3
2,Arl6,Th1,2
3,Prkag1,Th1,3
3,Pscd3,Th1,3
3,4930486L24Rik,Th1,3
3,Pik3ip1,Th1,3
3,Nckap1l,Th1,3
2,S100a1,Th1,2
2,Tfb1m,Th1,2
3,Trim56,Th1,3
3,Laptm5,Th1,3
3,Cd22,Th1,3
3,Fcrls,Th1,3
1,Pop1,Th1,1
3,Tmem71,Th1,3
2,Cox7b,Th1,2
1,Atp2a2,Th1,1
3,Pcaf,Th1,3
3,Cd3g,Th1,3
3,Zfp429,Th1,3
3,Morc3,Th1,3
2,Ppt1,Th1,2
1,Thop1,Th1,1
3,Rfx2,Th1,3
2,4930539E08Rik,Th1,2
2,1700019E19Rik,Th1,2
2,Cenpf,Th1,2
2,1110001A07Rik,Th1,2
1,Ptcd3,Th1,1
2,Nsdhl,Th1,2
2,Plcxd1,Th1,2
3,Cotl1,Th1,3
3,Vps54,Th1,3
2,Cryz,Th1,2
3,Psen2,Th1,3
3,Qpct,Th1,3
1,Ccr8,Th1,1
3,C630004H02Rik,Th1,3
3,Lmo4,Th1,3
3,Setd4,Th1,3
3,Ccr6,Th1,3
3,5830427D03Rik,Th1,3
1,Nol9,Th1,1
1,Irf4,Th1,1
1,Gsto1,Th1,1
2,Tomm22,Th1,2
1,Napa,Th1,1
2,EG330305,Th1,2
1,Atic,Th1,1
3,Entpd6,Th1,3
3,Akr1c12,Th1,3
