"gene","celltype","annot"
"Arhgap27","Th0",3
"Sec11c","Th0",2
"Spata2L","Th0",3
"1500019G21Rik","Th0",1
"Slc6a9","Th0",2
"Foxn3","Th0",3
"Trim59","Th0",2
"C330023M02Rik.1","Th0",1
"Pdss1","Th0",1
"B4galt7","Th0",3
"Mbtps1.1","Th0",3
"Gale","Th0",2
"Armcx6.1","Th0",2
"Mt1","Th0",2
"Nusap1.2","Th0",2
"Pold1","Th0",2
"Fmo5.1","Th0",3
"Spns1","Th0",3
"Edem2.3","Th0",2
"Grap2","Th0",3
"Josd3","Th0",2
"Hist1h4a","Th0",2
"Arhgap15.2","Th0",3
"Mtmr9","Th0",1
"Fryl.1","Th0",3
"Ppp2r1b.2","Th0",1
"Arhgef6.1","Th0",2
"Fchsd2","Th0",3
"Hspa2.1","Th0",2
"Tmem63a","Th0",3
"Pigu","Th0",2
"Ercc2.1","Th0",2
"Trp53inp1.1","Th0",3
"Pdlim2.2","Th0",2
"Eif2s2","Th0",1
"Rpl38.1","Th0",2
"Cul7","Th0",2
"Chd2","Th0",3
"Gphn.1","Th0",2
"Camk2g.1","Th0",3
"Ccdc50","Th0",2
"Dzip1","Th0",3
"4631427C17Rik","Th0",2
"Pkp3","Th0",3
"Als2cr4.2","Th0",2
"Paox.2","Th0",2
"Sftpd","Th0",3
"Rnf11.1","Th0",2
"Atp5sl","Th0",3
"6330442E10Rik.1","Th0",3
"Lamp2","Th0",2
"C730027P07Rik","Th0",2
"Gstk1","Th0",2
"Mcm4.1","Th0",2
"Ifit2.1","Th0",2
"Ranbp10","Th0",3
"Trmu.1","Th0",3
"Tiam1","Th0",2
"Trex1","Th0",2
"Slc10a3","Th0",1
"Gtl3","Th0",2
"Ttk","Th0",2
"Gale.1","Th0",2
"Unc119b.1","Th0",2
"Ttll4","Th0",1
"Igf1r","Th0",1
"Dtwd1","Th0",1
"Iqgap3.1","Th0",2
"1110007L15Rik.1","Th0",1
"0610037D15Rik","Th0",2
"Casp4.2","Th0",2
"Bccip.3","Th0",1
"Naca","Th0",2
"Wdr75.1","Th0",1
"Dync1h1","Th0",3
"Ep300.1","Th0",3
"Kremen2","Th0",2
"Hmgb2","Th0",2
"Slc39a7","Th0",3
"Atp11c.1","Th0",3
"Myc.1","Th0",1
"1810009A15Rik.1","Th0",1
"Btbd14b.2","Th0",2
"Psmd7","Th0",1
"Cfdp1","Th0",1
"Prr13","Th0",2
"Rps27a","Th0",1
"Sec61a1","Th0",1
"F730047E07Rik.1","Th0",2
"Lcp2.1","Th0",1
"Fdps","Th0",2
"Rad23b","Th0",2
"Crbn.2","Th0",3
"Ctdsp1.1","Th0",3
"Jak2.2","Th0",1
"Prf1","Th0",3
"Add3.1","Th0",3
"Hint2","Th0",2
"Ankzf1.1","Th0",2
"2610021K21Rik.1","Th0",2
"Cnnm3","Th0",3
"Mgll.1","Th0",1
"Rpa2.1","Th0",2
"Insig1.3","Th0",2
"Ap1s1.1","Th0",2
"Adarb1.1","Th0",1
"Mthfd2","Th0",2
"Scg5","Th0",3
"Niban","Th0",2
"Mettl1.2","Th0",1
"Tspan4.1","Th0",2
"Pdcd4.3","Th0",3
"Tnrc6b.1","Th0",3
"Fxyd5.2","Th0",3
"Tia1.1","Th0",3
"Ddef2.4","Th0",2
"1200015F23Rik.1","Th0",1
"Atg7","Th0",3
"Phca.1","Th0",1
"Flt3l","Th0",3
"Fgf13.2","Th0",3
"1700025K23Rik","Th0",2
"Was","Th0",3
"Prps1","Th0",1
"Rpl13a","Th0",2
"Epc1.2","Th0",3
"Sccpdh","Th0",2
"Crls1.2","Th0",1
"Ypel5.1","Th0",3
"Tmem65.2","Th0",1
"Nudt8","Th0",2
"Rai12.1","Th0",1
"Arhgap29","Th0",3
"Xdh","Th0",2
"Dpagt1","Th0",2
"Ets1","Th0",3
"Gdi1.3","Th0",3
"Arhgef1.2","Th0",3
"2210012G02Rik.1","Th0",3
"Ccdc95.1","Th0",1
"Sla.2","Th0",2
"Ncbp2.1","Th0",1
"Sgol2","Th0",2
"Trim11","Th0",3
"Exdl2.2","Th0",3
"Pps.1","Th0",3
"Rrp9","Th0",1
"Pi4k2b.1","Th0",2
"St3gal1","Th0",2
"Flcn.1","Th0",3
"Gdi1.4","Th0",3
"Rnasen.1","Th0",3
"Ccdc50.1","Th0",2
"Il15ra.1","Th0",1
"Igfbp7.1","Th0",2
"Hbp1","Th0",3
"Sell","Th0",3
"Dis3","Th0",1
"1110012M11Rik","Th0",2
"Gpatch4","Th0",1
"Cnp","Th0",3
"Hmg20a.1","Th0",3
"Lgals9.2","Th0",2
"Rbms2.3","Th0",3
"3110056O03Rik","Th0",3
"Rfesd.1","Th0",3
"Kpna1","Th0",1
"Mtap1s","Th0",1
"2810021J22Rik.2","Th0",3
"Aoc2.2","Th0",1
"Tprgl","Th0",3
"3110057O12Rik.1","Th0",2
"Tmpo.2","Th0",2
"Gstcd.2","Th0",2
"Fryl.2","Th0",3
"Tmie","Th0",3
"Pik3cd.1","Th0",3
"Cd320","Th0",1
"Tcp1","Th0",2
"Sod1","Th0",2
"Churc1","Th0",2
"Gbp6","Th0",2
"Vkorc1l1.2","Th0",1
"Cmtm4","Th0",2
"Tbc1d2b.2","Th0",3
"Traf3.1","Th0",3
"Hist1h2bh","Th0",2
"Ube2f.1","Th0",1
"Usp12","Th0",3
"Psmd8.1","Th0",1
"2410022L05Rik","Th0",2
"Fes","Th0",2
"St3gal1.1","Th0",2
"Cox6c","Th0",2
"Tmc6.1","Th0",3
"Enpp4","Th0",3
"Tle4.2","Th0",3
"4930547N16Rik","Th0",2
"Srgn.1","Th0",1
"Hist1h2ai.1","Th0",2
"2410018M08Rik","Th0",1
"Pus3","Th0",3
"Ebna1bp2","Th0",1
"Nicn1.1","Th0",2
"Klhl6.1","Th0",3
"Sh3glb2","Th0",3
"Rps24.1","Th0",2
"Hspbap1.1","Th0",3
"Cct7","Th0",2
"Dcxr.1","Th0",2
"Oas1b","Th0",2
"Dusp16","Th0",1
"Rnmtl1","Th0",1
"Pprc1","Th0",1
"Eftud2.2","Th0",1
"Gm129.2","Th0",1
"Ganc.1","Th0",2
"Kdelr3","Th0",2
"Slc25a44","Th0",3
"Mib1","Th0",1
"Ttyh3","Th0",3
"Chpf","Th0",1
"Csnk1d.3","Th0",1
"Ap2b1.2","Th0",1
"Rps27a.1","Th0",2
"Aldoc","Th0",2
"Spag1.1","Th0",3
"Bag4.1","Th0",1
"Exoc2","Th0",2
"Ncoa2.1","Th0",3
"Ly6c1","Th0",2
"Wdr18.1","Th0",1
"Zdhhc13.1","Th0",1
"4831426I19Rik.2","Th0",2
"Srfbp1.1","Th0",1
"Ganc.2","Th0",3
"Cdk8.1","Th0",1
"Ctla4","Th0",2
"Myd116","Th0",3
"Arhgap30.1","Th0",3
"Gldc","Th0",2
"Rsad2","Th0",2
"2610027C15Rik.1","Th0",2
"Mrpl20","Th0",1
"Slc12a3.2","Th0",1
"Zbtb9.1","Th0",3
"Acsl3.2","Th0",2
"Rrm2","Th0",2
"Wdr78","Th0",2
"Mrpl3.1","Th0",1
"Slc46a3","Th0",3
"Prlr.2","Th0",3
"Rsc1a1","Th0",1
"Cep72","Th0",2
"Zdhhc6.2","Th0",1
"Ppm1l.1","Th0",3
"Pacsin1.2","Th0",3
"Wars2.2","Th0",3
"Hist1h4b.1","Th0",2
"Pim2","Th0",2
"4121402D02Rik.1","Th0",3
"Brca2.2","Th0",2
"Bcl2","Th0",3
"Tsen2","Th0",1
"Mbd4","Th0",2
"Syngr2.2","Th0",2
"Aes","Th0",3
"Tdrkh.1","Th0",1
"Zfp148.1","Th0",3
"Chst12","Th0",2
"Pecam1.1","Th0",3
"Inppl1.1","Th0",2
"Mmd","Th0",1
"Unc45a","Th0",3
"Gpsm2.1","Th0",2
"Zfp296.1","Th0",1
"LOC625360","Th0",2
"Adfp","Th0",2
"Hspd1.1","Th0",2
"Dgkq.2","Th0",3
"2900011O08Rik.1","Th0",3
"E2f3","Th0",2
"Mtap9.3","Th0",2
"Naca.1","Th0",2
"Trim21","Th0",3
"Per2","Th0",1
"Lbh","Th0",3
"Car11","Th0",3
"Socs1","Th0",3
"Rreb1.2","Th0",3
"Mtap6.2","Th0",2
"Gpr65","Th0",3
"Clcn3.2","Th0",2
"Dapk1.2","Th0",3
"Mmp13.2","Th0",1
"Manba.1","Th0",2
"Pes1","Th0",1
"A630077B13Rik","Th0",3
"Map3k14","Th0",3
"Gbp1","Th0",2
"Gabarapl1","Th0",2
"Pgk1","Th0",2
"Tbc1d2.4","Th0",3
"Mapk11","Th0",3
"Pdk3","Th0",2
"Tox","Th0",3
"LOC547323.1","Th0",3
"Ccrk.3","Th0",3
"Entpd4.1","Th0",3
"Gabpa.2","Th0",1
"Napsa.2","Th0",3
"Hist1h3h.1","Th0",2
"Btbd11.1","Th0",3
"Rnf144a","Th0",3
"Pelp1","Th0",1
"Rnaset2b","Th0",3
"Spsb1","Th0",3
"Vamp3.1","Th0",2
"Rai12.2","Th0",1
"Mcm6.3","Th0",2
"5730596K20Rik.3","Th0",1
"Pgam1.1","Th0",2
"Slc25a1","Th0",2
"Lrpprc.1","Th0",1
"Fut4","Th0",2
"Cd72","Th0",3
"Spcs3.1","Th0",1
"Hist1h2be.1","Th0",2
"Bid","Th0",1
"Slc7a6","Th0",1
"Trat1.1","Th0",3
"Gde1.1","Th0",2
"Snrpb.1","Th0",1
"Ece1","Th0",1
"Pard6a.1","Th0",2
"Eea1.2","Th0",1
"Smyd2.1","Th0",1
"Alas1","Th0",2
"Zfp36l1.2","Th0",1
"Inpp5f.2","Th0",3
"Pfn2.1","Th0",2
"Pld4","Th0",3
"Vdac3","Th0",2
"Rnf167.3","Th0",3
"Dhx58","Th0",2
"Ogfrl1.1","Th0",2
"Lta.1","Th0",2
"Slc39a3.1","Th0",3
"Lincr.2","Th0",3
"Plaur","Th0",1
"S100a11","Th0",2
"Narf","Th0",2
"Prkcz.2","Th0",3
"Apbb1","Th0",2
"Lyz","Th0",3
"Retsat","Th0",2
"Rcc1","Th0",1
"Nsg2.1","Th0",3
"Aatf","Th0",1
"Uck2.1","Th0",2
"0610031J06Rik.2","Th0",3
"Dnajc2.1","Th0",1
"Tmbim4","Th0",2
"Prr14","Th0",3
"Fyn.1","Th0",3
"Rnase4","Th0",3
"Oit3.1","Th0",2
"Aqp9","Th0",3
"Rasal1","Th0",3
"Dph3.2","Th0",1
"Cxcr3","Th0",3
"Cox4nb.1","Th0",1
"Eif4e2.1","Th0",2
"Serpinb6b","Th0",2
"Ampd2.1","Th0",1
"Tbl1xr1.1","Th0",3
"D2Ertd750e.2","Th0",2
"Rpp25","Th0",1
"Slco4a1.1","Th0",2
"Vps37b","Th0",3
"Nucb1.1","Th0",2
"P2rx7.3","Th0",3
"Mef2c.2","Th0",3
"Cd226.2","Th0",2
"Phf20l1","Th0",3
"Scd2","Th0",2
"Arl1","Th0",1
"Atp5o.2","Th0",2
"2610028A01Rik","Th0",1
"Nsdhl.3","Th0",2
"Irgm","Th0",2
"Irf1.3","Th0",3
"Hist1h2af.1","Th0",2
"Tcp1.1","Th0",2
"Fbxo27","Th0",3
"Nfic.1","Th0",3
"Pim1.1","Th0",2
"Plaa","Th0",1
"Zc3hc1.3","Th0",2
"Alg1","Th0",3
"Plac8","Th0",2
"Rasgrp1.1","Th0",3
"Fyco1","Th0",3
"Fah","Th0",2
"Vegfa.2","Th0",2
"H2-Ab1.2","Th0",3
"Arhgdig.1","Th0",2
"Acadl.1","Th0",2
"Esd.3","Th0",2
"March2.1","Th0",3
"Mett11d1","Th0",3
"Jdp2","Th0",2
"6430527G18Rik.1","Th0",3
"Gcs1","Th0",1
"Tap1","Th0",2
"Pira3.1","Th0",3
"Folr4.1","Th0",2
"Hsp90aa1.2","Th0",1
"Mre11a.1","Th0",2
"Txn1","Th0",2
"Mrpl11","Th0",1
"Rgs14","Th0",3
"Psmb10","Th0",3
"Cova1","Th0",2
"Arhgap9","Th0",3
"Las1l.1","Th0",2
"Slc25a45","Th0",3
"Ear2.3","Th0",3
"Odf2.2","Th0",2
"A830007P12Rik","Th0",3
"Slc29a1","Th0",1
"Ccdc58","Th0",2
"Adcy7","Th0",3
"Aldh4a1","Th0",3
"6720460F02Rik","Th0",2
"Rdh5","Th0",3
"Rras","Th0",2
"Col23a1","Th0",3
"Sema4b","Th0",3
"Kcnh2.2","Th0",3
"Ptpre.1","Th0",3
"Tubb2c","Th0",1
"Rnf11.2","Th0",2
"a.1","Th0",2
"Polk","Th0",2
"Lime1","Th0",3
"Plcxd1.2","Th0",2
"Gstk1.1","Th0",2
"Pqlc3.2","Th0",2
"Lss","Th0",2
"Snrk.3","Th0",3
"Hirip3","Th0",2
"Syncrip.2","Th0",1
"Sdhb.2","Th0",2
"Mbtps1.2","Th0",3
"Arhgap25.2","Th0",3
"Gata3","Th0",3
"Plekhb2","Th0",2
"4930455F23Rik","Th0",2
"1700012G19Rik","Th0",2
"Ssh2","Th0",3
"Stx5a.1","Th0",3
"Hist1h3f.1","Th0",3
"Glipr2.2","Th0",2
"Ccnd3.2","Th0",2
"Ube2q2.2","Th0",1
"Fgd2","Th0",3
"Siah1a","Th0",3
"Renbp","Th0",2
"Traf6.3","Th0",2
"Per2.2","Th0",1
"Gbp5","Th0",2
"Acn9","Th0",2
"Vldlr.4","Th0",2
"Ptpn22.1","Th0",3
"Nkiras1.1","Th0",2
"Cant1.1","Th0",3
"Snrpd1","Th0",2
"Emilin2","Th0",2
"Apom","Th0",2
"Prkca","Th0",2
"Umps.2","Th0",1
"Tctex1d2","Th0",2
"Dyrk2.1","Th0",3
"Tram1.1","Th0",2
"Ccndbp1.1","Th0",3
"Unc45a.1","Th0",3
"Bub1b","Th0",2
"Spryd4.1","Th0",1
"Dmtf1.1","Th0",3
"Gorasp2.3","Th0",1
"Pold4","Th0",2
"Ppm1k.2","Th0",2
"Gnaz","Th0",3
"Kctd17.1","Th0",2
"1700113I22Rik.1","Th0",2
"Lrp8.3","Th0",2
"Bxdc2.1","Th0",1
"Blm.3","Th0",2
"Ccdc123.1","Th0",2
"Tmco6.1","Th0",2
"Ube2f.2","Th0",1
"Msrb2.1","Th0",3
"H1f0","Th0",2
"Sass6","Th0",2
"Ethe1","Th0",2
"6430604K15Rik","Th0",3
"Nde1.2","Th0",2
"Amz2","Th0",2
"Klhl21","Th0",3
"Serpinb6a","Th0",2
"Rreb1.3","Th0",3
"Rassf2.2","Th0",3
"Tgfbr2.2","Th0",3
"Ifitm1.4","Th0",2
"Etfa.1","Th0",2
"Gm885","Th0",2
"Folr4.2","Th0",3
"P4ha2","Th0",2
"Gadd45b.1","Th0",1
"Rpo1-2","Th0",1
"C87436.1","Th0",3
"Traf5.1","Th0",3
"Piwil2","Th0",1
"Il4i1","Th0",1
"Pim2.1","Th0",2
"Gyg.1","Th0",2
"Mybbp1a.1","Th0",1
"Ets1.1","Th0",3
"Samsn1.1","Th0",1
"Fzd7","Th0",2
"1700047I17Rik1","Th0",2
"Chek2.1","Th0",2
"Oprs1.1","Th0",1
"Etfa.2","Th0",2
"Ube2cbp","Th0",1
"Sesn1.2","Th0",3
"H2afj.1","Th0",3
"Ccne2","Th0",2
"Setd8.2","Th0",1
"Atp5a1","Th0",2
"2310008H09Rik.1","Th0",1
"Eif5a.1","Th0",1
"Cldn12","Th0",2
"Man2a2.2","Th0",3
"Pou6f1","Th0",3
"Pigp.2","Th0",2
"Hbegf","Th0",2
"4930432O21Rik","Th0",3
"Vps13a.2","Th0",3
"Hist1h2bj","Th0",2
"Birc2.2","Th0",2
"Wdr5","Th0",1
"Scml4","Th0",3
"5630401D24Rik.4","Th0",1
"Klhdc4.1","Th0",1
"Ric8b.1","Th0",3
"Nphp4","Th0",2
"Leo1","Th0",1
"Orc6l","Th0",2
"Cdc2a.1","Th0",2
"Abi2.3","Th0",2
"Polr3h","Th0",1
"Adam9","Th0",2
"Arrdc4","Th0",2
"Slc25a1.1","Th0",2
"Eed","Th0",2
"Pbx2.2","Th0",3
"Lhfpl3.1","Th0",3
"Ap4s1","Th0",3
"Mylc2b.2","Th0",3
"AI316807","Th0",3
"Map2k6.2","Th0",3
"Hist1h2ab","Th0",2
"Ipp","Th0",2
"Faah.1","Th0",3
"Tmpo.3","Th0",2
"Il6ra.2","Th0",3
"Tmem53.2","Th0",2
"Scp2.3","Th0",3
"Clcn3.3","Th0",2
"Lyar","Th0",1
"Cenpl.1","Th0",2
"Smarce1.1","Th0",3
"Ndor1.3","Th0",3
"Phf6.1","Th0",1
"Hbb-b1.3","Th0",3
"Tprgl.1","Th0",3
"Lmnb2","Th0",1
"Prpf19.1","Th0",1
"Bcl11b.2","Th0",3
"Pld3.1","Th0",3
"Farsa","Th0",3
"Rdbp.2","Th0",2
"N6amt1","Th0",3
"Timm10","Th0",1
"Prpf38a.3","Th0",1
"Wdr45","Th0",3
"Nap1l1.1","Th0",1
"Tpi1.2","Th0",2
"Ahsa1","Th0",1
"Mum1","Th0",3
"AU022252.1","Th0",1
"Wdr67","Th0",2
"Ruvbl1.1","Th0",2
"Elk3.1","Th0",2
"1110003E01Rik","Th0",3
"Cenpi","Th0",2
"9530068E07Rik.1","Th0",2
"Usp28","Th0",3
"Lasp1.2","Th0",3
"Iqgap2.1","Th0",3
"Cd74.1","Th0",3
"Tbx6.1","Th0",3
"Rai12.3","Th0",1
"Ubqln4","Th0",1
"Mcm4.2","Th0",2
"Plscr1.1","Th0",2
"Taf9b.1","Th0",3
"Memo1","Th0",1
"C230078M08Rik","Th0",2
"Aldh3a2","Th0",3
"Msr2","Th0",2
"Ikbke","Th0",3
"Rbm43","Th0",2
"1500032D16Rik.1","Th0",2
"Tagap.2","Th0",1
"Rab33b","Th0",3
"Rasgrp2.2","Th0",3
"Lonp2","Th0",3
"Gemin6.2","Th0",2
"Ubash3a","Th0",3
"Crabp2","Th0",2
"Dusp19","Th0",2
"Gltp","Th0",3
"Dapk2.1","Th0",2
"St6galnac6.2","Th0",1
"Abr.3","Th0",3
"Ddx17.3","Th0",3
"BC016495","Th0",2
"Il24","Th0",2
"Lyrm2.1","Th0",3
"Adamtsl5","Th0",2
"Rnf167.4","Th0",3
"Nup133.1","Th0",2
"Ak3l1","Th0",2
"Rnpepl1","Th0",3
"Alg9.1","Th0",1
"Ncaph","Th0",2
"Dock8.1","Th0",3
"Nagk.3","Th0",2
"Hccs.1","Th0",1
"Klk8","Th0",3
"Dyrk1b.2","Th0",3
"Klhdc1.2","Th0",3
"Mki67ip","Th0",1
"Xkrx","Th0",3
"Armcx2","Th0",3
"Id1","Th0",1
"Acss1","Th0",3
"Arsa","Th0",3
"Slc5a6","Th0",1
"Zfp36","Th0",3
"Dennd1c","Th0",3
"Cenpb","Th0",2
"Nat5.2","Th0",2
"2410017P07Rik","Th0",2
"Siglech.1","Th0",3
"Gtf2e1","Th0",1
"Tbxa2r.1","Th0",3
"Mcm5","Th0",2
"Dusp16.1","Th0",1
"Abcd1","Th0",2
"Snrpd1.1","Th0",2
"Stat2","Th0",2
"Prr11","Th0",2
"Ptprs.4","Th0",2
"Cmtm4.1","Th0",2
"Freq.1","Th0",1
"Prmt7.2","Th0",1
"Apex1","Th0",1
"Dirc2","Th0",3
"Cyp2s1","Th0",3
"Txnip.1","Th0",3
"Sp100.1","Th0",2
"Fnip1.3","Th0",2
"Rpia","Th0",1
"2410016O06Rik","Th0",1
"Crem.2","Th0",1
"Whsc1","Th0",2
"Pi4k2b.3","Th0",1
"Bxdc2.2","Th0",1
"Cdkn2d","Th0",2
"Tufm","Th0",1
"Tnfsf14.2","Th0",1
"Mbtps1.3","Th0",3
"Ccdc18.1","Th0",2
"E130303B06Rik","Th0",2
"Pfkm.2","Th0",2
"Tgm1","Th0",2
"Atad3a","Th0",1
"Stk17b","Th0",3
"Rps15a","Th0",3
"Frrs1","Th0",1
"Slc9a3r1","Th0",3
"Grhl1","Th0",1
"Ccng2","Th0",2
"Zmynd11","Th0",3
"Scrib.2","Th0",1
"Osm","Th0",2
"BC046331","Th0",1
"Tspo.2","Th0",2
"Gcnt2.4","Th0",2
"Mical1.2","Th0",3
"H2-K1.1","Th0",3
"Mtch2.1","Th0",1
"Gtf2f2","Th0",1
"Mns1","Th0",2
"Rrp12","Th0",1
"Arcn1","Th0",2
"Plxnd1.1","Th0",2
"Hsh2d","Th0",2
"Thg1l","Th0",1
"Tnrc6a.2","Th0",3
"2410018G20Rik","Th0",2
"0610009B22Rik","Th0",2
"Ifng.1","Th0",1
"Atm.1","Th0",2
"Atp5e","Th0",2
"Znrf1","Th0",3
"Igtp","Th0",2
"Ap1s1.2","Th0",2
"Endod1","Th0",2
"Foxp1","Th0",3
"Mobkl2a.1","Th0",3
"Tmem9b.1","Th0",3
"Rrs1","Th0",1
"Suv420h1.1","Th0",3
"Foxp3.2","Th0",3
"Hist2h2ac.1","Th0",2
"Plekha8.1","Th0",2
"Sdad1","Th0",1
"Aurkb","Th0",2
"Cox17","Th0",2
"Pank1.1","Th0",2
"Ltbp1.4","Th0",2
"Zfp579","Th0",3
"Zmynd11.1","Th0",3
"Enc1","Th0",3
"Syce2","Th0",2
"Farsb.1","Th0",1
"1110067D22Rik","Th0",2
"Cd52","Th0",3
"Atg2b.2","Th0",3
"D17Wsu92e.2","Th0",1
"Rem2","Th0",2
"Mrps18c","Th0",2
"Enoph1","Th0",2
"Prpf40a.1","Th0",1
"Peli1.1","Th0",3
"Kif15.1","Th0",2
"Snapc4","Th0",3
"Nol1.2","Th0",1
"Dnajc19.3","Th0",3
"Drg2","Th0",1
"Pttg1ip","Th0",3
"Bop1","Th0",1
"Pex11c.1","Th0",3
"Gadd45g.1","Th0",2
"Tarbp2.1","Th0",1
"B3galt4.1","Th0",3
"Eps15l1","Th0",3
"Lamp2.1","Th0",2
"Dhx58.1","Th0",2
"Pafah1b3","Th0",2
"Gbp6.1","Th0",2
"Ears2","Th0",3
"Tcf19","Th0",2
"Dusp6.1","Th0",2
"9030607L17Rik","Th0",3
"Slc2a1","Th0",2
"Ube2l6","Th0",2
"Gmps","Th0",1
"Trex1.1","Th0",2
"Zhx2","Th0",1
"Pcna","Th0",2
"Prkrip1","Th0",1
"Emd","Th0",1
"Psmb10.1","Th0",3
"Slc7a3.1","Th0",2
"3000004C01Rik.2","Th0",2
"Nars","Th0",1
"LOC433632","Th0",2
"Suv420h1.2","Th0",3
"Brwd1.1","Th0",3
"Mks1","Th0",2
"Cyb5r1","Th0",2
"Sdhd","Th0",2
"Rfc4","Th0",2
"Trip13","Th0",2
"Nxt1.1","Th0",1
"Gpi1","Th0",2
"Kcnk5.2","Th0",2
"Csf2","Th0",2
"Lyrm2.2","Th0",3
"Dock9.2","Th0",3
"Pou2f2","Th0",1
"Abhd4","Th0",2
"Nup133.2","Th0",2
"Jmjd6","Th0",2
"Hexa","Th0",3
"Ftsj3","Th0",1
"Tnfrsf25.1","Th0",3
"Thrap2","Th0",3
"Lat2.1","Th0",3
"Eef1d.3","Th0",1
"Metap2.4","Th0",2
"Atp2a3.2","Th0",3
"Myst1","Th0",3
"Heatr3.4","Th0",1
"Pparg.2","Th0",2
"Zcchc3.2","Th0",2
"Adk.1","Th0",1
"Als2cl.1","Th0",3
"Zfyve27","Th0",3
"Cldnd1","Th0",1
"Tbx21","Th0",1
"1110013L07Rik.1","Th0",3
"Prmt5.1","Th0",1
"Taok1.2","Th0",3
"Pmm1.1","Th0",2
"Dusp14","Th0",2
"Pon2","Th0",3
"2210021J22Rik","Th0",3
"Itih5.1","Th0",2
"Mrpl49.3","Th0",2
"Lmnb1.1","Th0",2
"Zfhx2.1","Th0",3
"Ryk.1","Th0",2
"Gemin4.1","Th0",1
"Hist1h2bc.1","Th0",3
"Igsf9","Th0",2
"Il15ra.2","Th0",2
"Rrm1","Th0",2
"2310005E10Rik.1","Th0",2
"Armc8.4","Th0",3
"Galnt10.2","Th0",3
"Anks3.2","Th0",3
"Gtf3c5.2","Th0",2
"Kif1b.5","Th0",3
"Hist4h4.1","Th0",2
"Rabgap1l.2","Th0",2
"Tha1","Th0",3
"Rrp1b","Th0",1
"Gsg2","Th0",2
"Sc4mol","Th0",2
"Polr3b","Th0",1
"Seh1l.3","Th0",1
"Gpld1","Th0",2
"Pus10.3","Th0",2
"Fosb","Th0",1
"Adi1","Th0",3
"6030408C04Rik.2","Th0",2
"Bcl2.1","Th0",2
"ENSMUSG00000053178","Th0",3
"Armc7","Th0",3
"Nme3","Th0",3
"Sil1","Th0",2
"Elmo1.10","Th0",3
"Uchl3","Th0",1
"Tipin.2","Th0",2
"Sqle.1","Th0",2
"BC037034","Th0",3
"Nmral1","Th0",2
"Ppp3ca.2","Th0",3
"Ece1.1","Th0",1
"Nubp1.1","Th0",1
"Lgals4.1","Th0",3
"Paqr7","Th0",3
"Parp3","Th0",3
"Fbxl12.3","Th0",3
"Gramd1b","Th0",1
"Hsdl1","Th0",3
"Cdca8.1","Th0",2
"H2-D1.1","Th0",3
"Arid4b.1","Th0",3
"Arl4c","Th0",3
"Vamp2","Th0",3
"Exosc4","Th0",1
"Cnot2.5","Th0",1
"Tapbpl.2","Th0",3
"Ripk3","Th0",2
"Tegt","Th0",3
"Sigirr","Th0",2
"Csnk1g2","Th0",3
"Mocos","Th0",2
"Abhd14a","Th0",2
"Cenpq","Th0",2
"6720467C03Rik.1","Th0",2
"Gnl3.1","Th0",1
"St13","Th0",2
"Lsm2","Th0",1
"Il2","Th0",1
"Gloxd1","Th0",1
"Mlstd2","Th0",1
"Btg1.1","Th0",3
"Rbm13.2","Th0",1
"Rad51.1","Th0",2
"Ndufb6.1","Th0",2
"Hsp90ab1.2","Th0",1
"Zc3h12d","Th0",1
"Dyrk3","Th0",2
"Hist1h2ao","Th0",2
"Tmem50a","Th0",3
"Ankrd47","Th0",2
"2310061C15Rik","Th0",2
"Slc35c1.2","Th0",3
"Pcsk4.4","Th0",2
"Trak2.2","Th0",3
"Abcd3","Th0",2
"Antxr2","Th0",3
"Ddx3y.1","Th0",3
"Hebp1","Th0",3
"Cdca7","Th0",2
"Wdr6","Th0",3
"Polh","Th0",2
"Akap1.5","Th0",1
"Cysltr1","Th0",2
"Hsf1","Th0",3
"Ei24","Th0",2
"Heatr5a.1","Th0",3
"Smtnl2","Th0",2
"Elmo1.11","Th0",3
"Ier3","Th0",2
"2310061F22Rik.1","Th0",1
"Trip6.1","Th0",3
"Snx14.2","Th0",3
"Smpdl3a","Th0",3
"Atf5","Th0",2
"Irf9.1","Th0",2
"BC027231.2","Th0",1
"Kif4.1","Th0",2
"Csnk1d.4","Th0",2
"Cd247.2","Th0",3
"Serhl.3","Th0",2
"Igf2bp3.2","Th0",2
"Cd3e","Th0",3
"Gfm1","Th0",1
"Csprs","Th0",2
"Adarb1.2","Th0",1
"F730047E07Rik.2","Th0",2
"Irf2bp1","Th0",3
"Clcf1.1","Th0",3
"Ffar2","Th0",3
"Twf2","Th0",3
"E2f2.2","Th0",2
"Cog1","Th0",3
"Atg10.1","Th0",2
"Brwd1.2","Th0",3
"Wiz.2","Th0",1
"Clcf1.2","Th0",3
"Ly6e","Th0",2
"Tmem55b.1","Th0",1
"Ing4.2","Th0",3
"Gm114.1","Th0",2
"Gphn.2","Th0",2
"Slc41a3.1","Th0",3
"5830415L20Rik","Th0",2
"Gemin5","Th0",1
"2610024E20Rik.2","Th0",3
"Sepn1","Th0",2
"Lrrk1.1","Th0",3
"Dhx33","Th0",1
"Stk4","Th0",3
"Tmem107.2","Th0",2
"Pik3cd.2","Th0",3
"Zmym2.1","Th0",3
"Aatf.1","Th0",1
"Cyp20a1.1","Th0",1
"Rrn3","Th0",1
"Ndufa5.1","Th0",2
"Tnfrsf21.1","Th0",1
