"annot","gene","celltype"
3,"Mad2l2","Th0"
1,"Pfkp","Th0"
2,"Hmg20a","Th0"
3,"Tnfrsf9","Th0"
1,"Sqle","Th0"
1,"4732479N06Rik","Th0"
2,"Galnt9","Th0"
2,"Bin1","Th0"
1,"Uevld","Th0"
1,"Rab31","Th0"
1,"Phlda3","Th0"
2,"Rasl11b.1","Th0"
1,"D10Ertd610e","Th0"
2,"Kifc2","Th0"
3,"Syncrip","Th0"
2,"Ogt","Th0"
1,"Cercam","Th0"
1,"Impa2","Th0"
1,"Dhrs1","Th0"
3,"Lrrc59.1","Th0"
3,"Gna-rs1","Th0"
3,"Hisppd1","Th0"
2,"Axin1","Th0"
1,"Tmco3.1","Th0"
1,"Sesn2","Th0"
1,"Pfn2","Th0"
3,"Creld2","Th0"
2,"Pcmtd1","Th0"
2,"Plec1","Th0"
1,"Ifit2","Th0"
1,"Hdgf","Th0"
2,"Vamp1","Th0"
3,"Tymp","Th0"
3,"Ddx3x","Th0"
1,"Zbtb32","Th0"
3,"Slc35a4","Th0"
2,"Ppm1b","Th0"
3,"Eftud2","Th0"
3,"Cct6a","Th0"
2,"1810015C04Rik","Th0"
1,"Pter","Th0"
1,"Maged2","Th0"
1,"Rfwd3","Th0"
1,"Ngfrap1","Th0"
2,"2700038C09Rik","Th0"
3,"Gabpb1","Th0"
1,"Pcsk4","Th0"
1,"Tubb5","Th0"
1,"Nrp1","Th0"
1,"Ahnak","Th0"
2,"Sepp1","Th0"
2,"Cxxc1.1","Th0"
3,"Hspa4","Th0"
1,"Cln6","Th0"
3,"Smyd5","Th0"
2,"Smarca2","Th0"
3,"Eif3eip","Th0"
3,"Bccip","Th0"
2,"Rab27a","Th0"
1,"Tnfsf9","Th0"
2,"Napsa","Th0"
1,"Golt1b","Th0"
2,"Hexim1","Th0"
2,"Snapc3","Th0"
1,"Aurka","Th0"
2,"Vezf1","Th0"
3,"L2hgdh","Th0"
2,"Plcl2","Th0"
1,"Oip5","Th0"
2,"AI467606","Th0"
2,"Tbc1d10c","Th0"
3,"Stoml2","Th0"
2,"Osgin1","Th0"
1,"Tex2","Th0"
2,"Gprc5b","Th0"
1,"D330045A20Rik","Th0"
1,"Lgals9","Th0"
3,"Noc4l","Th0"
2,"Ly86","Th0"
2,"Psip1","Th0"
1,"Asah1.1","Th0"
2,"2010305A19Rik","Th0"
3,"Noc3l","Th0"
1,"Zfp219","Th0"
1,"Dstn","Th0"
1,"Ncapg2","Th0"
3,"Timm8b","Th0"
1,"Il18rap","Th0"
3,"Nip7","Th0"
3,"Tnfaip3","Th0"
1,"Bcat1","Th0"
2,"Ppp1r13b","Th0"
2,"Rnase6","Th0"
2,"D030013I16Rik","Th0"
2,"Sit1","Th0"
2,"Gdi1","Th0"
1,"Ifi202b","Th0"
3,"Sptlc1","Th0"
1,"Rilpl1","Th0"
2,"Tgfbi","Th0"
1,"1500032D16Rik","Th0"
2,"Tsc22d4","Th0"
1,"Pddc1","Th0"
3,"Rab8b","Th0"
2,"Aqr","Th0"
1,"Rgs1","Th0"
2,"Arid4a.1","Th0"
2,"Nfatc1.1","Th0"
1,"Rabgap1l","Th0"
1,"Pmpcb","Th0"
2,"Sept1","Th0"
2,"Arfrp1.1","Th0"
2,"Bbc3","Th0"
1,"Psmd9","Th0"
3,"1500001M20Rik","Th0"
1,"EG634650","Th0"
1,"BC006779","Th0"
1,"Gvin1","Th0"
2,"Tyrobp","Th0"
2,"Klhdc1","Th0"
3,"5730596K20Rik.1","Th0"
1,"Bmpr1a","Th0"
3,"Lzic","Th0"
2,"Wnk1","Th0"
1,"Slc2a3","Th0"
1,"Cmtm7","Th0"
2,"Pitpnc1","Th0"
2,"Sephs1","Th0"
1,"Pde6d","Th0"
3,"Ncl","Th0"
3,"Nmd3","Th0"
1,"Bbs5","Th0"
1,"BC094916","Th0"
3,"Cbwd1","Th0"
1,"Thex1","Th0"
3,"Nus1","Th0"
2,"Pde2a","Th0"
2,"Epb4.1l3.1","Th0"
2,"Fryl","Th0"
1,"Pign","Th0"
2,"B230339M05Rik","Th0"
2,"Aldh6a1","Th0"
3,"Alcam","Th0"
1,"1810015A11Rik","Th0"
2,"Fbxo32","Th0"
2,"Fos","Th0"
2,"Sidt2","Th0"
2,"Usp53","Th0"
1,"Gins2","Th0"
1,"Lgals3","Th0"
2,"Nin","Th0"
1,"Krtcap2","Th0"
3,"Prmt7","Th0"
2,"Cyp4f13","Th0"
3,"Vrk1","Th0"
2,"Pacs2","Th0"
2,"Ulk2","Th0"
2,"Tgfbr3","Th0"
3,"Pdia6","Th0"
2,"Flcn","Th0"
2,"AI451557","Th0"
3,"Vkorc1l1","Th0"
2,"H2-Eb1","Th0"
1,"Nucb1","Th0"
1,"Rab6ip1","Th0"
2,"Pkd1","Th0"
1,"Lrp12","Th0"
2,"Zc3h7a","Th0"
2,"Itgae","Th0"
1,"2610209M04Rik","Th0"
1,"Plk1","Th0"
1,"Aarsd1","Th0"
2,"Zc3hav1","Th0"
2,"Ctsa","Th0"
3,"Eif4a1","Th0"
1,"Ggt7","Th0"
2,"Sh3kbp1","Th0"
1,"Cyp51","Th0"
1,"Slc37a4","Th0"
2,"Creb3","Th0"
2,"0610031J06Rik","Th0"
1,"Xpnpep1.1","Th0"
1,"Sp140","Th0"
2,"Rufy1","Th0"
1,"1500012F01Rik","Th0"
2,"Ramp3","Th0"
2,"Tnrc6a","Th0"
2,"Ptpn12","Th0"
1,"Chac1","Th0"
3,"E130012A19Rik","Th0"
3,"Nubp2.1","Th0"
3,"Atpbd1b","Th0"
1,"Isg20","Th0"
1,"Mdm1.1","Th0"
1,"Pgls","Th0"
1,"Ech1","Th0"
2,"Rbms1","Th0"
1,"Supt3h","Th0"
2,"1700019H03Rik","Th0"
3,"Cd69","Th0"
3,"Zfp106","Th0"
1,"Sugt1","Th0"
1,"Mrpl30","Th0"
3,"Mrps28","Th0"
2,"C1qb","Th0"
2,"Adam4","Th0"
2,"Slc35b3","Th0"
2,"Tmem127","Th0"
3,"Trub2","Th0"
3,"Cd40","Th0"
2,"Uros","Th0"
2,"Add1","Th0"
2,"Gadd45a","Th0"
1,"Asns","Th0"
2,"Ifngr2","Th0"
1,"Tg","Th0"
2,"Gpatch2","Th0"
2,"Rab3a","Th0"
1,"5230400G24Rik","Th0"
1,"Trim34","Th0"
1,"Ncapg2.1","Th0"
1,"Fus","Th0"
2,"Zfp672","Th0"
1,"Eno1","Th0"
3,"Obfc2a","Th0"
1,"Fads1","Th0"
2,"Dok3","Th0"
1,"AA407659","Th0"
2,"Srpk1","Th0"
2,"Cd4","Th0"
2,"Rpe","Th0"
2,"Rabac1","Th0"
2,"Ppapdc2","Th0"
3,"Pex11a","Th0"
2,"D12Ertd553e","Th0"
2,"Mrvi1","Th0"
3,"Ruvbl1","Th0"
3,"Mrps7","Th0"
2,"Ampd1","Th0"
1,"Ccdc5","Th0"
1,"Ccnd3","Th0"
2,"Hps3","Th0"
1,"Tfrc","Th0"
1,"Akr1c18","Th0"
1,"Smtn","Th0"
2,"Sgk3.1","Th0"
3,"Ola1","Th0"
1,"Ecm1","Th0"
1,"Cnih4","Th0"
2,"Tspan14","Th0"
1,"Drg1","Th0"
1,"3010026O09Rik","Th0"
3,"Lsm12","Th0"
1,"Crtap","Th0"
2,"Hvcn1","Th0"
3,"Gps1","Th0"
2,"Cdc2l5","Th0"
2,"Creb1.1","Th0"
3,"Dnajc2","Th0"
1,"Mlkl","Th0"
3,"Oxsr1","Th0"
1,"Dmwd","Th0"
3,"Ncl.1","Th0"
3,"Nfkbid","Th0"
1,"Sulf2","Th0"
2,"Accs","Th0"
1,"Siah1b","Th0"
2,"Mbd5","Th0"
1,"Snx1","Th0"
1,"Acsl6","Th0"
1,"Mapk1ip1l","Th0"
1,"Usp1","Th0"
3,"Sgip1","Th0"
3,"Eif3eip.1","Th0"
1,"Incenp","Th0"
2,"Habp4","Th0"
2,"Mta3","Th0"
1,"Hemk1","Th0"
2,"Tmem66","Th0"
1,"Nsl1","Th0"
2,"5730494M16Rik","Th0"
1,"Bcl7a","Th0"
1,"Mcm10","Th0"
2,"D4Wsu132e","Th0"
3,"2310008H09Rik","Th0"
3,"Wars","Th0"
2,"Hectd3","Th0"
1,"Cd80","Th0"
2,"Itgad","Th0"
2,"Tnfaip8l2","Th0"
1,"Rdh11","Th0"
1,"Eif4enif1","Th0"
3,"Ddx21","Th0"
1,"Ifi202b.1","Th0"
1,"F2rl2","Th0"
2,"Tpcn1","Th0"
2,"BC031353","Th0"
2,"Spnb2","Th0"
3,"Dgat2","Th0"
1,"Pmvk","Th0"
2,"A430107D22Rik","Th0"
2,"Mapk1ip1.1","Th0"
1,"Hmgn3","Th0"
2,"Gimap7","Th0"
3,"Rangrf","Th0"
1,"Pola2","Th0"
2,"Rtn4rl1","Th0"
1,"Tubb6","Th0"
1,"Mtbp","Th0"
2,"Atp9a","Th0"
1,"Ccdc92","Th0"
2,"5830434P21Rik","Th0"
1,"Fignl1","Th0"
1,"Dtymk","Th0"
1,"Polq","Th0"
1,"Elovl6","Th0"
1,"Ifit3","Th0"
1,"6230416J20Rik","Th0"
2,"Dusp23","Th0"
3,"Cycs","Th0"
2,"Fcrla","Th0"
1,"Rbbp7","Th0"
1,"Hist1h2ah","Th0"
2,"Igf2r","Th0"
2,"Csk","Th0"
1,"H2-Oa","Th0"
2,"Trak2","Th0"
1,"Acot7","Th0"
3,"Elac2","Th0"
1,"Slc10a7","Th0"
3,"Mrps2","Th0"
2,"Sept9","Th0"
1,"Acsl5","Th0"
2,"Esco1","Th0"
1,"Tex9","Th0"
3,"Krr1","Th0"
3,"2410002F23Rik","Th0"
2,"Map3k1","Th0"
2,"D6Wsu176e","Th0"
2,"Camk1d.1","Th0"
1,"Uqcr","Th0"
1,"E2f2","Th0"
1,"Pik3ap1","Th0"
2,"Faah","Th0"
3,"Atp2a2","Th0"
1,"Sema3b","Th0"
3,"Nubp1","Th0"
1,"Mbc2","Th0"
2,"Rassf2","Th0"
3,"Myo5a","Th0"
2,"Smug1","Th0"
2,"A130092J06Rik","Th0"
2,"Impact","Th0"
2,"Gprasp1","Th0"
1,"Armcx1","Th0"
2,"Elmo1.2","Th0"
3,"Ddx1","Th0"
2,"Tbcel","Th0"
3,"Ak2.1","Th0"
3,"Immt","Th0"
2,"Xpc.1","Th0"
1,"Manba","Th0"
1,"Actb","Th0"
1,"Egln1","Th0"
3,"Siah2","Th0"
3,"Tle6","Th0"
3,"Mettl4","Th0"
1,"Prc1","Th0"
2,"Stx1a","Th0"
3,"Sema7a","Th0"
1,"Tirap","Th0"
2,"Trat1","Th0"
1,"Arrb1.1","Th0"
1,"Sdcbp2","Th0"
3,"Hic1","Th0"
1,"Nudt21","Th0"
1,"Xrcc6","Th0"
1,"Cycs.1","Th0"
3,"Lilrb4.1","Th0"
1,"Mrpl1","Th0"
2,"Lyz2","Th0"
1,"Fgf2","Th0"
2,"Tspan32","Th0"
1,"Gnb5","Th0"
2,"Rbm38","Th0"
2,"Rag1ap1","Th0"
3,"Zfp296","Th0"
1,"Pus10","Th0"
2,"Itgb7","Th0"
3,"Pex14","Th0"
2,"Rapgef6","Th0"
2,"Cbx7","Th0"
1,"Abcb6","Th0"
1,"Eif2ak2","Th0"
3,"Ece2","Th0"
3,"Sema7a.1","Th0"
3,"Mrps10","Th0"
1,"Lsm12.1","Th0"
1,"Ifitm2","Th0"
1,"Gzf1","Th0"
2,"4933421E11Rik","Th0"
1,"BC057079","Th0"
1,"Lmnb1","Th0"
2,"Nfatc3","Th0"
3,"Yrdc","Th0"
1,"Snai3","Th0"
3,"Ipo5","Th0"
1,"Eif4e3","Th0"
2,"H2-DMa.1","Th0"
2,"Sidt1","Th0"
2,"Sec16a","Th0"
1,"Capsl","Th0"
3,"Hras1","Th0"
1,"2410004L22Rik","Th0"
1,"Hif1a.1","Th0"
1,"C1qdc2","Th0"
1,"Hdac7","Th0"
1,"Ahnak.1","Th0"
2,"2510009E07Rik","Th0"
