"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"TGCTGAY_UNKNOWN" "TGCTGAY_UNKNOWN" "TGCTGAY_UNKNOWN" "4/48" "318/7293" 0.155547906634408 0.770169564542945 0.770169564542945 "Snx10/Sema4b/Rnf213/Lrrk1" 4
"FOXJ2_01" "FOXJ2_01" "FOXJ2_01" "2/48" "109/7293" 0.160770918862671 0.770169564542945 0.770169564542945 "Ch25h/Mgll" 2
"HFH8_01" "HFH8_01" "HFH8_01" "2/48" "109/7293" 0.160770918862671 0.770169564542945 0.770169564542945 "Mgll/Marcks" 2
"HFH4_01" "HFH4_01" "HFH4_01" "2/48" "111/7293" 0.165422103792438 0.770169564542945 0.770169564542945 "Pparg/Mgll" 2
"HSF_Q6" "HSF_Q6" "HSF_Q6" "2/48" "116/7293" 0.177154109902444 0.770169564542945 0.770169564542945 "Tspan6/Lrrk1" 2
"HMX1_01" "HMX1_01" "HMX1_01" "1/48" "31/7293" 0.185457982547857 0.770169564542945 0.770169564542945 "Lrrk1" 1
"TGASTMAGC_NFE2_01" "TGASTMAGC_NFE2_01" "TGASTMAGC_NFE2_01" "2/48" "120/7293" 0.1866354332933 0.770169564542945 0.770169564542945 "Snx10/Il18rap" 2
"TCF11MAFG_01" "TCF11MAFG_01" "TCF11MAFG_01" "2/48" "122/7293" 0.191404370977066 0.770169564542945 0.770169564542945 "Pparg/Rexo2" 2
"PIT1_Q6" "PIT1_Q6" "PIT1_Q6" "2/48" "130/7293" 0.210639449311421 0.770169564542945 0.770169564542945 "Rnf213/Marcks" 2
"NKX62_Q2" "NKX62_Q2" "NKX62_Q2" "2/48" "132/7293" 0.215482080153612 0.770169564542945 0.770169564542945 "Ifih1/Marcks" 2
"NKX61_01" "NKX61_01" "NKX61_01" "2/48" "133/7293" 0.217907684357163 0.770169564542945 0.770169564542945 "Gata3/Marcks" 2
"OCT1_B" "OCT1_B" "OCT1_B" "2/48" "139/7293" 0.232512741105876 0.770169564542945 0.770169564542945 "Cd86/Ifit2" 2
"WYAAANNRNNNGCG_UNKNOWN" "WYAAANNRNNNGCG_UNKNOWN" "WYAAANNRNNNGCG_UNKNOWN" "1/48" "40/7293" 0.232677034921208 0.770169564542945 0.770169564542945 "Mgll" 1
"CIZ_01" "CIZ_01" "CIZ_01" "2/48" "140/7293" 0.234954250693544 0.770169564542945 0.770169564542945 "Tdrd7/Efna5" 2
"BRN2_01" "BRN2_01" "BRN2_01" "2/48" "141/7293" 0.237397511115079 0.770169564542945 0.770169564542945 "Il18rap/Mgll" 2
"TEF_Q6" "TEF_Q6" "TEF_Q6" "2/48" "142/7293" 0.239842396667887 0.770169564542945 0.770169564542945 "Nts/Usp18" 2
"PU1_Q6" "PU1_Q6" "PU1_Q6" "2/48" "143/7293" 0.242288783160558 0.770169564542945 0.770169564542945 "Znfx1/Gata3" 2
"CAGCTG_AP4_Q5" "CAGCTG_AP4_Q5" "CAGCTG_AP4_Q5" "8/48" "909/7293" 0.243294304224573 0.770169564542945 0.770169564542945 "Hsh2d/Rnf213/Lrrk1/Pik3ap1/Mgll/Nts/Parp12/Gata3" 8
"CEBP_Q3" "CEBP_Q3" "CEBP_Q3" "2/48" "144/7293" 0.244736547899142 0.770169564542945 0.770169564542945 "Aqp9/Efna5" 2
"E2F1_Q4_01" "E2F1_Q4_01" "E2F1_Q4_01" "2/48" "145/7293" 0.247185569673516 0.770169564542945 0.770169564542945 "Kbtbd7/Gata3" 2
"E2F_Q6" "E2F_Q6" "E2F_Q6" "2/48" "147/7293" 0.252086906827339 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"E2F_Q3_01" "E2F_Q3_01" "E2F_Q3_01" "2/48" "148/7293" 0.254538987084622 0.770169564542945 0.770169564542945 "Kbtbd7/Gata3" 2
"MZF1_01" "MZF1_01" "MZF1_01" "2/48" "148/7293" 0.254538987084622 0.770169564542945 0.770169564542945 "Rnf213/Mgll" 2
"CEBPDELTA_Q6" "CEBPDELTA_Q6" "CEBPDELTA_Q6" "2/48" "149/7293" 0.256991854106873 0.770169564542945 0.770169564542945 "Hsh2d/Marcks" 2
"E2F_Q4" "E2F_Q4" "E2F_Q4" "2/48" "151/7293" 0.261899493884536 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"AP1_Q2_01" "AP1_Q2_01" "AP1_Q2_01" "2/48" "152/7293" 0.264354042857072 0.770169564542945 0.770169564542945 "Snx10/Rexo2" 2
"CEBPGAMMA_Q6" "CEBPGAMMA_Q6" "CEBPGAMMA_Q6" "2/48" "152/7293" 0.264354042857072 0.770169564542945 0.770169564542945 "Pparg/Mgll" 2
"AP1_Q6" "AP1_Q6" "AP1_Q6" "2/48" "153/7293" 0.266808931003167 0.770169564542945 0.770169564542945 "Znfx1/Rexo2" 2
"FOXO1_02" "FOXO1_02" "FOXO1_02" "2/48" "153/7293" 0.266808931003167 0.770169564542945 0.770169564542945 "Hsh2d/Clpx" 2
"PAX_Q6" "PAX_Q6" "PAX_Q6" "2/48" "153/7293" 0.266808931003167 0.770169564542945 0.770169564542945 "Lrrk1/Gata3" 2
"E2F1_Q6" "E2F1_Q6" "E2F1_Q6" "2/48" "155/7293" 0.271719292365527 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"E2F1DP1_01" "E2F1DP1_01" "E2F1DP1_01" "2/48" "155/7293" 0.271719292365527 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"E2F1DP2_01" "E2F1DP2_01" "E2F1DP2_01" "2/48" "155/7293" 0.271719292365527 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"E2F4DP2_01" "E2F4DP2_01" "E2F4DP2_01" "2/48" "155/7293" 0.271719292365527 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"LXR_Q3" "LXR_Q3" "LXR_Q3" "1/48" "48/7293" 0.272391974556633 0.770169564542945 0.770169564542945 "Rnf213" 1
"AP1_Q4_01" "AP1_Q4_01" "AP1_Q4_01" "2/48" "156/7293" 0.27417455272768 0.770169564542945 0.770169564542945 "Snx10/Rexo2" 2
"E2F_02" "E2F_02" "E2F_02" "2/48" "156/7293" 0.27417455272768 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"AP1_01" "AP1_01" "AP1_01" "2/48" "157/7293" 0.276629726530328 0.770169564542945 0.770169564542945 "Snx10/Rexo2" 2
"FREAC2_01" "FREAC2_01" "FREAC2_01" "2/48" "157/7293" 0.276629726530328 0.770169564542945 0.770169564542945 "Clpx/Marcks" 2
"GGARNTKYCCA_UNKNOWN" "GGARNTKYCCA_UNKNOWN" "GGARNTKYCCA_UNKNOWN" "1/48" "49/7293" 0.27721256602955 0.770169564542945 0.770169564542945 "Cd86" 1
"RYAAAKNNNNNNTTGW_UNKNOWN" "RYAAAKNNNNNNTTGW_UNKNOWN" "RYAAAKNNNNNNTTGW_UNKNOWN" "1/48" "49/7293" 0.27721256602955 0.770169564542945 0.770169564542945 "Rnf213" 1
"E2F4DP1_01" "E2F4DP1_01" "E2F4DP1_01" "2/48" "158/7293" 0.279084710661837 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"HMGIY_Q6" "HMGIY_Q6" "HMGIY_Q6" "2/48" "158/7293" 0.279084710661837 0.770169564542945 0.770169564542945 "Il18rap/Mgll" 2
"RGAANNTTC_HSF1_01" "RGAANNTTC_HSF1_01" "RGAANNTTC_HSF1_01" "3/48" "281/7293" 0.281639006864259 0.770169564542945 0.770169564542945 "Tspan6/Mgll/Gata3" 3
"AP1_Q4" "AP1_Q4" "AP1_Q4" "2/48" "160/7293" 0.283993703973605 0.770169564542945 0.770169564542945 "Znfx1/Rexo2" 2
"AP1FJ_Q2" "AP1FJ_Q2" "AP1FJ_Q2" "2/48" "160/7293" 0.283993703973605 0.770169564542945 0.770169564542945 "Znfx1/Rexo2" 2
"HEB_Q6" "HEB_Q6" "HEB_Q6" "2/48" "161/7293" 0.286447513403171 0.770169564542945 0.770169564542945 "Rnf213/Gata3" 2
"YTATTTTNR_MEF2_02" "YTATTTTNR_MEF2_02" "YTATTTTNR_MEF2_02" "4/48" "413/7293" 0.287764717168122 0.770169564542945 0.770169564542945 "Znfx1/Mgll/Nts/Tlr7" 4
"E2F1_Q6_01" "E2F1_Q6_01" "E2F1_Q6_01" "2/48" "162/7293" 0.288900733636347 0.770169564542945 0.770169564542945 "Kbtbd7/Efna5" 2
"STAT6_02" "STAT6_02" "STAT6_02" "2/48" "164/7293" 0.293805020915685 0.770169564542945 0.770169564542945 "Sema4b/Trim25" 2
"ELF1_Q6" "ELF1_Q6" "ELF1_Q6" "2/48" "165/7293" 0.296255898263173 0.770169564542945 0.770169564542945 "Nts/Marcks" 2
"TGTYNNNNNRGCARM_UNKNOWN" "TGTYNNNNNRGCARM_UNKNOWN" "TGTYNNNNNRGCARM_UNKNOWN" "1/48" "54/7293" 0.300850328429905 0.770169564542945 0.770169564542945 "Sema4b" 1
"AP1_C" "AP1_C" "AP1_C" "2/48" "169/7293" 0.306048809459027 0.770169564542945 0.770169564542945 "Snx10/Rexo2" 2
"NFE2_01" "NFE2_01" "NFE2_01" "2/48" "169/7293" 0.306048809459027 0.770169564542945 0.770169564542945 "Snx10/Rexo2" 2
"IK1_01" "IK1_01" "IK1_01" "2/48" "170/7293" 0.308493937646323 0.770169564542945 0.770169564542945 "Rnf213/Cd86" 2
"STAT5A_01" "STAT5A_01" "STAT5A_01" "2/48" "170/7293" 0.308493937646323 0.770169564542945 0.770169564542945 "Tspan6/Tlr7" 2
"NFAT_Q4_01" "NFAT_Q4_01" "NFAT_Q4_01" "2/48" "171/7293" 0.310937650089516 0.770169564542945 0.770169564542945 "Mitd1/Fcrls" 2
"CMYB_01" "CMYB_01" "CMYB_01" "2/48" "172/7293" 0.313379860870867 0.770169564542945 0.770169564542945 "Pik3ap1/Mgll" 2
"USF_02" "USF_02" "USF_02" "2/48" "172/7293" 0.313379860870867 0.770169564542945 0.770169564542945 "Ube2l6/Rexo2" 2
"MEIS1AHOXA9_01" "MEIS1AHOXA9_01" "MEIS1AHOXA9_01" "1/48" "57/7293" 0.314667870561681 0.770169564542945 0.770169564542945 "Clpx" 1
"TGTTTGY_HNF3_Q6" "TGTTTGY_HNF3_Q6" "TGTTTGY_HNF3_Q6" "4/48" "431/7293" 0.314867063948501 0.770169564542945 0.770169564542945 "Sco1/Timd2/Mgll/Efna5" 4
"IK2_01" "IK2_01" "IK2_01" "2/48" "175/7293" 0.320696641156962 0.770169564542945 0.770169564542945 "Rnf213/Cd86" 2
"RACCACAR_AML_Q6" "RACCACAR_AML_Q6" "RACCACAR_AML_Q6" "2/48" "176/7293" 0.323132008825809 0.770169564542945 0.770169564542945 "Pparg/Rexo2" 2
"EGR1_01" "EGR1_01" "EGR1_01" "2/48" "178/7293" 0.327996922018551 0.770169564542945 0.770169564542945 "Mgll/Rexo2" 2
"YKACATTT_UNKNOWN" "YKACATTT_UNKNOWN" "YKACATTT_UNKNOWN" "2/48" "178/7293" 0.327996922018551 0.770169564542945 0.770169564542945 "Znfx1/Pparg" 2
"TGAYRTCA_ATF3_Q6" "TGAYRTCA_ATF3_Q6" "TGAYRTCA_ATF3_Q6" "3/48" "308/7293" 0.330775768645253 0.770169564542945 0.770169564542945 "Gbp5/Ch25h/Nts" 3
"CDP_02" "CDP_02" "CDP_02" "1/48" "61/7293" 0.332676024844221 0.770169564542945 0.770169564542945 "Marcks" 1
"GTTGNYNNRGNAAC_UNKNOWN" "GTTGNYNNRGNAAC_UNKNOWN" "GTTGNYNNRGNAAC_UNKNOWN" "1/48" "61/7293" 0.332676024844221 0.770169564542945 0.770169564542945 "Sema4b" 1
"TGANNYRGCA_TCF11MAFG_01" "TGANNYRGCA_TCF11MAFG_01" "TGANNYRGCA_TCF11MAFG_01" "2/48" "187/7293" 0.34977780798277 0.770169564542945 0.770169564542945 "Snx10/Pparg" 2
"PBX1_02" "PBX1_02" "PBX1_02" "1/48" "67/7293" 0.3588226921108 0.770169564542945 0.770169564542945 "Efna5" 1
"RYTGCNWTGGNR_UNKNOWN" "RYTGCNWTGGNR_UNKNOWN" "RYTGCNWTGGNR_UNKNOWN" "1/48" "67/7293" 0.3588226921108 0.770169564542945 0.770169564542945 "Sema4b" 1
"GATA2_01" "GATA2_01" "GATA2_01" "1/48" "68/7293" 0.363081827286372 0.770169564542945 0.770169564542945 "Gata3" 1
"GTCNYYATGR_UNKNOWN" "GTCNYYATGR_UNKNOWN" "GTCNYYATGR_UNKNOWN" "1/48" "69/7293" 0.367313255977064 0.770169564542945 0.770169564542945 "Rnf213" 1
"AGCYRWTTC_UNKNOWN" "AGCYRWTTC_UNKNOWN" "AGCYRWTTC_UNKNOWN" "1/48" "70/7293" 0.371517154608446 0.770169564542945 0.770169564542945 "Pparg" 1
"RGAGGAARY_PU1_Q6" "RGAGGAARY_PU1_Q6" "RGAGGAARY_PU1_Q6" "3/48" "331/7293" 0.372725518616965 0.770169564542945 0.770169564542945 "Znfx1/Pik3ap1/Nts" 3
"ARGGGTTAA_UNKNOWN" "ARGGGTTAA_UNKNOWN" "ARGGGTTAA_UNKNOWN" "1/48" "72/7293" 0.379843061906502 0.770169564542945 0.770169564542945 "Cd86" 1
"MEIS1BHOXA9_01" "MEIS1BHOXA9_01" "MEIS1BHOXA9_01" "1/48" "73/7293" 0.383965417955317 0.770169564542945 0.770169564542945 "Clpx" 1
"ACTWSNACTNY_UNKNOWN" "ACTWSNACTNY_UNKNOWN" "ACTWSNACTNY_UNKNOWN" "1/48" "74/7293" 0.388060938722373 0.770169564542945 0.770169564542945 "Tspan6" 1
"NKX25_01" "NKX25_01" "NKX25_01" "1/48" "75/7293" 0.392129795204064 0.770169564542945 0.770169564542945 "Clpx" 1
"RACTNNRTTTNC_UNKNOWN" "RACTNNRTTTNC_UNKNOWN" "RACTNNRTTTNC_UNKNOWN" "1/48" "77/7293" 0.400188193973109 0.770169564542945 0.770169564542945 "Znfx1" 1
"CATRRAGC_UNKNOWN" "CATRRAGC_UNKNOWN" "CATRRAGC_UNKNOWN" "1/48" "78/7293" 0.404178072948898 0.770169564542945 0.770169564542945 "Efna5" 1
"CCAWYNNGAAR_UNKNOWN" "CCAWYNNGAAR_UNKNOWN" "CCAWYNNGAAR_UNKNOWN" "1/48" "86/7293" 0.435175224405005 0.770169564542945 0.770169564542945 "Rnf213" 1
"TAXCREB_01" "TAXCREB_01" "TAXCREB_01" "1/48" "86/7293" 0.435175224405005 0.770169564542945 0.770169564542945 "Marcks" 1
"YNGTTNNNATT_UNKNOWN" "YNGTTNNNATT_UNKNOWN" "YNGTTNNNATT_UNKNOWN" "2/48" "224/7293" 0.436529392856619 0.770169564542945 0.770169564542945 "Hsh2d/Ifih1" 2
"GGGNNTTTCC_NFKB_Q6_01" "GGGNNTTTCC_NFKB_Q6_01" "GGGNNTTTCC_NFKB_Q6_01" "1/48" "88/7293" 0.44267437070536 0.770169564542945 0.770169564542945 "Cd86" 1
"RORA2_01" "RORA2_01" "RORA2_01" "1/48" "90/7293" 0.450075998557849 0.770169564542945 0.770169564542945 "Marcks" 1
"STAT3_02" "STAT3_02" "STAT3_02" "1/48" "92/7293" 0.45738134944893 0.770169564542945 0.770169564542945 "Rnf213" 1
"YTAAYNGCT_UNKNOWN" "YTAAYNGCT_UNKNOWN" "YTAAYNGCT_UNKNOWN" "1/48" "92/7293" 0.45738134944893 0.770169564542945 0.770169564542945 "Gata3" 1
"RTTTNNNYTGGM_UNKNOWN" "RTTTNNNYTGGM_UNKNOWN" "RTTTNNNYTGGM_UNKNOWN" "1/48" "93/7293" 0.460998304764366 0.770169564542945 0.770169564542945 "Tspan6" 1
"EVI1_05" "EVI1_05" "EVI1_05" "1/48" "96/7293" 0.471708109152177 0.770169564542945 0.770169564542945 "Mgll" 1
"DR3_Q4" "DR3_Q4" "DR3_Q4" "1/48" "97/7293" 0.475231523180341 0.770169564542945 0.770169564542945 "Aqp9" 1
"PAX5_01" "PAX5_01" "PAX5_01" "1/48" "97/7293" 0.475231523180341 0.770169564542945 0.770169564542945 "Rnf213" 1
"CTTTGA_LEF1_Q2" "CTTTGA_LEF1_Q2" "CTTTGA_LEF1_Q2" "5/48" "688/7293" 0.478448597385008 0.770169564542945 0.770169564542945 "Sema4b/Rnf213/Il18rap/Pparg/Efna5" 5
"GTTRYCATRR_UNKNOWN" "GTTRYCATRR_UNKNOWN" "GTTRYCATRR_UNKNOWN" "1/48" "100/7293" 0.48566427576707 0.770169564542945 0.770169564542945 "Sema4b" 1
"YTAATTAA_LHX3_01" "YTAATTAA_LHX3_01" "YTAATTAA_LHX3_01" "1/48" "100/7293" 0.48566427576707 0.770169564542945 0.770169564542945 "Marcks" 1
"TTCNRGNNNNTTC_HSF_Q6" "TTCNRGNNNNTTC_HSF_Q6" "TTCNRGNNNNTTC_HSF_Q6" "1/48" "102/7293" 0.492506329393544 0.770169564542945 0.770169564542945 "Tspan6" 1
"AP2REP_01" "AP2REP_01" "AP2REP_01" "1/48" "104/7293" 0.499259236712952 0.770169564542945 0.770169564542945 "Efna5" 1
"RYTTCCTG_ETS2_B" "RYTTCCTG_ETS2_B" "RYTTCCTG_ETS2_B" "5/48" "722/7293" 0.522587405239518 0.770169564542945 0.770169564542945 "Il18rap/Cd86/Trim25/Mgll/Gata3" 5
"LHX3_01" "LHX3_01" "LHX3_01" "1/48" "113/7293" 0.528574291785213 0.770169564542945 0.770169564542945 "Marcks" 1
"OCT1_02" "OCT1_02" "OCT1_02" "1/48" "117/7293" 0.541057391324331 0.770169564542945 0.770169564542945 "Znfx1" 1
"E2F_Q2" "E2F_Q2" "E2F_Q2" "1/48" "119/7293" 0.547176982651415 0.770169564542945 0.770169564542945 "Gata3" 1
"RP58_01" "RP58_01" "RP58_01" "1/48" "119/7293" 0.547176982651415 0.770169564542945 0.770169564542945 "Tlr7" 1
"GR_01" "GR_01" "GR_01" "1/48" "120/7293" 0.550206743570391 0.770169564542945 0.770169564542945 "Gata3" 1
"HNF1_01" "HNF1_01" "HNF1_01" "1/48" "120/7293" 0.550206743570391 0.770169564542945 0.770169564542945 "Timd2" 1
