"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"MYCMAX_B" "MYCMAX_B" "MYCMAX_B" "30/779" "172/7293" 0.00446077928079439 0.194870767554145 0.1868859533414 "Ankmy2/Bcl11b/Tsc22d4/Rapgef6/Sema7a/Vapa/Ppp1r9b/Trpc4ap/Pip4k2b/Cyp2d22/Ankzf1/Nsun2/1700025G04Rik/Serbp1/Kpnb1/Dym/Rnf125/Bzw2/Sox12/Ythdf2/Cct5/Dazap1/Fchsd2/Pes1/Kcnh2/Sdhb/Id1/Hmga1/Tmem43/Snx5" 30
"STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "STTTCRNTTT_IRF_Q6" "24/779" "129/7293" 0.00456256604430965 0.194870767554145 0.1868859533414 "Nfix/Dtx3l/Psip1/Itgb7/Rapgef6/Mllt3/Usp18/Zbp1/Bst2/Prkd2/Atxn1/Epsti1/Cxcl10/Slc15a3/Casp7/Evl/Otx1/Hpcal1/Grap2/Arhgef6/Flt3l/Dhx58/Etv6/Bcl2l1" 24
"IRF_Q6" "IRF_Q6" "IRF_Q6" "29/779" "165/7293" 0.00458491005826981 0.194870767554145 0.1868859533414 "Dtx3l/Zbtb32/Nrp1/Lgals9/Itgb7/Rapgef6/Prkag1/Mllt3/Atxn7l1/Zbp1/H2-M3/Bst2/Pip4k2b/Tmem108/Prkd2/Cxcl10/Slc15a3/Zadh2/Casp7/Eif4a2/Hpcal1/Arhgef6/Sell/Dhx58/Tbl1xr1/Ube2l6/Lgals8/Etv6/Eomes" 29
"E2F_Q4" "E2F_Q4" "E2F_Q4" "27/779" "151/7293" 0.00480906188287499 0.194870767554145 0.1868859533414 "Slco3a1/Mcm6/Arid4a/Aldh6a1/Pola2/Uxt/Tbx6/Mcm2/Prkdc/Tmem108/Ddb2/Mcm4/Nasp/Fhod1/Cdc25a/Acbd6/Kpnb1/Ppp1cc/Sumo1/Nup62/Ints7/Rbl1/Chd2/Eed/Pcna/Zmym2/Mcm3" 27
"MYCMAX_03" "MYCMAX_03" "MYCMAX_03" "26/779" "144/7293" 0.0049044656263627 0.194870767554145 0.1868859533414 "Slc38a2/Cbx8/Lrrc59/Aldh6a1/Ctsa/Fkbp11/Pkn1/Rmnd1/Rpa1/Mat2a/Mcm2/Lef1/Cyp2d22/Ube2b/Atf4/Lonrf3/Bax/Dym/Dusp7/Cuta/Hmox1/Pprc1/Hexa/Ankrd17/Commd3/Snx5" 26
"MGGAAGTG_GABP_B" "MGGAAGTG_GABP_B" "MGGAAGTG_GABP_B" "74/779" "520/7293" 0.00524670612222492 0.195439803052878 0.187431672655798 "Cbx8/Ing4/Lrrc59/Tbc1d10c/Creb3/Itgb7/Yrdc/Prkag1/Laptm5/Pkn1/Arrb2/Uxt/E2f5/Unc13d/Ssbp3/Dguok/Zfand3/Ppan/Pcgf1/Oma1/Trpv2/Vamp8/Tmem9b/Sf3a1/Samsn1/Wipi2/Pkib/Nasp/Actb/Fxyd5/Bcas3/Nr4a2/Edem2/Pik3cg/Bax/Itpr2/Furin/Zfp512/Xcl1/Polr3d/Leprotl1/Zer1/Ctps2/Sumo1/Tmem154/Zadh2/Prkacb/Use1/Wdhd1/Arhgap15/Acp2/Sipa1/Brcc3/Itpr3/Gnl2/Appl2/Arhgef6/Pdlim2/Igf1r/Ctdsp1/Cct7/Lime1/Ube2f/Elk3/Slc9a3r1/Cox17/Map4k2/Hmga1/Lpxn/Arhgap4/Slamf9/Bcl2l1/Agpat4/Stk10" 74
"E2F_Q6" "E2F_Q6" "E2F_Q6" "26/779" "147/7293" 0.00647922863734248 0.227154133403301 0.217846510840679 "Slco3a1/Mcm6/Arid4a/Aldh6a1/Pola2/Uxt/Tbx6/Mcm2/Prkdc/Tmem108/Ddb2/Mcm4/Nasp/Fhod1/Cdc25a/Acbd6/Kpnb1/Ppp1cc/Sumo1/Nup62/Ints7/Rbl1/Eed/Pcna/Zmym2/Mcm3" 26
"E2F_03" "E2F_03" "E2F_03" "26/779" "148/7293" 0.00708912497082028 0.228465408155721 0.219104056214335 "Mcm6/Arid4a/Pola2/Tex9/Anp32a/Uxt/Ppp1r9b/Mat2a/Nr6a1/Mcm2/Prpf38a/Prkdc/Tipin/Ddb2/Mcm4/Nasp/Ypel5/Nr4a2/Serbp1/Cdc25a/Ints7/Rbl1/Ctdsp1/Pprc1/Zmym2/Mcm3" 26
"MAX_01" "MAX_01" "MAX_01" "28/779" "163/7293" 0.00728329321301796 0.228465408155721 0.219104056214335 "Slc38a2/Aldh6a1/Csk/Fkbp11/Rmnd1/Mxd4/Mat2a/Iqgap2/Tmem108/Akap12/Cyp2d22/Ube2b/Atf4/Bcas3/Lonrf3/Serbp1/Fen1/Bax/Dym/Dusp7/Pprc1/Aatf/Qtrt1/Hbp1/Commd3/Hmga1/Cdk5r1/Snx5" 28
"COREBINDINGFACTOR_Q6" "COREBINDINGFACTOR_Q6" "COREBINDINGFACTOR_Q6" "29/779" "174/7293" 0.00971970587948359 0.267475008372025 0.256515241162151 "Tagap/Madd/Nfix/Rgs1/Pitpnc1/Cd69/Add1/Sgip1/Atp2a2/Itgb7/Vim/Nr4a3/Gpr171/Enpp1/Sdf2l1/Tmem109/Il3/Xcl1/Slc12a6/Ptprs/Arhgap15/Tsc22d3/Hpcal1/Taz/Foxn3/Grap2/Rassf2/Rabgap1l/Evi2a" 29
"MYB_Q3" "MYB_Q3" "MYB_Q3" "27/779" "160/7293" 0.0105005022543083 0.267475008372025 0.256515241162151 "Etv4/Zbtb32/Sema7a/Ahnak/Gmfg/Vapa/Pdap1/Gnat1/Ankzf1/Skap1/Cox7a2/1700025G04Rik/Slc16a6/Prickle1/Pik3cg/Gphn/Ywhae/Bscl2/Ager/Ndufc1/Arhgef6/Zfp148/Arl4c/Cnot2/Hebp1/Zmym2/Ankrd17" 27
"TAAYNRNNTCC_UNKNOWN" "TAAYNRNNTCC_UNKNOWN" "TAAYNRNNTCC_UNKNOWN" "18/779" "95/7293" 0.0108113340499643 0.267475008372025 0.256515241162151 "Atp2a2/Arrb1/Sema7a/Rfx2/Tbx6/Unc13d/Ssbp3/Hectd2/Marcks/Tnfrsf19/Lonrf3/Furin/Usp3/Kcnh2/Piwil2/Elk3/Csf2/Ppp1r1b" 18
"TCANNTGAY_SREBP1_01" "TCANNTGAY_SREBP1_01" "TCANNTGAY_SREBP1_01" "44/779" "292/7293" 0.0110468355136021 0.267475008372025 0.256515241162151 "Nfix/Rab27a/Rgs1/Aldh6a1/Ctsa/Rab3a/Mbd5/Manba/Rapgef6/Hif1a/Ppt1/Napa/Pde7a/Tceal8/Pkn1/Eef2/Grn/Akap12/Aars/Ube2b/Nsmce2/Ctns/Mbnl2/Klhl24/Oxct1/Fen1/Rnf181/Psap/Tpp1/Bax/Gtpbp2/Xpo4/Zadh2/Cuta/Acp2/Ilvbl/Zdhhc13/Hmox1/Chd2/Abr/Csf2/Hexa/Qtrt1/Ankrd17" 44
"GCANCTGNY_MYOD_Q6" "GCANCTGNY_MYOD_Q6" "GCANCTGNY_MYOD_Q6" "75/779" "545/7293" 0.0111840834576848 0.267475008372025 0.256515241162151 "Ddit4/Psip1/Aarsd1/Rab3a/Rabac1/Eif4enif1/Tpcn1/Atp2a2/Mlycd/Lmo4/Nol9/Pde7a/Dab2ip/Selplg/Pkn1/Anp32a/Ppp1ca/Mxd4/Pdap1/Ntrk3/Pcgf1/Clip1/Tnfrsf19/Lef1/Ptprk/Slc44a2/Tpmt/Tec/Actb/Mbnl2/Bcas3/Lonrf3/Cdkn1b/Oxr1/Smarca5/Nr4a2/Prickle1/Sh3bgrl3/Tmem109/Myo18a/Cd47/Cdk2ap2/Gphn/Slc4a8/Ywhae/Stim1/Ldb1/Ythdf2/Sipa1/Tsc22d3/Eif4a2/Itpr3/Taz/Arhgef6/Igf1r/Ep300/Tdrkh/Kcnh2/Stx5a/Rassf2/Abr/Id1/Sqle/Arl4c/Hebp1/Zmym2/Zfp593/Ankrd17/Zfp710/Ssx2ip/Mycbp/Sh3bp1/Ndufb8/Mansc1/Rfx1" 75
"E2F_01" "E2F_01" "E2F_01" "10/779" "42/7293" 0.0112195892773501 0.267475008372025 0.256515241162151 "Arid4a/Aldh6a1/Mcm2/Nr4a3/Prkdc/Mcm4/Nasp/Eed/Pcna/Mcm3" 10
"SREBP1_01" "SREBP1_01" "SREBP1_01" "20/779" "110/7293" 0.0117543525752859 0.269445928264246 0.258405402768431 "Aldh6a1/Rab3a/Tceal8/Pkn1/Mcm2/Grn/Akap12/Aars/Ube2b/Atf4/Klhl24/Fen1/Rnf181/Bax/Cuta/Zdhhc13/Chd2/Abr/Qtrt1/Commd3" 20
