"gs_name","gene_symbol"
"Tbet_pos","Osbpl8"
"Tbet_pos","Arsb"
"Tbet_pos","Pik3r5"
"Tbet_pos","Usp18"
"Tbet_pos","Mnda"
"Tbet_pos","Isg15"
"Tbet_pos","Cd8a"
"Tbet_pos","Serpinb1a"
"Tbet_pos","Dusp2"
"Tbet_pos","Tnfaip3"
"Tbet_pos","Nedd9"
"Tbet_pos","Aagab"
"Tbet_pos","Adora2a"
"Tbet_pos","Entpd1"
"Tbet_pos","Ifitm2"
"Tbet_pos","Cd97"
"Tbet_pos","Ptpn12"
"Tbet_pos","F2rl2"
"Tbet_pos","5730494M16Rik"
"Tbet_pos","Sytl3"
"Tbet_pos","Bhlhe40"
"Tbet_pos","Gzma"
"Tbet_neg","﻿Igj"
"Tbet_neg","Cav3"
"Tbet_neg","Ambn"
"Tbet_neg","Ccr6"
"Tbet_neg","Pou2af1"
"Tbet_neg","2010001M09Rik"
"Tbet_neg","Nts"
"Tbet_neg","H2-Aa"
"Tbet_neg","Fam183b"
"Tbet_neg","Ecm1"
"Tbet_neg","H2-Eb1"
"Tbet_neg","Foxf1a"
"Tbet_neg","Foxp3"
"Tbet_neg","Ccl22"
"Tbet_neg","Csf2rb2"
"Tbet_neg","Nrn1"
"Tbet_neg","Itga4"
"Tbet_neg","Akr1c18"
"Tbet_neg","Csf2rb"
"Tbet_neg","Adamtsl4"
"Tbet_neg","Tns4"
"Tbet_neg","Cd81"
"Tbet_neg","4932438H23Rik"
"Tbet_neg","Cxcl3"
"Tbet_neg","Pparg"
"Tbet_neg","Cd79a"
"Tbet_neg","Gm5483"
"Tbet_neg","Slpi"
"Tbet_neg","Derl3"
"Tbet_neg","2010005H15Rik"
"Tbet_neg","Ypel4"
"Tbet_neg","Msc"
"Tbet_neg","Ifngr2"
"Tbet_neg","Penk"
"Tbet_neg","Il21"
"Tbet_neg","Tox2"
"Tbet_neg","Il1r2"
"Tbet_neg","Ccr4"
"Tbet_neg","Adc"
"Tbet_neg","Fos"
"Tbet_neg","H2-Ab1"
"Tbet_neg","Bcam"
"Tbet_neg","Ptger2"
"Tbet_neg","Col18a1"
"Tbet_neg","Cpe"
"Tbet_neg","Gja1"
"Tbet_neg","Trat1"
"Tbet_neg","Slc7a8"
"Tbet_neg","Il5"
"Tbet_neg","Areg"
"Tbet_neg","Itga7"
"Tbet_neg","Cd200"
"Tbet_neg","Cd74"
"Tbet_neg","Hipk2"
"Tbet_neg","Serpinf1"
"Tbet_neg","Ptgfrn"
"Tbet_neg","Ar"
"Tbet_neg","Il4"
"Tbet_neg","1190002H23Rik"
"Tbet_neg","Folr4"
"Tbet_neg","Arg1"
"Tbet_neg","Basp1"
"Tbet_neg","Lsr"
"Tbet_neg","Nov"
"Tbet_neg","Arhgef11"
"Tbet_neg","Tspan32"
"Tbet_neg","Armcx4"
"Tbet_neg","Phlda1"
"Tbet_neg","Ccr1"
"Tbet_neg","D18Ertd653e"
"Tbet_neg","0610010O12Rik"
"Tbet_neg","Mir5107"
"Tbet_neg","Heg1"
"Tbet_neg","Tcf7"
"Tbet_neg","H2-DMa"
"Tbet_neg","Clybl"
"Tbet_neg","Map2k6"
"Tbet_neg","4930583H14Rik"
"Tbet_neg","Pck2"
"Tbet_neg","Thra"
"Tbet_neg","H2-Oa"
"Tbet_neg","Tiam1"
"Tbet_neg","Osgin1"
"Tbet_neg","F2rl1"
"Tbet_neg","Fam46a"
"Tbet_neg","Zfp395"
"Tbet_neg","Ccr8"
"Tbet_neg","Hlf"
"Tbet_neg","Aldh2"
"Tbet_neg","Tusc1"
"Tbet_neg","Ldlrap1"
"Tbet_neg","Ebi3"
"Tbet_neg","Il9r"
"Tbet_neg","Mgll"
"Tbet_neg","Snord49a"
"Tbet_neg","Cox6b2"
"Tbet_neg","Acot11"
"Tbet_neg","Fam151a"
"Tbet_neg","Cpd"
"Tbet_neg","Il13"
"Tbet_neg","Abcg1"
"Tbet_neg","Ralb"
"Tbet_neg","Nme4"
"Tbet_neg","Trib3"
"Tbet_neg","Ermn"
"Tbet_neg","Tarm1"
"Tbet_neg","Chac1"
"Tbet_neg","Igfbp7"
"Tbet_neg","Ctla4"
"Tbet_neg","6430571L13Rik"
"Tbet_neg","St8sia4"
"Tbet_neg","Ndrg2"
"Tbet_neg","Pmepa1"
"Tbet_neg","Pik3r2"
"Tbet_neg","Eif4ebp1"
"Tbet_neg","Fam132a"
"Tbet_neg","Rere"
"Tbet_neg","Gfi1"
"Tbet_neg","Ldhb"
"Tbet_neg","Hist1h2ao"
"Tbet_neg","Tdrkh"
"Tbet_neg","Hist1h2ap"
"Tbet_neg","Pcbp3"
"Tbet_neg","Lgmn"
"Tbet_neg","AA465934"
"Tbet_neg","Als2cl"
"Tbet_neg","Klf3"
"Tbet_neg","Pde6d"
"Tbet_neg","Tnfsf11"
"Tbet_neg","Slc25a23"
"Tbet_neg","Cited2"
"Tbet_neg","5031439G07Rik"
"Tbet_neg","Serf1"
"Tbet_neg","Aig1"
"Tbet_neg","Nucb2"
"Tbet_neg","Ckmt1"
"Tbet_neg","Lama5"
"Tbet_neg","Hist1h2aa"
"Tbet_neg","Akr1c12"
"Tbet_neg","Gcfc1"
"Tbet_neg","St6galnac2"
"Tbet_neg","Olfr60"
"Tbet_neg","Enah"
"Tbet_neg","Hist2h2ab"
"Tbet_neg","H2-DMb1"
"Tbet_neg","Sdc3"
"Tbet_neg","Tnfrsf8"
"Tbet_neg","Rps6ka5"
"Tbet_neg","Gatm"
"Tbet_neg","Glb1"
"Tbet_neg","Ifi27l2a"
"Tbet_neg","Slamf6"
"Tbet_neg","Irs2"
"Tbet_neg","Cebpb"
"Tbet_neg","Cysltr1"
"Tbet_neg","Cyp11a1"
"Tbet_neg","Hist1h2af"
"Tbet_neg","Clip3"
"Tbet_neg","Prrt2"
"Tbet_neg","Nudt6"
"Tbet_neg","Pcx"
"Tbet_neg","Gbe1"
"Tbet_neg","Fscn1"
"Tbet_neg","Hist1h2ad"
"Tbet_neg","Gab2"
"Tbet_neg","Arhgap31"
"Tbet_neg","Chchd10"
"Tbet_neg","Hist1h2ah"
"Tbet_neg","Tsc22d3"
"Tbet_neg","Hist1h2ae"
"Tbet_neg","Napsa"
"Tbet_neg","Aplp2"
"Tbet_neg","Adarb1"
"Tbet_neg","Kif3a"
"Tbet_neg","Plekho1"
"Tbet_neg","Gm2a"
"Tbet_neg","S100a1"
"Tbet_neg","Hist1h2ac"
"Tbet_neg","Hist1h2ai"
"Tbet_neg","Hist1h2ag"
"Tbet_neg","1300014I06Rik"
"Tbet_neg","Id3"
"Tbet_neg","Cd200r1"
"Tbet_neg","B4galt4"
"Tbet_neg","St6gal1"
"Tbet_neg","Grik5"
"Tbet_neg","Itgb7"
"Tbet_neg","Hist2h2ac"
"Tbet_neg","Tmem176a"
"Tbet_neg","Iigp1"
"Tbet_neg","Hist1h2ab"
"Tbet_neg","Hsd17b11"
"Tbet_neg","Il17re"
"Tbet_neg","Lif"
"Tbet_neg","Sap30"
"Tbet_neg","Ccdc109b"
"Tbet_neg","Creb3l1"
"Tbet_neg","Hist1h2ak"
"Tbet_neg","Pafah1b3"
"Tbet_neg","A030009H04Rik"
"Tbet_neg","Bcl9"
"Tbet_neg","Itpr2"
"Tbet_neg","Ppp1r3f"
"Tbet_neg","Dnajb13"
"Tbet_neg","Tnfsf14"
"Tbet_neg","Selm"
"Tbet_neg","Akr1c13"
"Tbet_neg","Ctss"
"Tbet_neg","Hist1h2an"
"Tbet_neg","Faah"
"Tbet_neg","Adcy6"
"Gata_Th1","﻿Prss16"
"Gata_Th1","Serpinb6b"
"Gata_Th1","Serpinb9"
"Gata_Th1","Ctla2b"
"Gata_Th1","Fam49a"
"Gata_Th1","Trib2"
"Gata_Th1","Havcr2"
"Gata_Th1","Gm12250"
"Gata_Th1","Igtp"
"Gata_Th1","Irgm2"
"Gata_Th1","Ccl5"
"Gata_Th1","Tbx21"
"Gata_Th1","Man1a"
"Gata_Th1","Gstt1"
"Gata_Th1","Ppp1r12a"
"Gata_Th1","Ifng"
"Gata_Th1","H2-Q7"
"Gata_Th1","Runx2"
"Gata_Th1","B430306N03Rik"
"Gata_Th1","Xdh"
"Gata_Th1","Yipf4"
"Gata_Th1","Ly6c1"
"Gata_Th1","Ly6c2"
"Gata_Th1","Sh3bp5"
"Gata_Th1","Gzmc"
"Gata_Th1","Dnajc15"
"Gata_Th1","Epsti1"
"Gata_Th1","AW112010"
"Gata_Th1","Ms4a4c"
"Gata_Th1","Ms4a4b"
"Gata_Th1","Ms4a6b"
"Gata_Th1","Ms4a6d"
"Gata_Th1","Gnaq"
"Gata_Th1","Anxa1"
"Gata_Th1","Gm14446"
"Gata_Th1","Ifit1"
"Gata_Th1","Iigp1"
"Gata_Th1","Lair1"
"Gata_Th1","Ffar2"
"Gata_Th1","Fxyd7"
"Gata_Th1","Mctp2"
"Gata_Th1","Fes"
"Gata_Th1","Furin"
"Gata_Th1","Picalm"
"Gata_Th1","Sytl2"
"Gata_Th1","Rras2"
"Gata_Th1","Dcun1d3"
"Gata_Th1","Lyrm1"
"Gata_Th1","Tmem159"
"Gata_Th1","Ifitm2"
"Gata_Th1","Ifitm1"
"Gata_Th1","Ifitm3"
"Gata_Th1","Nod1"
"Gata_Th1","Il12rb2"
"Gata_Th1","Mxd1"
"Gata_Th1","Usp18"
"Gata_Th1","Klrd1"
"Gata_Th1","Klrk1"
"Gata_Th1","Klrc1"
"Gata_Th1","Bst1"
"Gata_Th1","Hopx"
"Gata_Th1","Plac8"
"Gata_Th1","Gem"
"Gata_Th1","Gm5538"
"Gata_Th1","Csf1"
"Gata_Th1","5730508B09Rik"
"Gata_Th1","Gbp6"
"Gata_Th1","Gbp3"
"Gata_Th1","Gbp2"
"Gata_Th1","Ifi44"
"Gata_Th1","Il15ra"
"Gata_Th1","Lcn4"
"Gata_Th1","Galnt3"
"Gata_Th1","P2rx3"
"Gata_Th1","Atp8b4"
"Gata_Th1","Prnp"
"Gata_Th1","Il18rap"
"Gata_Th1","Acadl"
"Gata_Th1","Rufy4"
"Gata_Th1","Cxcr1"
"Gata_Th1","Serpinb5"
"Gata_Th1","Tmem163"
"Gata_Th1","Fasl"
"Gata_Th1","Sell"
"Gata_Th1","BC094916"
"Gata_Th1","Pydc4"
"Gata_Th1","Pyhin1"
"Gata_Th1","Ifi204"
"Gata_Th1","Mnda"
"Gata_Th1","Dennd4a"
"Gata_Th2","﻿Pth"
"Gata_Th2","Cysltr1"
"Gata_Th2","Rnf128"
"Gata_Th2","Gpm6b"
"Gata_Th2","Akr1c18"
"Gata_Th2","Akr1c12"
"Gata_Th2","5033411D12Rik"
"Gata_Th2","Mboat1"
"Gata_Th2","Auh"
"Gata_Th2","Nfil3"
"Gata_Th2","Gzma"
"Gata_Th2","Fos"
"Gata_Th2","Batf"
"Gata_Th2","Rps6ka5"
"Gata_Th2","9030617O03Rik"
"Gata_Th2","Gatsl3"
"Gata_Th2","Lif"
"Gata_Th2","Xbp1"
"Gata_Th2","Timd2"
"Gata_Th2","Zcchc10"
"Gata_Th2","Kif3a"
"Gata_Th2","Il4"
"Gata_Th2","Il13"
"Gata_Th2","Il5"
"Gata_Th2","Fam183b"
"Gata_Th2","Cenpv"
"Gata_Th2","Serpinf1"
"Gata_Th2","Slc6a4"
"Gata_Th2","Zpbp2"
"Gata_Th2","Tanc2"
"Gata_Th2","Moxd1"
"Gata_Th2","1700025K23Rik"
"Gata_Th2","Gp49a"
"Gata_Th2","Lilrb4"
"Gata_Th2","Nts"
"Gata_Th2","Kremen2"
"Gata_Th2","Cyp4f16"
"Gata_Th2","Ier3"
"Gata_Th2","Epas1"
"Gata_Th2","Tnp2"
"Gata_Th2","Gm5416"
"Gata_Th2","2010005H15Rik"
"Gata_Th2","Pros1"
"Gata_Th2","4932438H23Rik"
"Gata_Th2","Tg"
"Gata_Th2","Kcnk5"
"Gata_Th2","Adk"
"Gata_Th2","5730469M10Rik"
"Gata_Th2","Ero1l"
"Gata_Th2","Afg3l2"
"Gata_Th2","Plekhf1"
"Gata_Th2","Slc17a6"
"Gata_Th2","Adamtsl3"
"Gata_Th2","Ifitm6"
"Gata_Th2","Tmem140"
"Gata_Th2","Sval1"
"Gata_Th2","Gstk1"
"Gata_Th2","Gpnmb"
"Gata_Th2","Sema4f"
"Gata_Th2","Pparg"
"Gata_Th2","Bcl2l14"
"Gata_Th2","Cxcl3"
"Gata_Th2","Areg"
"Gata_Th2","BC057079"
"Gata_Th2","1520402A15Rik"
"Gata_Th2","S100a1"
"Gata_Th2","Adamtsl4"
"Gata_Th2","Ecm1"
"Gata_Th2","Pla2g12a"
"Gata_Th2","Gata3"
"Gata_Th2","Pter"
"Gata_Th2","Calcrl"
"Gata_Th2","Tfpi"
"Gata_Th2","BC052040"
"Gata_Th2","Chac1"
