"","c1","c2","c3","gene"
"Adamtsl4",1,1,1,"Adamtsl4"
"Nme7",2,2,2,"Nme7"
"Cd164",2,2,2,"Cd164"
"Tmem179b",1,1,1,"Tmem179b"
"Mxd3",1,1,1,"Mxd3"
"Nfs1",4,4,4,"Nfs1"
"Itch",2,2,2,"Itch"
"Trim36",2,2,2,"Trim36"
"Hist1h2bk",1,1,1,"Hist1h2bk"
"Rcl1",5,5,5,"Rcl1"
"Oas1g",1,1,1,"Oas1g"
"Fut7",1,1,1,"Fut7"
"Runx1t1",2,2,2,"Runx1t1"
"Zfp768",3,3,3,"Zfp768"
"Dleu7",4,4,4,"Dleu7"
"Tmc8",5,5,5,"Tmc8"
"Cox18",3,3,3,"Cox18"
"Tmem17",4,4,4,"Tmem17"
"Arsb",1,1,1,"Arsb"
"Mrps16",3,3,3,"Mrps16"
"Nola1",5,5,5,"Nola1"
"Lrrc49",3,3,3,"Lrrc49"
"Rab24",1,1,1,"Rab24"
"H2-DMa",1,1,1,"H2-DMa"
"Hist1h2bf",1,1,1,"Hist1h2bf"
"Ddx60",1,1,1,"Ddx60"
"Zfp467",1,1,1,"Zfp467"
"Hist1h4m",1,1,1,"Hist1h4m"
"2410127L17Rik",4,4,4,"2410127L17Rik"
"Cacybp",4,4,4,"Cacybp"
"Rasl11b",2,2,2,"Rasl11b"
"Rfc5",3,3,3,"Rfc5"
"Trp53rk",5,5,5,"Trp53rk"
"4933426M11Rik",2,2,2,"4933426M11Rik"
"Efna5",3,3,3,"Efna5"
"Fn3k",1,1,1,"Fn3k"
"Zfp91-cntf",5,5,5,"Zfp91-cntf"
"Rps10",2,2,2,"Rps10"
"Ing4",1,1,1,"Ing4"
"Clk4",2,2,2,"Clk4"
"Ciz1",1,1,1,"Ciz1"
"2500003M10Rik",2,2,2,"2500003M10Rik"
"Ktn1",1,1,1,"Ktn1"
"Il5",1,1,1,"Il5"
"Tmem9",1,1,1,"Tmem9"
"Batf",3,3,3,"Batf"
"Arfrp1",5,5,5,"Arfrp1"
"Crat",1,1,1,"Crat"
"Pdzd11",3,3,3,"Pdzd11"
"Ndufab1",4,4,4,"Ndufab1"
"Nubp2",4,4,4,"Nubp2"
"Scamp1",1,1,1,"Scamp1"
"Pi4ka",2,2,2,"Pi4ka"
"Armc8",2,2,2,"Armc8"
"Bbs9",1,1,1,"Bbs9"
"Hexim2",3,3,3,"Hexim2"
"Dusp11",2,2,2,"Dusp11"
"Mrpl3",4,4,4,"Mrpl3"
"Ltb",2,2,2,"Ltb"
"Entpd2",1,1,1,"Entpd2"
"2700050L05Rik",5,5,5,"2700050L05Rik"
"D12Ertd647e",1,1,1,"D12Ertd647e"
"Fzr1",3,3,3,"Fzr1"
"Lgals3bp",1,1,1,"Lgals3bp"
"Centa1",3,3,3,"Centa1"
"Zgpat",5,5,5,"Zgpat"
"Arhgap1",2,2,2,"Arhgap1"
"Slc17a5",2,2,2,"Slc17a5"
"Ppfibp1",3,3,3,"Ppfibp1"
"Sfn",2,2,2,"Sfn"
"Zfp524",1,1,1,"Zfp524"
"Timeless",3,3,3,"Timeless"
"Tmem50b",2,2,2,"Tmem50b"
"Mier1",1,1,1,"Mier1"
"Asf1a",5,5,5,"Asf1a"
"Mapk1ip1",2,2,2,"Mapk1ip1"
"Stag3",3,3,3,"Stag3"
"Brwd3",5,5,5,"Brwd3"
"2810407C02Rik",4,4,4,"2810407C02Rik"
"Zbtb2",2,2,2,"Zbtb2"
"Oasl1",3,3,3,"Oasl1"
"Tars2",2,2,2,"Tars2"
"Yod1",5,5,5,"Yod1"
"Dgcr6",3,3,3,"Dgcr6"
"D2Ertd750e",1,1,1,"D2Ertd750e"
"2610029G23Rik",5,5,5,"2610029G23Rik"
"Lrrc59",4,4,4,"Lrrc59"
"Hist2h2ac",3,3,3,"Hist2h2ac"
"Zfhx2",2,2,2,"Zfhx2"
"BC017643",1,1,1,"BC017643"
"Naga",1,1,1,"Naga"
"Rab33a",1,1,1,"Rab33a"
"Tex264",2,2,2,"Tex264"
"Artn",1,1,1,"Artn"
"Eif4ebp1",3,3,3,"Eif4ebp1"
"G6pdx",4,4,4,"G6pdx"
"Stat1",1,1,1,"Stat1"
"Tfpi",4,4,4,"Tfpi"
"Nucks1",4,4,4,"Nucks1"
"Etv4",3,3,3,"Etv4"
"Traf3",5,5,5,"Traf3"
"Cd200",4,4,4,"Cd200"
"Atp10a",3,3,3,"Atp10a"
"Nqo2",1,1,1,"Nqo2"
"4930570C03Rik",1,1,1,"4930570C03Rik"
"Yipf3",1,1,1,"Yipf3"
"Rpo1-4",5,5,5,"Rpo1-4"
"Fcho2",2,2,2,"Fcho2"
"Htt",3,3,3,"Htt"
"Unc119.1",1,1,1,"Unc119.1"
"Mll3",2,2,2,"Mll3"
"EG667977",2,2,2,"EG667977"
"Mcm6",3,3,3,"Mcm6"
"Gab3",2,2,2,"Gab3"
"Nob1",5,5,5,"Nob1"
"Rps6ka5",1,1,1,"Rps6ka5"
"Ung",4,4,4,"Ung"
"Slc30a7",1,1,1,"Slc30a7"
"Plekha2",1,1,1,"Plekha2"
"Aplp2",2,2,2,"Aplp2"
"9530058B02Rik",4,4,4,"9530058B02Rik"
"Sumo2",4,4,4,"Sumo2"
"Acads",1,1,1,"Acads"
"Msh5",1,1,1,"Msh5"
"Irf2",1,1,1,"Irf2"
"Dtx3l",1,1,1,"Dtx3l"
"Pfkp",3,3,3,"Pfkp"
"2810408M09Rik",5,5,5,"2810408M09Rik"
"Exoc7",1,1,1,"Exoc7"
"4732479N06Rik",1,1,1,"4732479N06Rik"
"Galnt9",2,2,2,"Galnt9"
"Afg3l1",4,4,4,"Afg3l1"
"Bin1",2,2,2,"Bin1"
"Uevld",1,1,1,"Uevld"
"Rab31",1,1,1,"Rab31"
"Phlda3",1,1,1,"Phlda3"
"Rasl11b.1",2,2,2,"Rasl11b.1"
"Prdx1",4,4,4,"Prdx1"
"D10Ertd610e",1,1,1,"D10Ertd610e"
"Gcnt1",1,1,1,"Gcnt1"
"Abcb9",1,1,1,"Abcb9"
"4930452B06Rik",3,3,3,"4930452B06Rik"
"Exoc3",5,5,5,"Exoc3"
"Cercam",1,1,1,"Cercam"
"Impa2",1,1,1,"Impa2"
"Dhrs1",1,1,1,"Dhrs1"
"Mad2l1bp",1,1,1,"Mad2l1bp"
"Lrrc59.1",4,4,4,"Lrrc59.1"
"Gna-rs1",5,5,5,"Gna-rs1"
"Hist2h3c1",1,1,1,"Hist2h3c1"
"8430427H17Rik",1,1,1,"8430427H17Rik"
"Axin1",2,2,2,"Axin1"
"Tmco3.1",1,1,1,"Tmco3.1"
"Pfn2",1,1,1,"Pfn2"
"AB112350",1,1,1,"AB112350"
"Tmem134",1,1,1,"Tmem134"
"Pcmtd1",2,2,2,"Pcmtd1"
"Ifit2",3,3,3,"Ifit2"
"Nmt1",4,4,4,"Nmt1"
"Hdgf",4,4,4,"Hdgf"
"Magi1",1,1,1,"Magi1"
"Vamp1",2,2,2,"Vamp1"
"Tymp",5,5,5,"Tymp"
"Zbtb32",3,3,3,"Zbtb32"
"Nfyb",3,3,3,"Nfyb"
"Lyl1",1,1,1,"Lyl1"
"Slc35a4",5,5,5,"Slc35a4"
"Lrrc8c",1,1,1,"Lrrc8c"
"Ppm1b",2,2,2,"Ppm1b"
"Eftud2",4,4,4,"Eftud2"
"Cct6a",4,4,4,"Cct6a"
"1810015C04Rik",2,2,2,"1810015C04Rik"
"Pter",3,3,3,"Pter"
"Nde1",1,1,1,"Nde1"
"Maged2",1,1,1,"Maged2"
"Ngfrap1",1,1,1,"Ngfrap1"
"2700038C09Rik",1,1,1,"2700038C09Rik"
"Rgag4",1,1,1,"Rgag4"
"Pcsk4",1,1,1,"Pcsk4"
"Tubb5",3,3,3,"Tubb5"
"Chordc1",5,5,5,"Chordc1"
"Nrp1",1,1,1,"Nrp1"
"Ahnak",1,1,1,"Ahnak"
"Sepp1",1,1,1,"Sepp1"
"Igfl3",1,1,1,"Igfl3"
"Kif1b",2,2,2,"Kif1b"
"Serbp1",5,5,5,"Serbp1"
"Cxxc1.1",2,2,2,"Cxxc1.1"
"Hnrpdl",1,1,1,"Hnrpdl"
"Cln6",1,1,1,"Cln6"
"Smyd5",4,4,4,"Smyd5"
"Palm",3,3,3,"Palm"
"Eif3eip",4,4,4,"Eif3eip"
"Gdi2",3,3,3,"Gdi2"
"Bccip",5,5,5,"Bccip"
"AA673488",5,5,5,"AA673488"
"Tnfsf9",3,3,3,"Tnfsf9"
"Insl3",1,1,1,"Insl3"
"Zc3h6",1,1,1,"Zc3h6"
"Napsa",2,2,2,"Napsa"
"Kin",2,2,2,"Kin"
"Golt1b",3,3,3,"Golt1b"
"Tshz3",2,2,2,"Tshz3"
"Ubxd5",3,3,3,"Ubxd5"
"Hexim1",5,5,5,"Hexim1"
"B3galnt1",1,1,1,"B3galnt1"
"Snapc3",2,2,2,"Snapc3"
"Aurka",3,3,3,"Aurka"
"Vezf1",2,2,2,"Vezf1"
"L2hgdh",5,5,5,"L2hgdh"
"Ubac1",3,3,3,"Ubac1"
"Plcl2",1,1,1,"Plcl2"
"Oip5",3,3,3,"Oip5"
"Rassf1",1,1,1,"Rassf1"
"Stoml2",4,4,4,"Stoml2"
"Osgin1",2,2,2,"Osgin1"
"Tex2",1,1,1,"Tex2"
"D330045A20Rik",1,1,1,"D330045A20Rik"
"Lgals9",3,3,3,"Lgals9"
"Noc4l",5,5,5,"Noc4l"
"Ly86",2,2,2,"Ly86"
"Asah1.1",1,1,1,"Asah1.1"
"2010305A19Rik",5,5,5,"2010305A19Rik"
"Noc3l",5,5,5,"Noc3l"
"Zfp219",3,3,3,"Zfp219"
"Ep400",2,2,2,"Ep400"
"Dstn",3,3,3,"Dstn"
"Ncapg2",3,3,3,"Ncapg2"
"Tmem106a",1,1,1,"Tmem106a"
"4732496O08Rik",2,2,2,"4732496O08Rik"
"Timm8b",4,4,4,"Timm8b"
"Il18rap",1,1,1,"Il18rap"
"Nip7",5,5,5,"Nip7"
"Bcat1",4,4,4,"Bcat1"
"Gstt1",3,3,3,"Gstt1"
"Hif1a",1,1,1,"Hif1a"
"Ppp1r13b",2,2,2,"Ppp1r13b"
"Rnase6",2,2,2,"Rnase6"
"Arl11",1,1,1,"Arl11"
"Dnajb5",5,5,5,"Dnajb5"
"D030013I16Rik",2,2,2,"D030013I16Rik"
"Vps18",5,5,5,"Vps18"
"2610020O08Rik",1,1,1,"2610020O08Rik"
"Ifi202b",3,3,3,"Ifi202b"
"3200002M19Rik",4,4,4,"3200002M19Rik"
"Ccdc124",4,4,4,"Ccdc124"
"E130309D02Rik",5,5,5,"E130309D02Rik"
"Rilpl1",1,1,1,"Rilpl1"
"Nagk",1,1,1,"Nagk"
"Pigw",4,4,4,"Pigw"
"1500032D16Rik",1,1,1,"1500032D16Rik"
"Srp14",3,3,3,"Srp14"
"Csnk1g1",2,2,2,"Csnk1g1"
"Aqr",5,5,5,"Aqr"
"Acot1",3,3,3,"Acot1"
"Rgs1",3,3,3,"Rgs1"
"Csn2",1,1,1,"Csn2"
"9130005N14Rik",1,1,1,"9130005N14Rik"
"1110049B09Rik",1,1,1,"1110049B09Rik"
"AI427515",1,1,1,"AI427515"
"4732479N06Rik.1",1,1,1,"4732479N06Rik.1"
"Usp22",1,1,1,"Usp22"
"Nfatc1.1",5,5,5,"Nfatc1.1"
"Eif2b5",4,4,4,"Eif2b5"
"Rabgap1l",1,1,1,"Rabgap1l"
"Ifitm1",1,1,1,"Ifitm1"
"Pmpcb",3,3,3,"Pmpcb"
"Arfrp1.1",5,5,5,"Arfrp1.1"
"Psmd9",4,4,4,"Psmd9"
"Ncstn.1",2,2,2,"Ncstn.1"
"1500001M20Rik",4,4,4,"1500001M20Rik"
"EG634650",1,1,1,"EG634650"
"BC006779",1,1,1,"BC006779"
"Gvin1",1,1,1,"Gvin1"
"Tyrobp",2,2,2,"Tyrobp"
"5730596K20Rik.1",5,5,5,"5730596K20Rik.1"
"Bmpr1a",1,1,1,"Bmpr1a"
"Oraov1",2,2,2,"Oraov1"
"Kifap3",3,3,3,"Kifap3"
"Gap43",1,1,1,"Gap43"
"Olfr1330",3,3,3,"Olfr1330"
"Lzic",4,4,4,"Lzic"
"Extl3",5,5,5,"Extl3"
"Slc22a5",2,2,2,"Slc22a5"
"Slc2a3",1,1,1,"Slc2a3"
"Cmtm7",3,3,3,"Cmtm7"
"Pde6d",1,1,1,"Pde6d"
"2310008M10Rik",3,3,3,"2310008M10Rik"
"Ncl",5,5,5,"Ncl"
"Rab8a",1,1,1,"Rab8a"
"Bbs5",3,3,3,"Bbs5"
"BC094916",1,1,1,"BC094916"
"Cbwd1",4,4,4,"Cbwd1"
"Thex1",1,1,1,"Thex1"
"Centa1.1",3,3,3,"Centa1.1"
"Fbxo21",1,1,1,"Fbxo21"
"Pde2a",2,2,2,"Pde2a"
"Brd8",1,1,1,"Brd8"
"Epb4.1l3.1",2,2,2,"Epb4.1l3.1"
"Fryl",2,2,2,"Fryl"
"Lmf2",3,3,3,"Lmf2"
"Txndc12",1,1,1,"Txndc12"
"Paf1",5,5,5,"Paf1"
"Tnpo2",3,3,3,"Tnpo2"
"Pign",3,3,3,"Pign"
"B230339M05Rik",2,2,2,"B230339M05Rik"
"Aldh6a1",1,1,1,"Aldh6a1"
"1810015A11Rik",4,4,4,"1810015A11Rik"
"Fbxo32",2,2,2,"Fbxo32"
"Gins2",3,3,3,"Gins2"
"Lgals3",1,1,1,"Lgals3"
"Hnrpul1",1,1,1,"Hnrpul1"
"Nin",2,2,2,"Nin"
"Sbf1",2,2,2,"Sbf1"
"Krtcap2",1,1,1,"Krtcap2"
"Prmt7",4,4,4,"Prmt7"
"1110032O16Rik",1,1,1,"1110032O16Rik"
"Cyp4f13",2,2,2,"Cyp4f13"
"Vrk1",4,4,4,"Vrk1"
"Fbxo28",1,1,1,"Fbxo28"
"Flcn",2,2,2,"Flcn"
"AI451557",2,2,2,"AI451557"
"Vkorc1l1",5,5,5,"Vkorc1l1"
"D14Ertd668e",1,1,1,"D14Ertd668e"
"Nucb1",1,1,1,"Nucb1"
"Rab6ip1",1,1,1,"Rab6ip1"
"Cdipt",5,5,5,"Cdipt"
"AK129128",4,4,4,"AK129128"
"Pkd1",2,2,2,"Pkd1"
"Lrp12",1,1,1,"Lrp12"
"Zc3h7a",2,2,2,"Zc3h7a"
"Itgae",2,2,2,"Itgae"
"Usf1",1,1,1,"Usf1"
"Slc43a1",4,4,4,"Slc43a1"
"Asb1",3,3,3,"Asb1"
"Papss1",1,1,1,"Papss1"
"Dpm2",4,4,4,"Dpm2"
"Plk1",3,3,3,"Plk1"
"Aarsd1",4,4,4,"Aarsd1"
"Dync1li2",5,5,5,"Dync1li2"
"5730437N04Rik",3,3,3,"5730437N04Rik"
"Plekhg4",4,4,4,"Plekhg4"
"Ggt7",1,1,1,"Ggt7"
"Cyp51",3,3,3,"Cyp51"
"Slc37a4",1,1,1,"Slc37a4"
"0610031J06Rik",1,1,1,"0610031J06Rik"
"Xpnpep1.1",3,3,3,"Xpnpep1.1"
"Cyp4f16",1,1,1,"Cyp4f16"
"Sp140",3,3,3,"Sp140"
"A430005L14Rik",5,5,5,"A430005L14Rik"
"Hsf4",1,1,1,"Hsf4"
"1500012F01Rik",3,3,3,"1500012F01Rik"
"Klc1",4,4,4,"Klc1"
"Ube2q1",1,1,1,"Ube2q1"
"Tnrc6a",2,2,2,"Tnrc6a"
"Chac1",3,3,3,"Chac1"
"1200015F23Rik",4,4,4,"1200015F23Rik"
"Dctn3",3,3,3,"Dctn3"
"Ssr3",1,1,1,"Ssr3"
"E130012A19Rik",4,4,4,"E130012A19Rik"
"Nubp2.1",4,4,4,"Nubp2.1"
"Atpbd1b",4,4,4,"Atpbd1b"
"Isg20",1,1,1,"Isg20"
"Tulp3",1,1,1,"Tulp3"
"Ift57.1",3,3,3,"Ift57.1"
"Scotin",1,1,1,"Scotin"
"Pgls",3,3,3,"Pgls"
"Ech1",1,1,1,"Ech1"
"Rae1",5,5,5,"Rae1"
"Rbms1",2,2,2,"Rbms1"
"Supt3h",3,3,3,"Supt3h"
"Setd3",1,1,1,"Setd3"
"Casc5",3,3,3,"Casc5"
"Mrpl30",3,3,3,"Mrpl30"
"Zfp35",5,5,5,"Zfp35"
"Mrps28",4,4,4,"Mrps28"
"Ecd",5,5,5,"Ecd"
"Tmed4",1,1,1,"Tmed4"
"C1qb",2,2,2,"C1qb"
"Slc35b3",2,2,2,"Slc35b3"
"Poldip3",1,1,1,"Poldip3"
"Tmem127",2,2,2,"Tmem127"
"Hbb-b2",2,2,2,"Hbb-b2"
"Wdr31",3,3,3,"Wdr31"
"Trub2",5,5,5,"Trub2"
"Mars2",4,4,4,"Mars2"
"Tmem87b",2,2,2,"Tmem87b"
"Rbpj",3,3,3,"Rbpj"
"Asns",3,3,3,"Asns"
"Tg",3,3,3,"Tg"
"Uhrf2",1,1,1,"Uhrf2"
"Rorc",5,5,5,"Rorc"
"Dgcr2",5,5,5,"Dgcr2"
"Rab3a",1,1,1,"Rab3a"
"5230400G24Rik",3,3,3,"5230400G24Rik"
"Trim34",3,3,3,"Trim34"
"Ncapg2.1",3,3,3,"Ncapg2.1"
"Zfp672",5,5,5,"Zfp672"
"Eno1",3,3,3,"Eno1"
"Fads1",1,1,1,"Fads1"
"Dok3",2,2,2,"Dok3"
"Ly6f",1,1,1,"Ly6f"
"AA407659",1,1,1,"AA407659"
"Srpk1",2,2,2,"Srpk1"
"Rpe",2,2,2,"Rpe"
"Rabac1",2,2,2,"Rabac1"
"Pon3.1",1,1,1,"Pon3.1"
"Atp6v1c1",4,4,4,"Atp6v1c1"
"Ppapdc2",2,2,2,"Ppapdc2"
"Extl3.1",5,5,5,"Extl3.1"
"Ruvbl1",4,4,4,"Ruvbl1"
"Mrps7",4,4,4,"Mrps7"
"4930453N24Rik",1,1,1,"4930453N24Rik"
"Rcor3",1,1,1,"Rcor3"
"Ccdc5",3,3,3,"Ccdc5"
"Ccnd3",1,1,1,"Ccnd3"
"Akr1a4",1,1,1,"Akr1a4"
"Cops8",5,5,5,"Cops8"
"Hps3",2,2,2,"Hps3"
"Hus1",4,4,4,"Hus1"
"Tfrc",3,3,3,"Tfrc"
"Sall3",2,2,2,"Sall3"
"Eif3i",4,4,4,"Eif3i"
"Akr1c18",1,1,1,"Akr1c18"
"Cst6",2,2,2,"Cst6"
"Smtn",1,1,1,"Smtn"
"Nsmce2",3,3,3,"Nsmce2"
"Sobp",1,1,1,"Sobp"
"Ola1",4,4,4,"Ola1"
"Ecm1",1,1,1,"Ecm1"
"Pemt",4,4,4,"Pemt"
"Tspan14",2,2,2,"Tspan14"
"Gpr172b",5,5,5,"Gpr172b"
"3010026O09Rik",3,3,3,"3010026O09Rik"
"Tmem186",5,5,5,"Tmem186"
"Arrb1",1,1,1,"Arrb1"
"Mpg.1",5,5,5,"Mpg.1"
"Eif3i.1",4,4,4,"Eif3i.1"
"Hvcn1",2,2,2,"Hvcn1"
"Gps1",5,5,5,"Gps1"
"Cdc2l5",2,2,2,"Cdc2l5"
"Creb1.1",2,2,2,"Creb1.1"
"Dnajc2",4,4,4,"Dnajc2"
"Gspt1",4,4,4,"Gspt1"
"Nelf",1,1,1,"Nelf"
"BC030307",1,1,1,"BC030307"
"Ptdss2",3,3,3,"Ptdss2"
"Mlkl",3,3,3,"Mlkl"
"Dmwd",3,3,3,"Dmwd"
"Ncl.1",5,5,5,"Ncl.1"
"Copz2",1,1,1,"Copz2"
"Acsl6",3,3,3,"Acsl6"
"Efemp2",1,1,1,"Efemp2"
"Dusp11.1",2,2,2,"Dusp11.1"
"Pkn1",1,1,1,"Pkn1"
"Sfrs15",5,5,5,"Sfrs15"
"Cdk2",3,3,3,"Cdk2"
"Mrpl35",5,5,5,"Mrpl35"
"C530028O21Rik",1,1,1,"C530028O21Rik"
"Gorasp1",2,2,2,"Gorasp1"
"4931406C07Rik",1,1,1,"4931406C07Rik"
"Eif3eip.1",4,4,4,"Eif3eip.1"
"Incenp",3,3,3,"Incenp"
"Bfar",2,2,2,"Bfar"
"Mta3",1,1,1,"Mta3"
"Hemk1",1,1,1,"Hemk1"
"Rapgef3",1,1,1,"Rapgef3"
"Fbxo31",4,4,4,"Fbxo31"
"Zfp688",1,1,1,"Zfp688"
"Nsl1",3,3,3,"Nsl1"
"Cnrip1",1,1,1,"Cnrip1"
"Mcm10",3,3,3,"Mcm10"
"D4Wsu132e",2,2,2,"D4Wsu132e"
"Zc3h7b.1",4,4,4,"Zc3h7b.1"
"2310008H09Rik",5,5,5,"2310008H09Rik"
"Wars",4,4,4,"Wars"
"Banf1",4,4,4,"Banf1"
"Slc25a12",1,1,1,"Slc25a12"
"Eif4enif1",3,3,3,"Eif4enif1"
"BC023814",2,2,2,"BC023814"
"Psmd11",4,4,4,"Psmd11"
"Ick",3,3,3,"Ick"
"Ddx21",5,5,5,"Ddx21"
"Bxdc5.1",5,5,5,"Bxdc5.1"
"Pfdn5",2,2,2,"Pfdn5"
"Ifi202b.1",3,3,3,"Ifi202b.1"
"F2rl2",1,1,1,"F2rl2"
"BC031353",1,1,1,"BC031353"
"H2-Aa",2,2,2,"H2-Aa"
"Pmvk",3,3,3,"Pmvk"
"Pou4f1.1",3,3,3,"Pou4f1.1"
"Tmem132a",3,3,3,"Tmem132a"
