"gene","deg"
"Armcx6","th1_th0"
"Pias1","th1_th0"
"2210412D01Rik","th1_th0"
"Ticam2","th1_th0"
"Elmo1","th1_th0"
"Cd96","th1_th0"
"Fut7","th1_th0"
"Rasl11b","th1_th0"
"Batf","th1_th0"
"Fzr1","th1_th0"
"Rab33a","th1_th0"
"Stat1","th1_th0"
"Rab31","th1_th0"
"Rasl11b.1","th1_th0"
"D10Ertd610e","th1_th0"
"Nrp1","th1_th0"
"Tnfsf9","th1_th0"
"Vezf1","th1_th0"
"Il18rap","th1_th0"
"Ifi202b","th1_th0"
"Pde2a","th1_th0"
"Lgals3","th1_th0"
"Krtcap2","th1_th0"
"Ppapdc2","th1_th0"
"Dmwd","th1_th0"
"Acsl6","th1_th0"
"Ifi202b.1","th1_th0"
"F2rl2","th1_th0"
"Igf2r","th1_th0"
"D6Wsu176e","th1_th0"
"Lilrb4.1","th1_th0"
"Capsl","th1_th0"
"Lrp11","th1_th0"
"4930486L24Rik","th1_th0"
"Pkp2","th1_th0"
"1700019E19Rik","th1_th0"
"Ccr6","th1_th0"
"Pde6d.1","th1_th0"
"Dab2ip","th1_th0"
"Copz2.1","th1_th0"
"Clec2i","th1_th0"
"Apobec1","th1_th0"
"Ralb","th1_th0"
"Ccr5","th1_th0"
"Smap2","th1_th0"
"Ccng1","th1_th0"
"Copz2.2","th1_th0"
"Prdm2","th1_th0"
"Armc3","th1_th0"
"H1fx","th1_th0"
"Chd7","th1_th0"
"Ch25h","th1_th0"
"Ctsw","th1_th0"
"Plekhf1","th1_th0"
"Gja1","th1_th0"
"Zdhhc14","th1_th0"
"Acsl6.2","th1_th0"
"Nuak2","th1_th0"
"Batf3","th1_th0"
"Rab34","th1_th0"
"Ccr5.1","th1_th0"
"Optn","th1_th0"
"Zxdc.1","th1_th0"
"Phlda3.1","th1_th0"
"Ikzf1","th1_th0"
"Cdkn1a","th1_th0"
"Ptprk","th1_th0"
"Cyp4f18","th1_th0"
"Ccr5.2","th1_th0"
"ORF28.1","th1_th0"
"Iigp2","th1_th0"
"Igf2bp3","th1_th0"
"Fgl2","th1_th0"
"Actr3b","th1_th0"
"Smap2.1","th1_th0"
"Serpinf1","th1_th0"
"Soat1","th1_th0"
"Dmwd.1","th1_th0"
"Slpi","th1_th0"
"Ifng","th1_th0"
"Rhobtb1","th1_th0"
"5830405N20Rik","th1_th0"
"Pdlim4","th1_th0"
"9930104L06Rik","th1_th0"
"Parp14","th1_th0"
"Dhdh.1","th1_th0"
"Stc1","th1_th0"
"Ttc27","th1_th0"
"Vps11","th1_th0"
"Mtap7","th1_th0"
"Stap1","th1_th0"
"Ms4a6d.1","th1_th0"
"Prickle1","th1_th0"
"Cst7","th1_th0"
"Ccdc28b","th1_th0"
"Prrc1","th1_th0"
"Actr3b.1","th1_th0"
"Gorasp2","th1_th0"
"Il8ra","th1_th0"
"Il12rb1","th1_th0"
"Gucy1b3","th1_th0"
"Gucy1a3.1","th1_th0"
"Ccdc28b.1","th1_th0"
"Nt5e","th1_th0"
"5133401N09Rik","th1_th0"
"Pkp2.1","th1_th0"
"Il12rb1.1","th1_th0"
"Furin","th1_th0"
"Zcchc18.1","th1_th0"
"Rab34.2","th1_th0"
"Zfp277.2","th1_th0"
"Nkg7","th1_th0"
"Gp49a","th1_th0"
"Igf2r.1","th1_th0"
"St3gal6","th1_th0"
"Nt5e.1","th1_th0"
"2310004I24Rik","th1_th0"
"Hcn2","th1_th0"
"Fbln2","th1_th0"
"Pkp2.2","th1_th0"
"Tmem159.1","th1_th0"
