"gene","deg"
"Flcn","th1_thmix"
"Trim34","th1_thmix"
"Akr1c18","th1_thmix"
"Ifi202b.1","th1_thmix"
"Ifit3","th1_thmix"
"Fcrls","th1_thmix"
"Emr1","th1_thmix"
"Pip5k1b","th1_thmix"
"P2ry14","th1_thmix"
"Parp12","th1_thmix"
"D330045A20Rik.1","th1_thmix"
"Rnf213","th1_thmix"
"Tlr7","th1_thmix"
"Zbp1.1","th1_thmix"
"BC094916.1","th1_thmix"
"Gbp3.1","th1_thmix"
"Mov10.1","th1_thmix"
"Marcks","th1_thmix"
"Nts","th1_thmix"
"Sln","th1_thmix"
"Bst2","th1_thmix"
"Mitd1","th1_thmix"
"Tmem38b","th1_thmix"
"Timd2","th1_thmix"
"Itga3","th1_thmix"
"Tspan6","th1_thmix"
"Clec2e","th1_thmix"
"Rtp4","th1_thmix"
"D14Ertd668e.1","th1_thmix"
"Cd86.2","th1_thmix"
"Oas2","th1_thmix"
"Ms4a6d.1","th1_thmix"
"5730469M10Rik","th1_thmix"
"Prickle1","th1_thmix"
"Kbtbd7.2","th1_thmix"
"Mx1","th1_thmix"
"Smpdl3b","th1_thmix"
"Snx10","th1_thmix"
"Slfn1","th1_thmix"
"H28","th1_thmix"
"Amica1","th1_thmix"
"Oas1g.3","th1_thmix"
"Nkg7","th1_thmix"
"Adora3.1","th1_thmix"
"Ifi35","th1_thmix"
"Slfn2","th1_thmix"
"Rexo2","th1_thmix"
"Ifi203","th1_thmix"
"Trim34.1","th1_thmix"
"AI451617","th1_thmix"
"Znfx1","th1_thmix"
"Fscn1","th1_thmix"
"Tmem38b.1","th1_thmix"
"D330045A20Rik.2","th1_thmix"
"Oasl2","th1_thmix"
"Hopx","th1_thmix"
"Ifih1","th1_thmix"
"Muc13","th1_thmix"
"C730027P07Rik","th1_thmix"
"Ifit2.1","th1_thmix"
"Tiam1","th1_thmix"
"St3gal1","th1_thmix"
"Igfbp7.1","th1_thmix"
"Gbp6","th1_thmix"
"St3gal1.1","th1_thmix"
"Gldc","th1_thmix"
"Rsad2","th1_thmix"
"Mtap6.2","th1_thmix"
"Gbp1","th1_thmix"
"Sema4b","th1_thmix"
"Gata3","th1_thmix"
"Ube2q2.2","th1_thmix"
"Pim2.1","th1_thmix"
"Msr2","th1_thmix"
"Hsh2d","th1_thmix"
"Endod1","th1_thmix"
"Ltbp1.4","th1_thmix"
"1110067D22Rik","th1_thmix"
"Tarbp2.1","th1_thmix"
"Gbp6.1","th1_thmix"
"Ube2l6","th1_thmix"
"Pparg.2","th1_thmix"
"Dusp14","th1_thmix"
"Csprs","th1_thmix"
"P2ry14.2","th1_thmix"
"Klrk1.3","th1_thmix"
"Irf7","th1_thmix"
"Clpx","th1_thmix"
"Nrp1.1","th1_thmix"
"Stambpl1","th1_thmix"
"Tspan6.1","th1_thmix"
"Gbp5.1","th1_thmix"
"Oasl2.1","th1_thmix"
"2010001M09Rik","th1_thmix"
"Tal2","th1_thmix"
"Sco1.1","th1_thmix"
"Ifit3.1","th1_thmix"
"9930111J21Rik","th1_thmix"
"Mtap6.3","th1_thmix"
"Il18r1","th1_thmix"
"Eomes","th1_thmix"
"Armcx6","th2_th0"
"Trim25","th2_th0"
"Cd86","th2_th0"
"Il4ra","th2_th0"
"Oas1g","th2_th0"
"Ddx60","th2_th0"
"Efna5","th2_th0"
"Batf","th2_th0"
"Lgals3bp","th2_th0"
"Oasl1","th2_th0"
"Stat1","th2_th0"
"Atp10a","th2_th0"
"Nqo2","th2_th0"
"Ifit2","th2_th0"
"D330045A20Rik","th2_th0"
"Il18rap","th2_th0"
"Ifi202b","th2_th0"
"BC006779","th2_th0"
"Gvin1","th2_th0"
"BC094916","th2_th0"
"AI451557","th2_th0"
"Trim34","th2_th0"
"Sgk3.1","th2_th0"
"Cd80","th2_th0"
"Ifi202b.1","th2_th0"
"Ifit3","th2_th0"
"Pik3ap1","th2_th0"
"Tle6","th2_th0"
"Lilrb4.1","th2_th0"
"2510009E07Rik","th2_th0"
"Lrp11","th2_th0"
"Fcrls","th2_th0"
"Morc3","th2_th0"
"4930539E08Rik","th2_th0"
"Emr1","th2_th0"
"Id2","th2_th0"
"Gnpda1","th2_th0"
"Apobec1","th2_th0"
"Sp100","th2_th0"
"Mxra8","th2_th0"
"P2ry14","th2_th0"
"Ccr5","th2_th0"
"Stra6","th2_th0"
"Parp12","th2_th0"
"Phf11","th2_th0"
"Armc3","th2_th0"
"D330045A20Rik.1","th2_th0"
"Rnf213","th2_th0"
"LOC626578","th2_th0"
"Gnb2l1","th2_th0"
"Tlr7","th2_th0"
"Cd86.1","th2_th0"
"Usp18","th2_th0"
"Zbp1.1","th2_th0"
"Ly6a","th2_th0"
"BC094916.1","th2_th0"
"Gbp3.1","th2_th0"
"Atp8b4","th2_th0"
"Casp6","th2_th0"
"Marcks","th2_th0"
"Kbtbd7.1","th2_th0"
"Nts","th2_th0"
"Casp1","th2_th0"
"Sln","th2_th0"
"Bst2","th2_th0"
"Mitd1","th2_th0"
"Iigp2","th2_th0"
"Shh","th2_th0"
"Rapgef5","th2_th0"
"Fgl2","th2_th0"
"Mgll","th2_th0"
"Timd2","th2_th0"
"Tspan6","th2_th0"
"Ddx58","th2_th0"
"Serpinf1","th2_th0"
"EG240327","th2_th0"
"Nod1","th2_th0"
"Odf2.1","th2_th0"
"Rtp4","th2_th0"
"D14Ertd668e.1","th2_th0"
"Cd86.2","th2_th0"
"Asb2","th2_th0"
"Parp14","th2_th0"
"Oas2","th2_th0"
"Irf9","th2_th0"
"Cxcl10","th2_th0"
"Dnalc1.1","th2_th0"
"Stap1","th2_th0"
"Ms4a6d.1","th2_th0"
"Tdrd7","th2_th0"
"Kbtbd7.2","th2_th0"
"Mx1","th2_th0"
"Twsg1.1","th2_th0"
"Il8ra","th2_th0"
"Gucy1b3","th2_th0"
"Gucy1a3.1","th2_th0"
"Snx10","th2_th0"
"Slfn1","th2_th0"
"Ms4a6b","th2_th0"
"Cdc42se1.1","th2_th0"
"H28","th2_th0"
"Amica1","th2_th0"
"Oas1g.3","th2_th0"
"Nkg7","th2_th0"
"Sco1","th2_th0"
"Adora3.1","th2_th0"
"Ifi35","th2_th0"
"Gp49a","th2_th0"
"Irak2.1","th2_th0"
"2310004I24Rik","th2_th0"
"Rexo2","th2_th0"
"Ifi203","th2_th0"
"Trim34.1","th2_th0"
"AI451617","th2_th0"
"Casp6.1","th2_th0"
"Znfx1","th2_th0"
"D330045A20Rik.2","th2_th0"
"Usp18.1","th2_th0"
"Nin.2","th2_th0"
"Edn1","th2_th0"
"Gipr","th2_th0"
"Oasl1.2","th2_th0"
"Oasl2","th2_th0"
"Myo1f","th2_th0"
"Ifih1","th2_th0"
"Armcx6.1","th2_th0"
"Ifit2.1","th2_th0"
"Mgll.1","th2_th0"
"Tmem65.2","th2_th0"
"St3gal1","th2_th0"
"Igfbp7.1","th2_th0"
"Gbp6","th2_th0"
"Oas1b","th2_th0"
"Ly6c1","th2_th0"
"Rsad2","th2_th0"
"LOC625360","th2_th0"
"Trim21","th2_th0"
"Mtap6.2","th2_th0"
"A630077B13Rik","th2_th0"
"Gbp1","th2_th0"
"Tbc1d2.4","th2_th0"
"Spsb1","th2_th0"
"Pld4","th2_th0"
"Aqp9","th2_th0"
"Mef2c.2","th2_th0"
"Irgm","th2_th0"
"Plac8","th2_th0"
"Tap1","th2_th0"
"Gata3","th2_th0"
"Ube2q2.2","th2_th0"
"Gbp5","th2_th0"
"Gnaz","th2_th0"
"Ric8b.1","th2_th0"
"Msr2","th2_th0"
"Id1","th2_th0"
"Sp100.1","th2_th0"
"Hsh2d","th2_th0"
"Endod1","th2_th0"
"1110067D22Rik","th2_th0"
"Tarbp2.1","th2_th0"
"Gbp6.1","th2_th0"
"Ube2l6","th2_th0"
"Pparg.2","th2_th0"
"Pon2","th2_th0"
"Csprs","th2_th0"
"Inpp5a.1","th2_th0"
"P2ry14.2","th2_th0"
"Klrk1.3","th2_th0"
"H2-T10.1","th2_th0"
"Irf7","th2_th0"
"Il12rb2","th2_th0"
"Phf11.2","th2_th0"
"Mgll.2","th2_th0"
"LOC435565","th2_th0"
"Clpx","th2_th0"
"Rgs1.2","th2_th0"
"Mapre2.1","th2_th0"
"Rasa1","th2_th0"
"Stambpl1","th2_th0"
"Tspan6.1","th2_th0"
"Dbndd2.2","th2_th0"
"Fhit","th2_th0"
"Gbp5.1","th2_th0"
"Tnfrsf8.1","th2_th0"
"Ifit3.1","th2_th0"
"9930111J21Rik","th2_th0"
"Mtap6.3","th2_th0"
"Il18r1","th2_th0"
"Eomes","th2_th0"
"Trim25","th2_thmix"
"Adar","th2_thmix"
"Nrp1","th2_thmix"
"Pik3ap1","th2_thmix"
"Ccr5","th2_thmix"
"LOC626578","th2_thmix"
"Ch25h","th2_thmix"
"Usp18","th2_thmix"
"Zbp1.1","th2_thmix"
"Ly6a","th2_thmix"
"Itpr1","th2_thmix"
"Nuak2","th2_thmix"
"Ccr5.1","th2_thmix"
"Bst2","th2_thmix"
"Ccr5.2","th2_thmix"
"Fgl2","th2_thmix"
"EG240327","th2_thmix"
"Ttc27","th2_thmix"
"Prickle1","th2_thmix"
"Amica1","th2_thmix"
"Selp","th2_thmix"
"Serpina3f","th2_thmix"
"Oasl1.2","th2_thmix"
"Igfbp7.1","th2_thmix"
"Ly6c1","th2_thmix"
"Cxcr3","th2_thmix"
"Plac8","th2_thmix"
"Ube2l6","th2_thmix"
"Ffar2","th2_thmix"
"Il12rb2","th2_thmix"
"LOC435565","th2_thmix"
"Nrp1.1","th2_thmix"
"Gbp5.1","th2_thmix"
