"gene","deg"
"Armcx6","th1_th0"
"2210412D01Rik","th1_th0"
"Cd96","th1_th0"
"Batf","th1_th0"
"Rab33a","th1_th0"
"Rab31","th1_th0"
"Nrp1","th1_th0"
"Tnfsf9","th1_th0"
"Acsl6","th1_th0"
"Lilrb4.1","th1_th0"
"Lrp11","th1_th0"
"Copz2.1","th1_th0"
"Clec2i","th1_th0"
"Apobec1","th1_th0"
"Ccr5","th1_th0"
"Copz2.2","th1_th0"
"Prdm2","th1_th0"
"Chd7","th1_th0"
"Ch25h","th1_th0"
"Ctsw","th1_th0"
"Plekhf1","th1_th0"
"Gja1","th1_th0"
"Acsl6.2","th1_th0"
"Ccr5.1","th1_th0"
"Ccr5.2","th1_th0"
"ORF28.1","th1_th0"
"Iigp2","th1_th0"
"Actr3b","th1_th0"
"Serpinf1","th1_th0"
"Ifng","th1_th0"
"5830405N20Rik","th1_th0"
"Pdlim4","th1_th0"
"9930104L06Rik","th1_th0"
"Parp14","th1_th0"
"Ttc27","th1_th0"
"Stap1","th1_th0"
"Ms4a6d.1","th1_th0"
"Cst7","th1_th0"
"Il8ra","th1_th0"
"Gucy1b3","th1_th0"
"Gucy1a3.1","th1_th0"
"Nt5e","th1_th0"
"5133401N09Rik","th1_th0"
"Furin","th1_th0"
"Zfp277.2","th1_th0"
"Nkg7","th1_th0"
"Gp49a","th1_th0"
"St3gal6","th1_th0"
"Nt5e.1","th1_th0"
"Pkp2.2","th1_th0"
"Serpina3f","th1_th0"
"Fscn1","th1_th0"
"Armcx3","th1_th0"
"Ccr6.1","th1_th0"
"Psmc2.1","th1_th0"
"Gipr","th1_th0"
"Aqr.1","th1_th0"
"Trp53bp2","th1_th0"
"Hopx","th1_th0"
"Myo1f","th1_th0"
"Klrd1","th1_th0"
"Lif.1","th1_th0"
"Tiam1","th1_th0"
"Mgll.1","th1_th0"
"St3gal1","th1_th0"
"Igfbp7.1","th1_th0"
"Ube2f.1","th1_th0"
"Fes","th1_th0"
"Tbc1d2.4","th1_th0"
"Cxcr3","th1_th0"
"Irgm","th1_th0"
"Plcxd1.2","th1_th0"
"Ube2f.2","th1_th0"
"Ric8b.1","th1_th0"
"Tmem53.2","th1_th0"
"BC016495","th1_th0"
"Adamtsl5","th1_th0"
"Ifng.1","th1_th0"
"Igtp","th1_th0"
"Ltbp1.4","th1_th0"
"Gbp6.1","th1_th0"
"Ffar2","th1_th0"
"Lrrk1.1","th1_th0"
"Klrk1.3","th1_th0"
"Aebp2.3","th1_th0"
"Prdm2.2","th1_th0"
"Slc17a6","th1_th0"
"Rasa1","th1_th0"
"Nrp1.1","th1_th0"
"Dbndd2.2","th1_th0"
"Furin.2","th1_th0"
"Kcnf1","th1_th0"
"Slamf9","th1_th0"
"EG630499","th1_th2"
"Armcx6","th1_th2"
"Trim25","th1_th2"
"Plcxd1","th1_th2"
"Phldb1","th1_th2"
"Il11ra1","th1_th2"
"Cd86","th1_th2"
"Adar","th1_th2"
