"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","1110067D22Rik",0.0900305689508019,0.894241429079452,0.650770915972222,0.0215090815545201,0.759698236671435,0.0311195222490929,"ns","sig","Th2like","Th1/2"
"2","2010001M09Rik",0.212852114395698,0.974652541827623,0.644551424450822,0.0195243371261525,0.755680980390619,0.0288620635777907,"ns","sig","Th2like","Th1/2"
"3","2310004I24Rik",0.15952296045725,0.576186660903632,0.135071995468989,0.0469991576215535,0.264741143417019,0.0619396387903362,"ns","ns","Ind","Th1/2"
"4","2510009E07Rik",0.184608841050001,0.744152126206087,0.27135538263282,0.00387056268868902,0.418132142731064,0.00697213941273784,"ns","sig","Th2like","Th1/2"
"5","2510009E07Rik.2",0.376095559508768,0.630772598829856,0.000440540998556533,0.000151920368114316,0.00544668870942623,0.000543715001672289,"sig","sig","Superpos","Th1/2"
"6","4930539E08Rik",0.320701696466893,0.651818749918682,2.157209146574e-05,0.00107917654385698,0.000838229839811611,0.00243601858621248,"sig","sig","Superpos","Th1/2"
"7","5730469M10Rik",0.311571551608862,0.732073055146383,0.165056720825126,1.86458886699933e-05,0.301477260298247,0.000117507914121829,"ns","sig","Th2like","Th1/2"
"8","5730469M10Rik.1",0.0341220563167277,0.851720609826141,0.750314698678102,4.76767260103766e-08,0.826257481945116,4.32268982494081e-06,"ns","sig","Th2like","Th1/2"
"9","9930111J21Rik",0.0020407407511973,0.798126823156084,0.989967667414668,0.00795328773579177,0.989967667414668,0.0131108743280931,"ns","sig","Th2like","Th1/2"
"10","Actr3b",0.744488845251594,0.212759847177125,0.0431303964700543,0.139605080176263,0.116153146929255,0.167280096070236,"ns","ns","Ind","Th1/2"
"11","Adar",0.128540116723564,0.408959670087976,0.438638629103869,0.418088805638711,0.587732547370701,0.449486779184701,"ns","ns","Ind","Th1/2"
"12","Adora3.1",-0.10611756763442,0.427573712970605,0.663899979509458,4.83619067249066e-05,0.7684289124535,0.000243600715355085,"ns","sig","Th2like","Th1/2"
"13","Aff4",0.748261114051523,0.220138002352528,0.00301623720480075,0.202488851955403,0.0189015614138444,0.233376981914702,"sig","ns","Th1like","Th1/2"
"14","AI451557",0.365072661487496,0.458865790801737,0.0939242392615061,0.000929259180526733,0.198041806814959,0.00216224670115529,"ns","sig","Th2like","Th1/2"
"15","AI451617",-0.0862734932951493,-0.485381276613396,0.0743005101919959,0.358676559313168,0.167022634481181,0.39338719408541,"ns","ns","Ind","Th1/2"
"16","Akr1c18",0.00174182233233748,0.945106431513199,0.965068585930543,8.20956225068215e-10,0.979472594675775,2.23300093218554e-07,"ns","sig","Th2like","Th1/2"
"17","Amica1",0.234021645674269,0.92235690761287,0.0446085965963598,0.109449999970454,0.118956257590293,0.131727433592759,"ns","ns","Ind","Th1/2"
"18","Antxr2",0.433094871357713,0.769211725161275,0.0400253913828126,0.00120931405121893,0.111691586381906,0.00265519065857179,"ns","sig","Th2like","Th1/2"
