"ftest","pvalue","gene","model"
"Th2vsMixed",0.0179843082887972,"Cd79b.1","Th1/2"
"Th1vsMixed",0.000763291179165765,"Cd80","Th1/2"
"Th2vsMixed",0.185774090179918,"Cd80","Th1/2"
"Th1vsMixed",7.85729614582116e-07,"Cd86","Th1/2"
"Th2vsMixed",0.503308287057379,"Cd86","Th1/2"
"Th1vsMixed",2.52728506363206e-06,"Cd86.1","Th1/2"
"Th2vsMixed",0.843239358738142,"Cd86.1","Th1/2"
"Th1vsMixed",4.76131210982215e-08,"Cd86.2","Th1/2"
"Th2vsMixed",0.631442458795332,"Cd86.2","Th1/2"
"Th1vsMixed",0.000232922960540299,"Cdc42se1.1","Th1/2"
"Th2vsMixed",0.110053791432855,"Cdc42se1.1","Th1/2"
"Th1vsMixed",0.000236308860363923,"Cercam","Th1/2"
"Th2vsMixed",0.309292278166382,"Cercam","Th1/2"
"Th1vsMixed",0.927905052832328,"Ch25h","Th1/2"
"Th2vsMixed",0.0015053184793915,"Ch25h","Th1/2"
"Th1vsMixed",0.000744863394738021,"Clec2e","Th1/2"
"Th2vsMixed",0.133155064049326,"Clec2e","Th1/2"
"Th1vsMixed",8.49072134362697e-06,"Clpx","Th1/2"
"Th2vsMixed",0.00916137339355864,"Clpx","Th1/2"
"Th1vsMixed",5.4731313301854e-05,"Cox7a1","Th1/2"
"Th2vsMixed",0.302314127002728,"Cox7a1","Th1/2"
"Th1vsMixed",0.000392918739706487,"Csprs","Th1/2"
"Th2vsMixed",0.00547458870842494,"Csprs","Th1/2"
"Th1vsMixed",9.6520743725381e-06,"Ctsw","Th1/2"
"Th2vsMixed",1.19120276083917e-05,"Ctsw","Th1/2"
"Th1vsMixed",0.0049819169627667,"Cuedc1","Th1/2"
"Th2vsMixed",0.0507784926882934,"Cuedc1","Th1/2"
"Th1vsMixed",0.608126208668449,"Cxcr3","Th1/2"
"Th2vsMixed",0.00013325124087228,"Cxcr3","Th1/2"
"Th1vsMixed",0.000610158506245266,"Cyp2s1","Th1/2"
