"ftest","pvalue","gene","model"
"Th2vsMixed",0.0182708112347406,"1600014C10Rik.1","Th1/2"
"Th1vsMixed",0.0131498313665219,"1600016N20Rik","Th1/2"
"Th2vsMixed",0.0147064083334083,"1600016N20Rik","Th1/2"
"Th1vsMixed",2.87116077466267e-05,"1700012G19Rik","Th1/2"
"Th2vsMixed",0.116241215322203,"1700012G19Rik","Th1/2"
"Th1vsMixed",0.00128536662642382,"1700019E19Rik","Th1/2"
"Th2vsMixed",0.338899809874823,"1700019E19Rik","Th1/2"
"Th1vsMixed",0.000852670333781086,"1700019H03Rik","Th1/2"
"Th2vsMixed",0.574636069756007,"1700019H03Rik","Th1/2"
"Th1vsMixed",6.65795169655168e-06,"1700025K23Rik","Th1/2"
"Th2vsMixed",0.944309013795097,"1700025K23Rik","Th1/2"
"Th1vsMixed",0.00750378738571707,"1700027J05Rik","Th1/2"
"Th2vsMixed",0.756886035664018,"1700027J05Rik","Th1/2"
"Th1vsMixed",0.0126814029348553,"1700027N10Rik","Th1/2"
"Th2vsMixed",0.751769431868554,"1700027N10Rik","Th1/2"
"Th1vsMixed",0.00860639074575563,"1700071K01Rik","Th1/2"
"Th2vsMixed",0.706958910305945,"1700071K01Rik","Th1/2"
"Th1vsMixed",0.433949538574126,"1700102P08Rik","Th1/2"
"Th2vsMixed",0.0211168455452236,"1700102P08Rik","Th1/2"
"Th1vsMixed",0.0647487266133961,"1810015A11Rik","Th1/2"
"Th2vsMixed",0.00782811565881014,"1810015A11Rik","Th1/2"
"Th1vsMixed",0.00662457097869816,"1810015C04Rik","Th1/2"
"Th2vsMixed",0.748955543126963,"1810015C04Rik","Th1/2"
"Th1vsMixed",0.0304025626800459,"1810027O10Rik","Th1/2"
"Th2vsMixed",0.0974948949701014,"1810027O10Rik","Th1/2"
"Th1vsMixed",0.0207000166184462,"1810033M07Rik","Th1/2"
"Th2vsMixed",0.548101802336985,"1810033M07Rik","Th1/2"
"Th1vsMixed",0.9363921185937,"1810035L17Rik","Th1/2"
"Th2vsMixed",0.1397784311863,"1810035L17Rik","Th1/2"
"Th1vsMixed",0.94870829032216,"1810035L17Rik.1","Th1/2"
"Th2vsMixed",0.0683721761130942,"1810035L17Rik.1","Th1/2"
"Th1vsMixed",0.00438470846122241,"1810037I17Rik","Th1/2"
"Th2vsMixed",0.882809706570627,"1810037I17Rik","Th1/2"
"Th1vsMixed",0.000212277596406731,"1810054D07Rik","Th1/2"
"Th2vsMixed",0.0258604512696491,"1810054D07Rik","Th1/2"
"Th1vsMixed",0.223144599803138,"2010005J08Rik.1","Th1/2"
"Th2vsMixed",0.552244303216542,"2010005J08Rik.1","Th1/2"
"Th1vsMixed",0.956622216684167,"2010305A19Rik","Th1/2"
"Th2vsMixed",0.0388243483222772,"2010305A19Rik","Th1/2"
"Th1vsMixed",0.0174232184556823,"2210009G21Rik.1","Th1/2"
"Th2vsMixed",0.959205435065671,"2210009G21Rik.1","Th1/2"
"Th1vsMixed",0.0025638151746231,"2210012G02Rik.1","Th1/2"
"Th2vsMixed",0.269851282693245,"2210012G02Rik.1","Th1/2"
"Th1vsMixed",0.452928032297674,"2210021J22Rik","Th1/2"
"Th2vsMixed",0.074884486308731,"2210021J22Rik","Th1/2"
"Th1vsMixed",0.0310299669792108,"2210411K11Rik","Th1/2"
"Th2vsMixed",0.0191764857794873,"2210411K11Rik","Th1/2"
"Th1vsMixed",0.100668943885927,"2210412D01Rik","Th1/2"
"Th2vsMixed",0.335684061419875,"2210412D01Rik","Th1/2"
"Th1vsMixed",0.601265284720643,"2310002B06Rik.1","Th1/2"
"Th2vsMixed",0.0815586845301342,"2310002B06Rik.1","Th1/2"
"Th1vsMixed",0.00114025150185069,"2310005E10Rik","Th1/2"
"Th2vsMixed",0.253765948705659,"2310005E10Rik","Th1/2"
"Th1vsMixed",0.032437500198925,"2310005E10Rik.1","Th1/2"
"Th2vsMixed",0.958095337808241,"2310005E10Rik.1","Th1/2"
"Th1vsMixed",0.108755728306058,"2310007D09Rik","Th1/2"
"Th2vsMixed",0.288701154961282,"2310007D09Rik","Th1/2"
"Th1vsMixed",0.0107756103479285,"2310008H09Rik","Th1/2"
"Th2vsMixed",0.0880028734033635,"2310008H09Rik","Th1/2"
"Th1vsMixed",0.0180101194192456,"2310008H09Rik.1","Th1/2"
"Th2vsMixed",0.121346933769907,"2310008H09Rik.1","Th1/2"
"Th1vsMixed",0.00878455272836278,"2310010M24Rik","Th1/2"
"Th2vsMixed",0.169397323992875,"2310010M24Rik","Th1/2"
"Th1vsMixed",0.00464383065708337,"2310016C08Rik","Th1/2"
"Th2vsMixed",0.716272145597988,"2310016C08Rik","Th1/2"
"Th1vsMixed",0.0028494161492998,"2310016C08Rik.1","Th1/2"
"Th2vsMixed",0.354805321041847,"2310016C08Rik.1","Th1/2"
"Th1vsMixed",0.000531122539144802,"2310016E02Rik","Th1/2"
"Th2vsMixed",0.44302893920379,"2310016E02Rik","Th1/2"
"Th1vsMixed",4.37375649255595e-05,"2310022B05Rik","Th1/2"
"Th2vsMixed",0.498639581858194,"2310022B05Rik","Th1/2"
"Th1vsMixed",0.0215214799247142,"2310035C23Rik.2","Th1/2"
"Th2vsMixed",0.681818553872446,"2310035C23Rik.2","Th1/2"
"Th1vsMixed",0.480871970502281,"2310037I24Rik","Th1/2"
"Th2vsMixed",0.861005961104289,"2310037I24Rik","Th1/2"
"Th1vsMixed",0.00382707846064553,"2310040C09Rik","Th1/2"
"Th2vsMixed",0.198874683250815,"2310040C09Rik","Th1/2"
"Th1vsMixed",0.11251229014922,"2310047D13Rik","Th1/2"
"Th2vsMixed",0.0125592378865898,"2310047D13Rik","Th1/2"
"Th1vsMixed",0.000130398505617731,"2310056P07Rik","Th1/2"
"Th2vsMixed",0.190133539130504,"2310056P07Rik","Th1/2"
"Th1vsMixed",0.366405000826016,"2310061C15Rik","Th1/2"
"Th2vsMixed",0.631634354562882,"2310061C15Rik","Th1/2"
"Th1vsMixed",0.00127517692986532,"2310061F22Rik","Th1/2"
"Th2vsMixed",0.00129053209554916,"2310061F22Rik","Th1/2"
"Th1vsMixed",0.011003261594704,"2310061F22Rik.1","Th1/2"
"Th2vsMixed",0.593369070141943,"2310061F22Rik.1","Th1/2"
"Th1vsMixed",0.1724389685734,"2410002F23Rik","Th1/2"
"Th2vsMixed",0.514702308628898,"2410002F23Rik","Th1/2"
"Th1vsMixed",0.00299817952277272,"2410002F23Rik.1","Th1/2"
"Th2vsMixed",0.443626471822033,"2410002F23Rik.1","Th1/2"
"Th1vsMixed",0.00113967855544056,"2410002F23Rik.2","Th1/2"
"Th2vsMixed",0.287823728448961,"2410002F23Rik.2","Th1/2"
"Th1vsMixed",0.0242893676544717,"2410004L22Rik","Th1/2"
"Th2vsMixed",0.136956812903564,"2410004L22Rik","Th1/2"
"Th1vsMixed",0.00805951308958866,"2410008K03Rik","Th1/2"
"Th2vsMixed",0.206123233059188,"2410008K03Rik","Th1/2"
"Th1vsMixed",0.0354507186053803,"2410015N17Rik","Th1/2"
"Th2vsMixed",0.845525766434648,"2410015N17Rik","Th1/2"
"Th1vsMixed",0.064835209843511,"2410016O06Rik","Th1/2"
"Th2vsMixed",0.0510154990276701,"2410016O06Rik","Th1/2"
"Th1vsMixed",0.142742483217232,"2410018G20Rik","Th1/2"
"Th2vsMixed",0.925337022988844,"2410018G20Rik","Th1/2"
"Th1vsMixed",0.183061909622142,"2410018M08Rik","Th1/2"
"Th2vsMixed",0.105631350880068,"2410018M08Rik","Th1/2"
"Th1vsMixed",0.331249946918942,"2410019A14Rik.1","Th1/2"
"Th2vsMixed",0.247535519565888,"2410019A14Rik.1","Th1/2"
"Th1vsMixed",0.0771097949955547,"2410022L05Rik","Th1/2"
"Th2vsMixed",0.0025830544015023,"2410022L05Rik","Th1/2"
"Th1vsMixed",0.0118718473492172,"2410025L10Rik.1","Th1/2"
"Th2vsMixed",0.396896732609453,"2410025L10Rik.1","Th1/2"
