"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","1110067D22Rik",0.0900305689508019,0.894241429079452,0.650770915972222,0.0215090815545201,0.744961443283991,0.0328296507937412,"ns","sig","Th2like","Th1/2"
"2","2010001M09Rik",0.212852114395698,0.974652541827623,0.644551424450822,0.0195243371261525,0.742728131486378,0.0303324523209869,"ns","sig","Th2like","Th1/2"
"3","2310004I24Rik",0.15952296045725,0.576186660903632,0.135071995468989,0.0469991576215535,0.261147530565688,0.0649035986202405,"ns","ns","Ind","Th1/2"
"4","2510009E07Rik.2",0.376095559508768,0.630772598829856,0.000440540998556533,0.000151920368114316,0.00403442809204404,0.000562428596848744,"sig","sig","Superpos","Th1/2"
"5","4930539E08Rik",0.320701696466893,0.651818749918682,2.157209146574e-05,0.00107917654385698,0.000536220559291251,0.00248103402254826,"sig","sig","Superpos","Th1/2"
"6","5730469M10Rik",0.311571551608862,0.732073055146383,0.165056720825126,1.86458886699933e-05,0.292207237588541,0.000118125077536334,"ns","sig","Th2like","Th1/2"
"7","9930111J21Rik",0.0020407407511973,0.798126823156084,0.989967667414668,0.00795328773579177,0.989967667414668,0.0137017036240373,"ns","sig","Th2like","Th1/2"
"8","Adar",0.128540116723564,0.408959670087976,0.438638629103869,0.418088805638711,0.573858056120851,0.460426912538834,"ns","ns","Ind","Th1/2"
"9","AI451557",0.365072661487496,0.458865790801737,0.0939242392615061,0.000929259180526733,0.196901417247013,0.00224570968627294,"ns","sig","Th2like","Th1/2"
"10","AI451617",-0.0862734932951493,-0.485381276613396,0.0743005101919959,0.358676559313168,0.167899854200095,0.40525793065254,"ns","ns","Ind","Th1/2"
"11","Akr1c18",0.00174182233233748,0.945106431513199,0.965068585930543,8.20956225068215e-10,0.987776082070085,1.42846383161869e-07,"ns","sig","Th2like","Th1/2"
"12","Amica1",0.234021645674269,0.92235690761287,0.0446085965963598,0.109449999970454,0.121279621996353,0.139009489013569,"ns","ns","Ind","Th1/2"
"13","Aqp9",0.501335122308851,0.756518885317405,5.03450810670785e-06,1.35101200959844e-05,0.000219001102641791,9.79483706958869e-05,"sig","sig","Superpos","Th1/2"
"14","Atp10a",-0.234601872469413,0.969853060501135,0.140912506062944,0.00522657833053993,0.266508435379916,0.00947317322410362,"ns","sig","Th2like","Th1/2"
"15","BC006779",0.2180946394783,0.603005021563586,0.0926527727507514,0.00107036741643649,0.196604664129643,0.00248103402254826,"ns","sig","Th2like","Th1/2"
"16","BC094916",0.0728725266716408,0.930493524493036,0.0728519635154294,3.32205722013895e-07,0.167899854200095,1.44509489076044e-05,"ns","sig","Th2like","Th1/2"
"17","BC094916.1",0.270792809971311,0.812303947758354,0.00398095951343099,2.55074955104707e-06,0.0192413043149164,3.69858684901825e-05,"sig","sig","Superpos","Th1/2"
"18","Bst2",0.310651641992574,0.247547415092311,0.146992048364806,0.607434628139787,0.272091663994428,0.629845001835179,"ns","ns","Ind","Th1/2"
"19","C730027P07Rik",-1.95553062574544,0.833293334007359,0.0307499028218794,3.29134207966847e-05,0.0862981143710809,0.000173543491473428,"ns","sig","Th2like","Th1/2"
"20","Casp1",0.480719857618829,0.733087703188607,0.00320995566801004,0.0101971185231948,0.0159580653209642,0.0168980821241514,"sig","sig","Superpos","Th1/2"
"21","Ccr5",0.291251068977439,0.328682534157935,0.000138271826563391,0.199909409296079,0.00171852127300215,0.241557202899429,"sig","ns","Th1like","Th1/2"
"22","Ccr5.1",0.351332501610638,0.951380510183443,2.6103726156829e-05,0.00817351251172577,0.000567756043911031,0.0137535126835956,"sig","sig","Superpos","Th1/2"
"23","Ccr5.2",0.405294862263943,0.783239189253095,0.000152447305318325,0.00822049033962033,0.00176838874169257,0.0137535126835956,"sig","sig","Superpos","Th1/2"
"24","Cd80",0.102694291278312,0.799330639509645,0.185774090179918,0.000763291179165763,0.313071616703716,0.00192482123441801,"ns","sig","Th2like","Th1/2"
"25","Cd86",-0.0751251852583382,1.0196566844204,0.50330828705737,7.85729614582116e-07,0.630703937584726,1.51907725485876e-05,"ns","sig","Th2like","Th1/2"
"26","Cd86.2",0.0352261433126792,0.956782072031218,0.63144245879536,4.76131210982215e-08,0.732473252202617,4.14234153554527e-06,"ns","sig","Th2like","Th1/2"
"27","Cdc42se1.1",0.283760632453952,0.819553587191841,0.110053791432855,0.000232922960540299,0.222666973364148,0.000810571902680241,"ns","sig","Th2like","Th1/2"
"28","Ch25h",1.06089218313274,0.113886690260868,0.0015053184793915,0.927905052832328,0.0092827611037174,0.932835138211591,"sig","ns","Th1like","Th1/2"
"29","Clec2e",0.252201673549199,0.586511700744191,0.133155064049326,0.000744863394738021,0.261147530565688,0.00190597398065317,"ns","sig","Th2like","Th1/2"
"30","Clpx",-0.778083026988493,1.3473135138159,0.00916137339355862,8.49072134362697e-06,0.0346538906625913,7.85729555441311e-05,"sig","sig","Superpos","Th1/2"
"31","Csprs",0.208342401688718,0.623261622561315,0.00547458870842495,0.000392918739706486,0.02506785355963,0.00122085465551658,"sig","sig","Superpos","Th1/2"
"32","Ctsw",0.471748993087784,0.471375703577406,1.19120276083917e-05,9.6520743725381e-06,0.000345448800643359,7.99743305153157e-05,"sig","sig","Superpos","Th1/2"
"33","Cxcr3",0.710221004611559,-0.069250007597278,0.00013325124087228,0.608126208668449,0.00171852127300215,0.629845001835179,"sig","ns","Th1like","Th1/2"
"34","D14Ertd668e.1",-0.00159195105694997,0.888100981888163,0.981680383745668,8.49333005834878e-05,0.989967667414668,0.000378933187218638,"ns","sig","Th2like","Th1/2"
"35","D330045A20Rik",-0.313155327452279,0.533441266878305,0.537059269848363,4.95066002377303e-07,0.648946617733439,1.48508177926166e-05,"ns","sig","Th2like","Th1/2"
"36","D330045A20Rik.1",0.233877763717953,0.550199374218148,0.275167843929634,1.35691435961152e-07,0.419993024945231,7.87010328574682e-06,"ns","sig","Th2like","Th1/2"
"37","D330045A20Rik.2",0.801263278868702,0.477270802226206,0.300875420245981,0.000418040319783374,0.443663755277972,0.00127612308144398,"ns","sig","Th2like","Th1/2"
"38","Ddx58",0.29306463851303,0.79749114035309,9.41650044287345e-05,6.74501487310636e-07,0.00163847107705998,1.51907725485876e-05,"sig","sig","Superpos","Th1/2"
"39","Ddx60",0.0616744687021488,0.851056990954822,0.427904434660792,0.000315206714602555,0.573858056120851,0.000997199424378992,"ns","sig","Th2like","Th1/2"
"40","Dusp14",-0.0966187871852137,0.584572050066336,0.535576593811974,0.0283783063645342,0.648946617733439,0.041494330314529,"ns","sig","Th2like","Th1/2"
"41","Efna5",-0.291332063405798,1.03777029530817,0.625709273418723,0.000489639437150322,0.730694050837972,0.0014440213909179,"ns","sig","Th2like","Th1/2"
"42","EG240327",0.575721391085089,0.555290026970638,0.00160047605236507,0.442892046010002,0.0092827611037174,0.478653515563605,"sig","ns","Th1like","Th1/2"
"43","Emr1",0.264587919882192,0.75882783201953,0.503838203013086,2.98269637571826e-05,0.630703937584726,0.00016218411542968,"ns","sig","Th2like","Th1/2"
