"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","0610007C21Rik",0.423926642861658,0.6616074956288,0.165459595727456,0.0718059218385976,0.381179176786927,0.116537948874759,"ns","ns","Ind","Th1/2"
"2","0610007C21Rik.1",0.456150867613232,0.606304270331248,0.0785423452057697,0.0333436314818169,0.257300426128636,0.0668770629720443,"ns","ns","Ind","Th1/2"
"3","0610007C21Rik.2",0.845457466595004,0.239673724976248,0.00152227081093485,0.194452204283353,0.052531243577345,0.256830806306135,"ns","ns","Ind","Th1/2"
"4","0610007P14Rik",0.336522221426017,0.56433313958139,0.330984592512948,0.0857446889554449,0.537388062485137,0.13326426466663,"ns","ns","Ind","Th1/2"
"5","0610007P14Rik.1",-0.0934375548745244,0.944764208971504,0.914036331232479,0.260567921242565,0.952394048305695,0.325111616706158,"ns","ns","Ind","Th1/2"
"6","0610007P14Rik.2",0.343265729888129,0.577601231985598,0.0803431833673848,0.00665390044988394,0.259205501751858,0.0223185194661675,"ns","sig","Th2like","Th1/2"
"7","0610009B22Rik",-0.0308506844267892,1.01233790277609,0.945239026451926,0.0496989133710414,0.969396516426589,0.088877459484796,"ns","ns","Ind","Th1/2"
"8","0610011F06Rik",-0.0780622114474468,1.02940445991651,0.830180618958957,0.00487033422070055,0.90646993533475,0.0181342054904593,"ns","sig","Th2like","Th1/2"
"9","0610031J06Rik.1",0.328728286988009,0.658662635495794,0.44851843942134,0.159581400637733,0.640381165962025,0.219309977521717,"ns","ns","Ind","Th1/2"
"10","0610037D15Rik",-0.314302415266347,1.13528158614986,0.525671190030569,0.0252976491218147,0.703948563904623,0.0552639631030201,"ns","ns","Ind","Th1/2"
"11","1110001A07Rik",0.292308118639154,0.65984710165707,0.43257336788835,0.0914855283816335,0.626432004755058,0.14033005926419,"ns","ns","Ind","Th1/2"
"12","1110003E01Rik",0.122054315083385,0.886587405155235,0.222306197601653,4.7323520509242e-05,0.437763945874014,0.00113460312461381,"ns","sig","Th2like","Th1/2"
"13","1110005A23Rik",1.88468517986615,-0.480058623749372,0.0928323652608706,0.561059591148691,0.277135917406353,0.612338422717092,"ns","ns","Ind","Th1/2"
"14","1110007A13Rik.1",0.161098733297985,0.707658248509176,0.501625707867898,0.0203346003364717,0.687056805394578,0.0471741554329101,"ns","sig","Th2like","Th1/2"
"15","1110007L15Rik",0.363007178762077,0.547024662798745,0.285897691020749,0.186679997988644,0.49927199039131,0.248581082998613,"ns","ns","Ind","Th1/2"
"16","1110007L15Rik.1",0.0465520491602718,0.975435860969312,0.794927839188791,0.00316859909664867,0.889882148649834,0.0136679401711371,"ns","sig","Th2like","Th1/2"
"17","1110007L15Rik.3",0.0202864139701403,0.819073857225706,0.985218841495788,0.451823005513697,0.992040336936412,0.510541505434625,"ns","ns","Ind","Th1/2"
"18","1110007M04Rik",0.625463304014234,0.324922522744278,0.00187135327943116,0.0363227428235757,0.0582246280918167,0.0711429575649833,"ns","ns","Ind","Th1/2"
"19","1110012M11Rik",1.46259425561002,-0.352373086716291,0.00357147115411533,0.305399718452919,0.0695497248701865,0.37166397296482,"ns","ns","Ind","Th1/2"
"20","1110013L07Rik.1",0.660982280610109,0.337623515835813,0.00372208523521742,0.102354884058341,0.0699359461886025,0.153404217040973,"ns","ns","Ind","Th1/2"
"21","1110018J18Rik",0.460891739004007,0.681197969240404,0.00111284116782267,2.95469872522807e-05,0.0455919060347134,0.000878016122797868,"sig","sig","Superpos","Th1/2"
"22","1110018J18Rik.1",0.376841991770465,0.669931102665841,0.0692495025974989,0.0022997764107934,0.243221173505252,0.0111883985002996,"ns","sig","Th2like","Th1/2"
"23","1110038D17Rik",0.34844555306056,0.667189303290965,0.143054698422799,0.0136222037103117,0.351975064639056,0.0357407303533436,"ns","sig","Th2like","Th1/2"
"24","1110057K04Rik.1",-0.544793336990094,1.24350365599056,0.200993278461837,0.00429605177082802,0.4184781061406,0.0166763801818987,"ns","sig","Th2like","Th1/2"
