"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","1110067D22Rik",0.0900305689508019,0.894241429079452,0.650770915972222,0.0215090815545201,0.759575146310035,0.0311699402188384,"ns","sig","Th2like","Th1/2"
"2","1500019G21Rik",0.300845897424059,0.597806077114079,0.245810413734424,0.00829805931713669,0.392837203257818,0.0135139823164798,"ns","sig","Th2like","Th1/2"
"3","1700019D03Rik",0.790173068742483,-0.476189629741192,0.000187445083281827,0.107205100312622,0.00418084033580771,0.128196308765443,"sig","ns","Th1like","Th1/2"
"4","1700025K23Rik",-0.0113760750355036,0.888485673999808,0.944309013795077,6.65795169655168e-06,0.961567680655485,7.74255978433777e-05,"ns","sig","Th2like","Th1/2"
"5","2010001M09Rik",0.212852114395698,0.974652541827623,0.644551424450822,0.0195243371261525,0.754919819048566,0.028864509930018,"ns","sig","Th2like","Th1/2"
"6","2210012G02Rik.2",0.390040147435516,0.510067413643616,0.488104615617541,0.164136787442521,0.629139868873866,0.190502651488718,"ns","ns","Ind","Th1/2"
"7","2310004I24Rik",0.15952296045725,0.576186660903632,0.135071995468989,0.0469991576215535,0.26190620374682,0.0615311347738418,"ns","ns","Ind","Th1/2"
"8","2310016E02Rik",0.13777631620117,0.766882512054028,0.443028939203792,0.000531122539144801,0.591858973467566,0.00144928650309193,"ns","sig","Th2like","Th1/2"
"9","2310022B05Rik",0.0737040511964462,0.776381894605437,0.498639581858194,4.37375649255595e-05,0.635642897998071,0.000246564514360572,"ns","sig","Th2like","Th1/2"
"10","2410022L05Rik",1.0294039332657,0.361478178327037,0.0025830544015023,0.0771097949955546,0.0212563044664733,0.0946347484036352,"sig","ns","Th1like","Th1/2"
"11","2410091C18Rik.1",0.370424272637846,0.448416362078413,0.136988059076897,0.0509213668015398,0.26190620374682,0.0656348270582661,"ns","ns","Ind","Th1/2"
"12","2510009E07Rik",0.184608841050001,0.744152126206087,0.27135538263282,0.00387056268868902,0.419293106297098,0.00706618739963511,"ns","sig","Th2like","Th1/2"
"13","2510009E07Rik.2",0.376095559508768,0.630772598829856,0.000440540998556533,0.000151920368114316,0.00753325107531672,0.00060530686395808,"sig","sig","Superpos","Th1/2"
"14","2810474O19Rik",0.272113269545946,0.804527569198933,0.354454892256725,0.0541172534268305,0.503699057417451,0.0688887121785708,"ns","ns","Ind","Th1/2"
"15","4631427C17Rik",0.530463004451432,0.706481304163696,0.0230621719610291,0.000277908610912234,0.0851143468777549,0.000934100067692092,"ns","sig","Th2like","Th1/2"
"16","4930539E08Rik",0.320701696466893,0.651818749918682,2.157209146574e-05,0.00107917654385698,0.00138331036524058,0.00249292702621286,"sig","sig","Superpos","Th1/2"
"17","4930570C03Rik",0.15928471531683,0.655432493270472,0.619503824808956,0.0137207854541825,0.733961806297909,0.0211209108089857,"ns","sig","Th2like","Th1/2"
"18","4931428F04Rik",0.166902581854787,0.968680452344896,0.1373348319842,5.83052296970569e-06,0.26190620374682,7.47764570864755e-05,"ns","sig","Th2like","Th1/2"
"19","5730469M10Rik",0.311571551608862,0.732073055146383,0.165056720825126,1.86458886699933e-05,0.29926051573723,0.000145268398127992,"ns","sig","Th2like","Th1/2"
"20","5730469M10Rik.1",0.0341220563167277,0.851720609826141,0.750314698678102,4.76767260103766e-08,0.827766538541648,6.1145401108308e-06,"ns","sig","Th2like","Th1/2"
"21","9930111J21Rik",0.0020407407511973,0.798126823156084,0.989967667414668,0.00795328773579177,0.991901198015087,0.0131275384008094,"ns","sig","Th2like","Th1/2"
"22","A630077B13Rik",0.964367970427167,0.522595974959651,0.0517239855634885,0.0351978806550347,0.137483961627304,0.0484714825303518,"ns","sig","Th2like","Th1/2"
"23","Abtb1",0.182885662497488,0.87386951190987,0.278987790099426,0.000413073420356329,0.424690612228503,0.00121089522653027,"ns","sig","Th2like","Th1/2"
"24","Acsl6",0.492349425132934,-0.162921751217224,0.0110588580426287,0.468658450775243,0.0507912938740045,0.497767671320289,"ns","ns","Ind","Th1/2"
"25","Acsl6.2",0.391381394024014,-0.0854370146739952,0.0385995245572319,0.750026526696559,0.115798573671696,0.761908135040267,"ns","ns","Ind","Th1/2"
