"estimate","std_error","t_value","pvalue","gene","covariate","fit_name","model"
0.424539309176467,0.184060780042096,2.30651695097333,0.0499599897815451,"1110067D22Rik","(Intercept)","Th1model","Th1/2"
0.37960194877459,0.228390870949335,1.6620714619491,0.135073079629258,"1110067D22Rik","Th1","Th1model","Th1/2"
0.147827946859732,0.151606504762577,0.975076544975679,0.358080673584292,"1110067D22Rik","(Intercept)","Th2model","Th1/2"
0.968277452696176,0.247011906175538,3.9199626758399,0.0044186292530944,"1110067D22Rik","Th2","Th2model","Th1/2"
0.126323607625538,0.165904623598089,0.761423068784159,0.471272744037399,"1110067D22Rik","(Intercept)","mixedmodel","Th1/2"
0.0900305689508019,0.190436641386255,0.472758647156545,0.650770915972222,"1110067D22Rik","Th1","mixedmodel","Th1/2"
0.894241429079452,0.303477595314717,2.94664727441276,0.0215090815545201,"1110067D22Rik","Th2","mixedmodel","Th1/2"
-0.240044414074086,0.157884581338794,-1.52037907716264,0.166905229525995,"1500019G21Rik","(Intercept)","Th1model","Th1/2"
1.00472907271872,0.219271996005888,4.582113042341,0.00179702755653043,"1500019G21Rik","Th1","Th1model","Th1/2"
0.167811453768753,0.0671109369663086,2.50050828306865,0.0369127913078303,"1500019G21Rik","(Intercept)","Th2model","Th1/2"
0.767254557513992,0.0988751590898355,7.75983133252795,5.43454793478447e-05,"1500019G21Rik","Th2","Th2model","Th1/2"
0.0331643577501606,0.124452130507207,0.266482844568418,0.7975465612309,"1500019G21Rik","(Intercept)","mixedmodel","Th1/2"
0.300845897424059,0.237520545091641,1.26660999918127,0.245810413734424,"1500019G21Rik","Th1","mixedmodel","Th1/2"
0.597806077114079,0.164277408930394,3.63900356723653,0.00829805931713669,"1500019G21Rik","Th2","mixedmodel","Th1/2"
-0.0651757311120181,0.0578785398712266,-1.12607766638597,0.292776582544767,"1700019D03Rik","(Intercept)","Th1model","Th1/2"
0.617469819343834,0.0676467395412084,9.12785780263201,1.67037081316968e-05,"1700019D03Rik","Th1","Th1model","Th1/2"
0.0599764902313103,0.127498543879202,0.470409217285922,0.650620799692149,"1700019D03Rik","(Intercept)","Th2model","Th1/2"
1.07756601668305,0.371564558637138,2.90007750102824,0.0198893399129831,"1700019D03Rik","Th2","Th2model","Th1/2"
-0.0732468081859007,0.0509209325768183,-1.43844200173282,0.193476331369258,"1700019D03Rik","(Intercept)","mixedmodel","Th1/2"
0.790173068742483,0.110711758068801,7.13721001748914,0.000187445083281827,"1700019D03Rik","Th1","mixedmodel","Th1/2"
-0.476189629741192,0.257788599805071,-1.84720980718801,0.107205100312622,"1700019D03Rik","Th2","mixedmodel","Th1/2"
0.205830782738774,0.44692907267891,0.460544626253593,0.657385595875221,"1700025K23Rik","(Intercept)","Th1model","Th1/2"
1.60850093581299,0.340277507880644,4.72702690762974,0.00148861813481571,"1700025K23Rik","Th1","Th1model","Th1/2"
0.0571782065400773,0.0945621946422672,0.604662431496909,0.562156558531308,"1700025K23Rik","(Intercept)","Th2model","Th1/2"
0.883816787137677,0.0350019815524992,25.250478628247,6.47983434821958e-09,"1700025K23Rik","Th2","Th2model","Th1/2"
0.0590408024070332,0.104276779842099,0.566193187941125,0.5889453164841,"1700025K23Rik","(Intercept)","mixedmodel","Th1/2"
-0.0113760750355036,0.157128614442391,-0.0723997667507881,0.944309013795077,"1700025K23Rik","Th1","mixedmodel","Th1/2"
0.888485673999808,0.0745503910393533,11.9179210412297,6.65795169655168e-06,"1700025K23Rik","Th2","mixedmodel","Th1/2"
0.358299016856805,0.491314670626474,0.729265862140732,0.486638583613087,"2010001M09Rik","(Intercept)","Th1model","Th1/2"
0.719739638961568,0.579196453322415,1.24265201354905,0.249183169494614,"2010001M09Rik","Th1","Th1model","Th1/2"
-0.161258542976819,0.142779310932263,-1.12942513816531,0.291443730657282,"2010001M09Rik","(Intercept)","Th2model","Th1/2"
1.03395899054298,0.284226770697111,3.63779593318051,0.00661001138955814,"2010001M09Rik","Th2","Th2model","Th1/2"
-0.000250140359255095,0.366281160107538,-0.00068291898819381,0.999474164102581,"2010001M09Rik","(Intercept)","mixedmodel","Th1/2"
0.212852114395698,0.441656571839589,0.481940330943398,0.644551424450822,"2010001M09Rik","Th1","mixedmodel","Th1/2"
0.974652541827623,0.323270281159739,3.01497724545243,0.0195243371261525,"2010001M09Rik","Th2","mixedmodel","Th1/2"
-0.0396091370554542,0.220479964443351,-0.179649598345391,0.861894571870665,"2210012G02Rik.2","(Intercept)","Th1model","Th1/2"
1.06602151138362,0.33420702299975,3.18970409961858,0.0128090909216409,"2210012G02Rik.2","Th1","Th1model","Th1/2"
0.0220956421950157,0.174065179018372,0.126938899092986,0.902121333166886,"2210012G02Rik.2","(Intercept)","Th2model","Th1/2"
0.706068191426963,0.18411253049895,3.83498173379889,0.00498254708360388,"2210012G02Rik.2","Th2","Th2model","Th1/2"
-0.0479682949291722,0.203310389128165,-0.235936270324746,0.820236607535355,"2210012G02Rik.2","(Intercept)","mixedmodel","Th1/2"
0.390040147435516,0.533042910822652,0.731723730897316,0.488104615617541,"2210012G02Rik.2","Th1","mixedmodel","Th1/2"
0.510067413643616,0.328233452727476,1.55397754069605,0.164136787442521,"2210012G02Rik.2","Th2","mixedmodel","Th1/2"
-0.124911475174931,0.0795600710113858,-1.57002719564007,0.155049140268012,"2310004I24Rik","(Intercept)","Th1model","Th1/2"
0.253082615864779,0.108847792322413,2.32510564031593,0.0485310762802309,"2310004I24Rik","Th1","Th1model","Th1/2"
0.0874195209976547,0.0661453008121165,1.32162859529458,0.222834140970048,"2310004I24Rik","(Intercept)","Th2model","Th1/2"
0.742615838809038,0.242137716623772,3.06691518018607,0.0154199104017206,"2310004I24Rik","Th2","Th2model","Th1/2"
-0.00400243006090033,0.0805129720429002,-0.0497116173871671,0.961740912599831,"2310004I24Rik","(Intercept)","mixedmodel","Th1/2"
0.15952296045725,0.0944485583003998,1.68899307017347,0.135071995468989,"2310004I24Rik","Th1","mixedmodel","Th1/2"
0.576186660903632,0.239406402025404,2.40673037992731,0.0469991576215535,"2310004I24Rik","Th2","mixedmodel","Th1/2"
0.12547259906074,0.21380670772343,0.586850620341834,0.573487633176153,"2310016E02Rik","(Intercept)","Th1model","Th1/2"
1.02279826668079,0.196160422442322,5.21409086474377,0.000808385778857371,"2310016E02Rik","Th1","Th1model","Th1/2"
0.154147826094114,0.0812748373966048,1.89662423244113,0.094457692628852,"2310016E02Rik","(Intercept)","Th2model","Th1/2"
0.856685903583188,0.0620441569876836,13.8076806129101,7.31079125551324e-07,"2310016E02Rik","Th2","Th2model","Th1/2"
0.122062251119653,0.0919558419326375,1.32740072358937,0.226029580399165,"2310016E02Rik","(Intercept)","mixedmodel","Th1/2"
0.13777631620117,0.169482846453809,0.812921892002321,0.443028939203792,"2310016E02Rik","Th1","mixedmodel","Th1/2"
0.766882512054028,0.127371490317064,6.02083331320877,0.000531122539144801,"2310016E02Rik","Th2","mixedmodel","Th1/2"
0.367075630426918,0.192019532868633,1.91165776180721,0.0922950649701902,"2310022B05Rik","(Intercept)","Th1model","Th1/2"
0.817898785229021,0.203223370894489,4.02462955726515,0.00381647536197522,"2310022B05Rik","Th1","Th1model","Th1/2"
0.111287419892254,0.0627494491860482,1.77352026728225,0.114072290160751,"2310022B05Rik","(Intercept)","Th2model","Th1/2"
0.826028542390936,0.0499408568549454,16.5401355605523,1.80231690633433e-07,"2310022B05Rik","Th2","Th2model","Th1/2"
0.109565300788949,0.0648132351240998,1.69047727025447,0.134781122667954,"2310022B05Rik","(Intercept)","mixedmodel","Th1/2"
0.0737040511964462,0.103302299018115,0.713479292300372,0.498639581858194,"2310022B05Rik","Th1","mixedmodel","Th1/2"
0.776381894605437,0.0865971651282894,8.96544238434672,4.37375649255595e-05,"2310022B05Rik","Th2","mixedmodel","Th1/2"
-0.201575535419948,0.104220648097663,-1.93412283553502,0.0891515659194305,"2410091C18Rik.1","(Intercept)","Th1model","Th1/2"
