"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","1110067D22Rik",0.0900305689508019,0.894241429079452,0.650770915972222,0.0215090815545201,0.761600897295002,0.031328444872888,"ns","sig","Th2like","Th1/2"
"2","2010001M09Rik",0.212852114395698,0.974652541827623,0.644551424450822,0.0195243371261525,0.757630621722896,0.0290695686100493,"ns","sig","Th2like","Th1/2"
"3","2310004I24Rik",0.15952296045725,0.576186660903632,0.135071995468989,0.0469991576215535,0.264601098377125,0.062231298926628,"ns","ns","Ind","Th1/2"
"4","2510009E07Rik",0.184608841050001,0.744152126206087,0.27135538263282,0.00387056268868902,0.416638317362384,0.00700885676059904,"ns","sig","Th2like","Th1/2"
"5","2510009E07Rik.2",0.376095559508768,0.630772598829856,0.000440540998556533,0.000151920368114316,0.00536659034605231,0.000550198089927523,"sig","sig","Superpos","Th1/2"
"6","4930539E08Rik",0.320701696466893,0.651818749918682,2.157209146574e-05,0.00107917654385698,0.000825902930402617,0.00246121668474883,"sig","sig","Superpos","Th1/2"
"7","5730469M10Rik",0.311571551608862,0.732073055146383,0.165056720825126,1.86458886699933e-05,0.301057876192108,0.000121293183064128,"ns","sig","Th2like","Th1/2"
"8","5730469M10Rik.1",0.0341220563167277,0.851720609826141,0.750314698678102,4.76767260103766e-08,0.827507568912475,4.25912085692698e-06,"ns","sig","Th2like","Th1/2"
"9","9930111J21Rik",0.0020407407511973,0.798126823156084,0.989967667414668,0.00795328773579177,0.989967667414668,0.0132390131254174,"ns","sig","Th2like","Th1/2"
"10","Actr3b",0.744488845251594,0.212759847177125,0.0431303964700543,0.139605080176263,0.11675703286843,0.167776508911383,"ns","ns","Ind","Th1/2"
"11","Adar",0.128540116723564,0.408959670087976,0.438638629103869,0.418088805638711,0.587775762999185,0.449991164301906,"ns","ns","Ind","Th1/2"
"12","Adora3.1",-0.10611756763442,0.427573712970605,0.663899979509458,4.83619067249066e-05,0.770238937266384,0.000249249826966826,"ns","sig","Th2like","Th1/2"
"13","Aff4",0.748261114051523,0.220138002352528,0.00301623720480075,0.202488851955403,0.0186235972754055,0.233909535879517,"sig","ns","Th1like","Th1/2"
"14","AI451557",0.365072661487496,0.458865790801737,0.0939242392615061,0.000929259180526733,0.19820233166995,0.00218651340174875,"ns","sig","Th2like","Th1/2"
"15","AI451617",-0.0862734932951493,-0.485381276613396,0.0743005101919959,0.358676559313168,0.167332241440798,0.393956220884955,"ns","ns","Ind","Th1/2"
"16","Akr1c18",0.00174182233233748,0.945106431513199,0.965068585930543,8.20956225068215e-10,0.979690837232521,2.20016268318282e-07,"ns","sig","Th2like","Th1/2"
"17","Amica1",0.234021645674269,0.92235690761287,0.0446085965963598,0.109449999970454,0.119551038878244,0.132128828793161,"ns","ns","Ind","Th1/2"
"18","Antxr2",0.433094871357713,0.769211725161275,0.0400253913828126,0.00120931405121893,0.112318115899209,0.00268100680498474,"ns","sig","Th2like","Th1/2"
"19","Aqp9",0.501335122308851,0.756518885317405,5.03450810670785e-06,1.35101200959844e-05,0.000337312043149426,0.000100575338492328,"sig","sig","Superpos","Th1/2"
"20","Armcx6.1",0.549370402458158,0.502943341800697,0.0247271644864249,0.00736703484351817,0.0788914295519271,0.0123397833628929,"ns","sig","Th2like","Th1/2"
"21","Atp10a",-0.234601872469413,0.969853060501135,0.140912506062944,0.00522657833053993,0.269746797320493,0.0090956038479526,"ns","sig","Th2like","Th1/2"
"22","B930041F14Rik",0.340223129038074,0.641563882266851,0.00469329438828515,0.00998840338264781,0.0250096662643971,0.0160070891665221,"sig","sig","Superpos","Th1/2"
"23","BC006779",0.2180946394783,0.603005021563586,0.0926527727507514,0.00107036741643649,0.197070976961916,0.00246121668474883,"ns","sig","Th2like","Th1/2"
"24","BC094916",0.0728725266716408,0.930493524493036,0.0728519635154294,3.32205722013895e-07,0.166874583095172,1.27187333571034e-05,"ns","sig","Th2like","Th1/2"
"25","BC094916.1",0.270792809971311,0.812303947758354,0.00398095951343099,2.55074955104707e-06,0.0222270239499897,3.59789936674008e-05,"sig","sig","Superpos","Th1/2"
"26","Bst2",0.310651641992574,0.247547415092311,0.146992048364806,0.607434628139787,0.277421612406817,0.624436106985227,"ns","ns","Ind","Th1/2"
"27","Bzrap1",0.663190577316182,0.42597551114241,0.000609023893389623,1.65477816845655e-05,0.00680076680951746,0.000116705407670094,"sig","sig","Superpos","Th1/2"
"28","C030048B08Rik.1",0.304034949029094,0.676971850535396,0.230379350430735,0.0703574042969669,0.364607097526363,0.0881111418298464,"ns","ns","Ind","Th1/2"
"29","C730027P07Rik",-1.95553062574544,0.833293334007359,0.0307499028218794,3.29134207966847e-05,0.0905601533655349,0.00017641593547023,"ns","sig","Th2like","Th1/2"
"30","Casp1",0.480719857618829,0.733087703188607,0.00320995566801004,0.0101971185231948,0.0187014808484063,0.0161705784864864,"sig","sig","Superpos","Th1/2"
"31","Casp6",0.0499507954743937,1.28921495010493,0.824496221288596,0.00149930307489873,0.883602337548959,0.00318899384184809,"ns","sig","Th2like","Th1/2"
"32","Ccr5",0.291251068977439,0.328682534157935,0.000138271826563391,0.199909409296079,0.00247045663459925,0.231929531131382,"sig","ns","Th1like","Th1/2"
"33","Ccr5.1",0.351332501610638,0.951380510183443,2.6103726156829e-05,0.00817351251172577,0.000874474826253772,0.0134334842135259,"sig","sig","Superpos","Th1/2"
"34","Ccr5.2",0.405294862263943,0.783239189253095,0.000152447305318325,0.00822049033962033,0.00255349236408194,0.0134334842135259,"sig","sig","Superpos","Th1/2"
"35","Cd79b.1",0.590451542665652,0.297095241137132,0.0179843082887971,0.258950170744744,0.0625947353428263,0.292821290124858,"ns","ns","Ind","Th1/2"
"36","Cd80",0.102694291278312,0.799330639509645,0.185774090179918,0.000763291179165763,0.32095529016124,0.001894092926078,"ns","sig","Th2like","Th1/2"
"37","Cd86",-0.0751251852583382,1.0196566844204,0.50330828705737,7.85729614582116e-07,0.642993516226224,1.61981182083082e-05,"ns","sig","Th2like","Th1/2"
"38","Cd86.1",0.0202643860791591,1.02335428385316,0.843239358738143,2.52728506363206e-06,0.893233787121828,3.59789936674008e-05,"ns","sig","Th2like","Th1/2"
"39","Cd86.2",0.0352261433126792,0.956782072031218,0.63144245879536,4.76131210982215e-08,0.745491537256196,4.25912085692698e-06,"ns","sig","Th2like","Th1/2"
"40","Cdc42se1.1",0.283760632453952,0.819553587191841,0.110053791432855,0.000232922960540299,0.22514821453439,0.000800299402882053,"ns","sig","Th2like","Th1/2"
"41","Cercam",0.174779322309183,0.789554645713306,0.309292278166383,0.000236308860363923,0.448092948059245,0.000801655374399131,"ns","sig","Th2like","Th1/2"
"42","Ch25h",1.06089218313274,0.113886690260868,0.0015053184793915,0.927905052832328,0.011727838248607,0.93138035265567,"sig","ns","Th1like","Th1/2"
"43","Clec2e",0.252201673549199,0.586511700744191,0.133155064049326,0.000744863394738021,0.264337460483106,0.00186563915691392,"ns","sig","Th2like","Th1/2"
"44","Clpx",-0.778083026988493,1.3473135138159,0.00916137339355862,8.49072134362697e-06,0.0377730472226725,7.66462623813632e-05,"sig","sig","Superpos","Th1/2"
"45","Cox7a1",0.148500944767818,0.752830829852041,0.302314127002729,5.4731313301854e-05,0.442733257031319,0.000271629480831424,"ns","sig","Th2like","Th1/2"
"46","Csprs",0.208342401688718,0.623261622561315,0.00547458870842495,0.000392918739706486,0.026676177706507,0.00114458937218846,"sig","sig","Superpos","Th1/2"
"47","Ctsw",0.471748993087784,0.471375703577406,1.19120276083917e-05,9.6520743725381e-06,0.000532070566508163,8.08361228700066e-05,"sig","sig","Superpos","Th1/2"
"48","Cuedc1",0.646087753190124,0.488592787871534,0.0507784926882934,0.0049819169627667,0.130852269619833,0.00872649507203579,"ns","sig","Th2like","Th1/2"
"49","Cxcr3",0.710221004611559,-0.069250007597278,0.00013325124087228,0.608126208668449,0.00247045663459925,0.624436106985227,"sig","ns","Th1like","Th1/2"
"50","D14Ertd668e.1",-0.00159195105694997,0.888100981888163,0.981680383745668,8.49333005834878e-05,0.989967667414668,0.000379368742606245,"ns","sig","Th2like","Th1/2"
"51","D330045A20Rik",-0.313155327452279,0.533441266878305,0.537059269848363,4.95066002377303e-07,0.66023800146496,1.37242040290388e-05,"ns","sig","Th2like","Th1/2"
"52","D330045A20Rik.1",0.233877763717953,0.550199374218148,0.275167843929634,1.35691435961152e-07,0.416638317362384,6.06088413959812e-06,"ns","sig","Th2like","Th1/2"
"53","D330045A20Rik.2",0.801263278868702,0.477270802226206,0.300875420245981,0.000418040319783374,0.442733257031319,0.00120467533012843,"ns","sig","Th2like","Th1/2"
"54","Dbndd2.2",0.0187950187474084,0.805191809414367,0.894829462234599,2.9946458605154e-05,0.925772152051117,0.000167201060545443,"ns","sig","Th2like","Th1/2"
"55","Ddx26b",0.461537245986634,0.338639316086038,0.00337032782627014,0.0713262500569697,0.0192180395200085,0.0889090000710134,"sig","ns","Th1like","Th1/2"
"56","Ddx58",0.29306463851303,0.79749114035309,9.41650044287345e-05,6.74501487310636e-07,0.00243788729239171,1.60284899468035e-05,"sig","sig","Superpos","Th1/2"
"57","Ddx60",0.0616744687021488,0.851056990954822,0.427904434660792,0.000315206714602555,0.585119677230316,0.000993828229570409,"ns","sig","Th2like","Th1/2"
"58","Dnalc1.1",0.123521347599704,0.661885929610209,0.521575306358622,0.000252205254716823,0.650149684205166,0.000834456892149489,"ns","sig","Th2like","Th1/2"
"59","Dusp14",-0.0966187871852137,0.584572050066336,0.535576593811974,0.0283783063645342,0.66023800146496,0.0398187754224878,"ns","sig","Th2like","Th1/2"
"60","Edn1",-0.117993307238508,1.27170219142852,0.898137162437651,4.90263595665613e-06,0.925772152051117,6.10389967297219e-05,"ns","sig","Th2like","Th1/2"
"61","Efna5",-0.291332063405798,1.03777029530817,0.625709273418723,0.000489639437150322,0.741991527770875,0.00138129862269775,"ns","sig","Th2like","Th1/2"
"62","EG240327",0.575721391085089,0.555290026970638,0.00160047605236507,0.442892046010002,0.011727838248607,0.471012175915399,"sig","ns","Th1like","Th1/2"
