"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","1110067D22Rik",0.0900305689508019,0.894241429079452,0.650770915972222,0.0215090815545201,0.760335481791826,0.0309600416315062,"ns","sig","Th2like","Th1/2"
"2","1500019G21Rik",0.300845897424059,0.597806077114079,0.245810413734424,0.00829805931713669,0.395796428894412,0.0134524852410919,"ns","sig","Th2like","Th1/2"
"3","1700019D03Rik",0.790173068742483,-0.476189629741192,0.000187445083281827,0.107205100312622,0.00423982926470799,0.12859197638509,"sig","ns","Th1like","Th1/2"
"4","2010001M09Rik",0.212852114395698,0.974652541827623,0.644551424450822,0.0195243371261525,0.755955374355902,0.0286236423917359,"ns","sig","Th2like","Th1/2"
"5","2210012G02Rik.2",0.390040147435516,0.510067413643616,0.488104615617541,0.164136787442521,0.630026338093293,0.190623408399016,"ns","ns","Ind","Th1/2"
"6","2310004I24Rik",0.15952296045725,0.576186660903632,0.135071995468989,0.0469991576215535,0.263917570855485,0.0615123523761697,"ns","ns","Ind","Th1/2"
"7","2310022B05Rik",0.0737040511964462,0.776381894605437,0.498639581858194,4.37375649255595e-05,0.637604758794361,0.000238797049880928,"ns","sig","Th2like","Th1/2"
"8","2410091C18Rik.1",0.370424272637846,0.448416362078413,0.136988059076897,0.0509213668015398,0.263917570855485,0.0657273076922049,"ns","ns","Ind","Th1/2"
"9","2510009E07Rik",0.184608841050001,0.744152126206087,0.27135538263282,0.00387056268868902,0.421221590688201,0.00696408059517911,"ns","sig","Th2like","Th1/2"
"10","2510009E07Rik.2",0.376095559508768,0.630772598829856,0.000440540998556533,0.000151920368114316,0.00747346336836976,0.000586684348408944,"sig","sig","Superpos","Th1/2"
"11","2810474O19Rik",0.272113269545946,0.804527569198933,0.354454892256725,0.0541172534268305,0.504090041383067,0.0691013316606035,"ns","ns","Ind","Th1/2"
"12","4631427C17Rik",0.530463004451432,0.706481304163696,0.0230621719610291,0.000277908610912234,0.0842656283191448,0.000906375636459222,"ns","sig","Th2like","Th1/2"
"13","4930539E08Rik",0.320701696466893,0.651818749918682,2.157209146574e-05,0.00107917654385698,0.00128084293077831,0.00242803427168706,"sig","sig","Superpos","Th1/2"
"14","5730469M10Rik",0.311571551608862,0.732073055146383,0.165056720825126,1.86458886699933e-05,0.301418034298525,0.000140715827246488,"ns","sig","Th2like","Th1/2"
"15","5730469M10Rik.1",0.0341220563167277,0.851720609826141,0.750314698678102,4.76767260103766e-08,0.828836004353717,5.66161121373222e-06,"ns","sig","Th2like","Th1/2"
"16","9930111J21Rik",0.0020407407511973,0.798126823156084,0.989967667414668,0.00795328773579177,0.992056206797399,0.013080432021824,"ns","sig","Th2like","Th1/2"
"17","A630077B13Rik",0.964367970427167,0.522595974959651,0.0517239855634885,0.0351978806550347,0.138807305890718,0.0481815369197161,"ns","sig","Th2like","Th1/2"
"18","Abtb1",0.182885662497488,0.87386951190987,0.278987790099426,0.000413073420356329,0.42610675336729,0.00117490942915722,"ns","sig","Th2like","Th1/2"
"19","Acss1",0.240406535519003,0.878724724021688,0.0372517222920401,0.000121692766015107,0.11270425534216,0.000508250336972579,"ns","sig","Th2like","Th1/2"
"20","Actr3b",0.744488845251594,0.212759847177125,0.0431303964700543,0.139605080176263,0.123415291104071,0.164956251452052,"ns","ns","Ind","Th1/2"
"21","Actr3b.1",-0.241633276924891,0.761315946655083,0.70371246618141,0.0859088288912117,0.8073995686864,0.104632548008527,"ns","ns","Ind","Th1/2"
"22","Adamtsl4",0.0163879893938684,1.05808781560555,0.898985679613257,1.74459727873729e-07,0.926286763158996,1.03585463425027e-05,"ns","sig","Th2like","Th1/2"
"23","Adar",0.128540116723564,0.408959670087976,0.438638629103869,0.418088805638711,0.586910841758698,0.451345869723608,"ns","ns","Ind","Th1/2"
"24","Adh4",0.01734786952409,0.976126095486871,0.738551582169643,0.000219055891300636,0.825369899809682,0.000770752210131867,"ns","sig","Th2like","Th1/2"
"25","Adora3.1",-0.10611756763442,0.427573712970605,0.663899979509458,4.83619067249066e-05,0.769152415285348,0.000261044382890121,"ns","sig","Th2like","Th1/2"
"26","Aff4",0.748261114051523,0.220138002352528,0.00301623720480075,0.202488851955403,0.0234573683431503,0.23288669413757,"sig","ns","Th1like","Th1/2"
"27","AI451557",0.365072661487496,0.458865790801737,0.0939242392615061,0.000929259180526733,0.202790971132797,0.00214461130098346,"ns","sig","Th2like","Th1/2"
"28","AI451617",-0.0862734932951493,-0.485381276613396,0.0743005101919959,0.358676559313168,0.174716546243555,0.39437816128184,"ns","ns","Ind","Th1/2"
"29","Akr1b3",-0.205754063472036,1.0016990049918,0.820593777955737,0.0070564743417151,0.887331025692148,0.0118022018039249,"ns","sig","Th2like","Th1/2"
"30","Akr1c18",0.00174182233233748,0.945106431513199,0.965068585930543,8.20956225068215e-10,0.979503372472239,3.89954206907402e-07,"ns","sig","Th2like","Th1/2"
"31","Amica1",0.234021645674269,0.92235690761287,0.0446085965963598,0.109449999970454,0.126125496328994,0.130954030191349,"ns","ns","Ind","Th1/2"
"32","Anp32e",0.373280902774899,0.463595078545685,0.0547288365113718,0.0101917250895837,0.142934322937245,0.0160385142335018,"ns","sig","Th2like","Th1/2"
"33","Antxr2",0.433094871357713,0.769211725161275,0.0400253913828126,0.00120931405121893,0.118465735510852,0.00264961252693614,"ns","sig","Th2like","Th1/2"
"34","Anxa9",0.153498829941676,1.07286513092637,0.127702875394852,0.00106300606839738,0.257686220397993,0.00241592288272132,"ns","sig","Th2like","Th1/2"
"35","Apbb1ip",-0.698784950258583,1.37894820605248,0.212226067356143,0.00508376978180696,0.353562964558089,0.00878105689584839,"ns","sig","Th2like","Th1/2"
"36","Aqp9",0.501335122308851,0.756518885317405,5.03450810670785e-06,1.35101200959844e-05,0.000478278270137246,0.000114594768671296,"sig","sig","Superpos","Th1/2"
"37","Armc3.1",0.0183906830773368,0.934529932268915,0.841206946097262,3.90891061720417e-05,0.894935029445271,0.000218439122726115,"ns","sig","Th2like","Th1/2"
"38","Armcx3",0.373913431877655,0.677331782863589,0.373144345949672,0.007958410219594,0.524389243568326,0.013080432021824,"ns","sig","Th2like","Th1/2"
"39","Armcx6",0.262096009474275,0.830351690422544,0.213626464901414,0.000247137452088236,0.353562964558089,0.000838502069585086,"ns","sig","Th2like","Th1/2"
"40","Armcx6.1",0.549370402458158,0.502943341800697,0.0247271644864249,0.00736703484351817,0.0876522621720286,0.0122354599673816,"ns","sig","Th2like","Th1/2"
"41","Asb13.1",0.279622243271397,0.639352467115852,0.00985387605442289,6.32868112709777e-06,0.0472786982409179,7.5153088384286e-05,"sig","sig","Superpos","Th1/2"
"42","Asb2",-0.215709609589058,1.07920273321758,0.285870723515676,2.81491550123838e-06,0.435219851506237,4.45694954362743e-05,"ns","sig","Th2like","Th1/2"
"43","Atg2a.1",-0.0454389917271998,1.15308392675938,0.762937999739349,6.0655655076544e-05,0.836941223732542,0.000300209506591617,"ns","sig","Th2like","Th1/2"
"44","Atp10a",-0.234601872469413,0.969853060501135,0.140912506062944,0.00522657833053993,0.268448896590968,0.00899501705437126,"ns","sig","Th2like","Th1/2"
"45","Atp10d",0.220785976720501,0.746398429692417,0.298147754385674,0.00130077632559745,0.443950417972399,0.00275834265472674,"ns","sig","Th2like","Th1/2"
"46","Atp8b4",0.371279969112686,0.865658334207891,0.190524514415429,0.00222251125214385,0.3278954505338,0.00429535765431628,"ns","sig","Th2like","Th1/2"
"47","B930041F14Rik",0.340223129038074,0.641563882266851,0.00469329438828515,0.00998840338264781,0.0299350046874688,0.0159407691744679,"sig","sig","Superpos","Th1/2"
"48","Batf",-0.153918587496279,0.996253782620367,0.746340850442705,0.00780513332915172,0.82771596557016,0.0129179035935438,"ns","sig","Th2like","Th1/2"
"49","Bbs12",0.523162667681964,0.370543917945821,0.0824499553723152,0.260687388586559,0.186493946675475,0.293427747816624,"ns","ns","Ind","Th1/2"
"50","BC006779",0.2180946394783,0.603005021563586,0.0926527727507514,0.00107036741643649,0.200959210304141,0.00242106915622539,"ns","sig","Th2like","Th1/2"
"51","BC038156",0.370022434786476,0.607396862741073,0.0200640776283353,0.00601207429395181,0.0765470748264158,0.0102356103570864,"ns","sig","Th2like","Th1/2"
"52","BC057079",-0.0738083140453535,1.00935131894982,0.624190570365388,4.06500958615135e-06,0.739333096701227,5.67905751006439e-05,"ns","sig","Th2like","Th1/2"
"53","BC094916",0.0728725266716408,0.930493524493036,0.0728519635154294,3.32205722013895e-07,0.173892877737834,1.57081269266926e-05,"ns","sig","Th2like","Th1/2"
"54","BC094916.1",0.270792809971311,0.812303947758354,0.00398095951343099,2.55074955104707e-06,0.0274051560707206,4.32716441695485e-05,"sig","sig","Superpos","Th1/2"
"55","Bst2",0.310651641992574,0.247547415092311,0.146992048364806,0.607434628139787,0.276435646043738,0.629324507881293,"ns","ns","Ind","Th1/2"
"56","Btk",0.173087784694394,0.935462850711447,0.0860228885974588,0.000327178056075093,0.190512850252748,0.00100912197078641,"ns","sig","Th2like","Th1/2"
"57","Btla",0.0493067843960762,0.967654395752562,0.893141269319381,0.00028763809762383,0.926286763158996,0.000923162813319725,"ns","sig","Th2like","Th1/2"
"58","Bzrap1",0.663190577316182,0.42597551114241,0.000609023893389623,1.65477816845655e-05,0.00933181772129261,0.000131417495798096,"sig","sig","Superpos","Th1/2"
"59","C030048B08Rik",0.222728976617999,0.659190433436009,0.269982691505474,0.0203363293895133,0.421221590688201,0.0296311547853338,"ns","sig","Th2like","Th1/2"
"60","C030048B08Rik.1",0.304034949029094,0.676971850535396,0.230379350430735,0.0703574042969669,0.374760929639038,0.0872578773917997,"ns","ns","Ind","Th1/2"
"61","C730027P07Rik",-1.95553062574544,0.833293334007359,0.0307499028218794,3.29134207966847e-05,0.100042492057484,0.000193010800968213,"ns","sig","Th2like","Th1/2"
"62","Capsl",0.226556004231464,0.891741640668641,0.128029364239845,0.000185812435064443,0.257686220397993,0.000678930051197003,"ns","sig","Th2like","Th1/2"
"63","Car5b.1",0.0526828150920393,0.332992005641988,0.518094375116946,0.0158335751074562,0.648555681990433,0.0238004689115244,"ns","sig","Th2like","Th1/2"
"64","Car5b.2",0.19342985586177,0.32902979345162,0.000109686197888917,2.64662823393323e-05,0.00330420413312528,0.00018128881511391,"sig","sig","Superpos","Th1/2"
"65","Casp1",0.480719857618829,0.733087703188607,0.00320995566801004,0.0101971185231948,0.0234573683431503,0.0160385142335018,"sig","sig","Superpos","Th1/2"
"66","Casp6",0.0499507954743937,1.28921495010493,0.824496221288596,0.00149930307489873,0.887331025692148,0.00309638678511694,"ns","sig","Th2like","Th1/2"
"67","Casp6.1",-0.100753607538413,1.43633322121955,0.594167834443095,0.000752883863055846,0.709119902915754,0.00182459099465065,"ns","sig","Th2like","Th1/2"
"68","Ccr5",0.291251068977439,0.328682534157935,0.000138271826563391,0.199909409296079,0.00345679566408478,0.230478081105916,"sig","ns","Th1like","Th1/2"
"69","Ccr5.1",0.351332501610638,0.951380510183443,2.6103726156829e-05,0.00817351251172577,0.00137769665827709,0.0133416441342603,"sig","sig","Superpos","Th1/2"
"70","Ccr5.2",0.405294862263943,0.783239189253095,0.000152447305318325,0.00822049033962033,0.00362062350131022,0.0133723729839714,"sig","sig","Superpos","Th1/2"
"71","Ccrl2",0.126189405621616,0.691372373503699,0.110926931381023,0.0165673540081806,0.230088613126576,0.0248248995390719,"ns","sig","Th2like","Th1/2"
"72","Cd164",0.200462055458991,0.779518976513064,0.506380887672003,0.00123580721390409,0.641415791051204,0.00266629808152661,"ns","sig","Th2like","Th1/2"
"73","Cd1d1",0.442879252710359,0.679274075641118,0.00525715501279994,0.00059747476826349,0.0313857008086248,0.00153405683743329,"sig","sig","Superpos","Th1/2"
"74","Cd44.5",0.936983792402015,0.211588088737095,0.06545445497559,0.706030406364902,0.163683126039489,0.722768196170967,"ns","ns","Ind","Th1/2"
"75","Cd6.1",0.0246787061924182,0.6609818408994,0.890156629802971,0.000346583967915006,0.926286763158996,0.00102253034012191,"ns","sig","Th2like","Th1/2"
"76","Cd70",0.264018146007835,0.396190019656527,0.108941238899631,0.254858683658386,0.227960742190858,0.288233035089841,"ns","ns","Ind","Th1/2"
"77","Cd79b",0.662517340255919,0.221160018796268,0.00801555815091284,0.375656384023893,0.0408302506180345,0.410199499796205,"sig","ns","Th1like","Th1/2"
"78","Cd79b.1",0.590451542665652,0.297095241137132,0.0179843082887971,0.258950170744744,0.0711878869764885,0.292164681956659,"ns","ns","Ind","Th1/2"
"79","Cd80",0.102694291278312,0.799330639509645,0.185774090179918,0.000763291179165763,0.325190487761415,0.0018404228939276,"ns","sig","Th2like","Th1/2"
"80","Cd86",-0.0751251852583382,1.0196566844204,0.50330828705737,7.85729614582116e-07,0.639901461046032,1.96432403645529e-05,"ns","sig","Th2like","Th1/2"
"81","Cd86.1",0.0202643860791591,1.02335428385316,0.843239358738143,2.52728506363206e-06,0.894935029445271,4.32716441695485e-05,"ns","sig","Th2like","Th1/2"
"82","Cd86.2",0.0352261433126792,0.956782072031218,0.63144245879536,4.76131210982215e-08,0.742413781999495,5.66161121373222e-06,"ns","sig","Th2like","Th1/2"
"83","Cdc42se1.1",0.283760632453952,0.819553587191841,0.110053791432855,0.000232922960540299,0.229278732151781,0.000807579607712716,"ns","sig","Th2like","Th1/2"
"84","Cercam",0.174779322309183,0.789554645713306,0.309292278166383,0.000236308860363923,0.453475306461974,0.000813381946904807,"ns","sig","Th2like","Th1/2"
"85","Cetn4.1",0.226995690152846,0.780638832526386,0.130936935397636,0.00104839386403983,0.259146017974488,0.00239416867989865,"ns","sig","Th2like","Th1/2"
"86","Ch25h",1.06089218313274,0.113886690260868,0.0015053184793915,0.927905052832328,0.0163636676102944,0.931828541427814,"sig","ns","Th1like","Th1/2"
"87","Clcnkb",0.368040510733753,0.722055940704581,0.00247558902851395,4.55286090575108e-07,0.021671088387557,1.57081269266926e-05,"sig","sig","Superpos","Th1/2"
"88","Clec2e",0.252201673549199,0.586511700744191,0.133155064049326,0.000744863394738021,0.26244255362419,0.0018144108333362,"ns","sig","Th2like","Th1/2"
"89","Clpx",-0.778083026988493,1.3473135138159,0.00916137339355862,8.49072134362697e-06,0.0444046159381668,8.67108001694526e-05,"sig","sig","Superpos","Th1/2"
"90","Cox4nb",0.610274712319812,0.489479645463857,0.0479886953116168,0.0295435982276083,0.132175604616551,0.0411531060355248,"ns","sig","Th2like","Th1/2"
"91","Cox5b",0.66894779337863,0.157723744507868,0.0224373018566882,0.434542200635845,0.0839190423773771,0.466985396610919,"ns","ns","Ind","Th1/2"
"92","Cox7a1",0.148500944767818,0.752830829852041,0.302314127002729,5.4731313301854e-05,0.445960280516448,0.00028258015019979,"ns","sig","Th2like","Th1/2"
