gene,module
Hnrnpk,TF
Hnrnpl,TF
Hnrnpu,TF
Hnrpdl,TF
Homez,TF
Hopx,TF
Hoxa1,TF
Hoxa10,TF
Hoxa11,TF
Hoxa13,TF
Hoxa2,TF
Hoxa3,TF
Hoxa4,TF
Hoxa5,TF
Hoxa6,TF
Hoxa7,TF
Hoxa9,TF
Hoxb1,TF
Hoxb13,TF
Hoxb2,TF
Hoxb3,TF
Hoxb4,TF
Hoxb5,TF
Hoxb6,TF
Hoxb7,TF
Hoxb8,TF
Hoxb9,TF
Hoxc10,TF
Hoxc11,TF
Hoxc12,TF
Hoxc13,TF
Hoxc4,TF
Hoxc5,TF
Hoxc6,TF
Hoxc8,TF
Hoxc9,TF
Hoxd1,TF
Hoxd10,TF
Hoxd11,TF
Hoxd12,TF
Hoxd13,TF
Hoxd3,TF
Hoxd8,TF
Hoxd9,TF
Hsbp1,TF
Hsf1,TF
Hsf2,TF
Hsf3,TF
Hsf4,TF
Hsf5,TF
Hsfy2,TF
Htatsf1,TF
Id1,TF
Id2,TF
Id3,TF
Id4,TF
Igkv4-80,TF
Ikzf1,TF
Ikzf2,TF
Ikzf3,TF
Ikzf4,TF
Ikzf5,TF
Irf1,TF
Irf2,TF
Irf2bp1,TF
Irf3,TF
Irf4,TF
Irf5,TF
Irf6,TF
Irf7,TF
Irf8,TF
Irf9,TF
Irx1,TF
Irx2,TF
Irx3,TF
Irx4,TF
Irx5,TF
Irx6,TF
Isl1,TF
Isl2,TF
Isx,TF
Itgb3bp,TF
Jarid2,TF
Jdp2,TF
Jun,TF
Junb,TF
Jund,TF
Kat2a,TF
Kat2b,TF
Kat5,TF
Kcnip3,TF
Kdm5a,TF
Kdm5b,TF
Kdm5c,TF
Kdm5d,TF
Klf1,TF
Klf10,TF
Klf12,TF
Klf13,TF
Klf15,TF
Klf16,TF
Klf4,TF
Klf5,TF
Klf7,TF
Klf9,TF
Lbx1,TF
Lbx2,TF
Lcor,TF
Lef1,TF
Lhx1,TF
Lhx2,TF
Lhx3,TF
Lhx4,TF
Lhx5,TF
Lhx6,TF
Lhx8,TF
Lhx9,TF
Lmx1a,TF
Lmx1b,TF
Lpp,TF
Lsr,TF
Lyl1,TF
Lztfl1,TF
Lzts1,TF
Lzts2,TF
Mafa,TF
Mafb,TF
Maff,TF
Mafg,TF
Mafk,TF
Maml1,TF
Maml3,TF
Max,TF
Maz,TF
Mbd1,TF
Mbd2,TF
Mdfi,TF
Mdm2,TF
Mdm4,TF
Mecom,TF
Mecp2,TF
Med1,TF
Med12,TF
Med13l,TF
Med14,TF
Med15,TF
Med16,TF
Med17,TF
Med21,TF
Med23,TF
Med24,TF
Med31,TF
Med6,TF
Mef2a,TF
Mef2b,TF
Mef2d,TF
Meis1,TF
Meis2,TF
Meis3,TF
Meox1,TF
Meox2,TF
Mesp2,TF
Mitf,TF
Mixl1,TF
Mkl2,TF
Mkx,TF
Mll1,TF
Mllt1,TF
Mllt10,TF
Mllt11,TF
Mllt3,TF
Mllt4,TF
Mllt6,TF
Mlx,TF
Mlxip,TF
Mlxipl,TF
Mn1,TF
Mnat1,TF
Mnt,TF
Mnx1,TF
Msc,TF
Msx1,TF
Msx2,TF
Msx3,TF
Mta1,TF
Mta2,TF
Mtf1,TF
Mtf2,TF
Mxd1,TF
Mxd3,TF
Mxd4,TF
Mxi1,TF
Myb,TF
Mybbp1a,TF
Mybl1,TF
Mybl2,TF
Myc,TF
Mycbp,TF
Mycl1,TF
Mycn,TF
Myef2,TF
Myf5,TF
Myf6,TF
Myod1,TF
Myog,TF
Myst3,TF
Myt1,TF
Myt1l,TF
Mzf1,TF
Nab2,TF
Nanog,TF
Ncoa1,TF
Ncoa2,TF
Ncoa3,TF
Ncoa4,TF
Ncoa5,TF
Ncoa6,TF
Ncoa7,TF
Ncor1,TF
Ncor2,TF
Neurod1,TF
Neurod2,TF
Neurod4,TF
Neurod6,TF
Neurog1,TF
Neurog2,TF
Neurog3,TF
Nfat5,TF
Nfatc1,TF
Nfatc2,TF
Nfatc3,TF
Nfatc4,TF
Nfe2,TF
Nfe2l1,TF
Nfe2l2,TF
Nfe2l3,TF
Nfia,TF
Nfic,TF
Nfil3,TF
Nfix,TF
Nfkb1,TF
Nfkb2,TF
Nfkbia,TF
Nfkbiz,TF
Nfx1,TF
Nfxl1,TF
Nfya,TF
Nfyb,TF
Nfyc,TF
Nhlh1,TF
Nhlh2,TF
Nkx1-2,TF
Nkx2-1,TF
Nkx2-3,TF
Nkx2-5,TF
Nkx2-6,TF
Nkx2-9,TF
Nkx3-1,TF
Nkx3-2,TF
Nkx6-1,TF
Nkx6-2,TF
Nobox,TF
Nop2,TF
Notch1,TF
Notch2,TF
Notch3,TF
Noto,TF
Npas1,TF
Npas2,TF
Npas3,TF
Npas4,TF
Npm1,TF
Nr0b1,TF
Nr1d1,TF
Nr1d2,TF
Nr1h2,TF
Nr1h3,TF
Nr1h4,TF
Nr1h5,TF
Nr1i2,TF
Nr1i3,TF
Nr2c1,TF
Nr2c2,TF
Nr2e1,TF
Nr2e3,TF
Nr2f1,TF
Nr2f2,TF
Nr2f6,TF
Nr3c1,TF
Nr3c2,TF
Nr4a1,TF
Nr4a2,TF
Nr4a3,TF
Nr5a1,TF
Nr5a2,TF
Nr6a1,TF
Nrf1,TF
Nrg1,TF
Nrip1,TF
Nrip3,TF
Nrl,TF
Nsd1,TF
Nufip1,TF
Nup98,TF
Obox1,TF
Obox2,TF
Obox3,TF
Obox5,TF
Obox6,TF
Olig1,TF
Olig2,TF
Olig3,TF
Onecut1,TF
Onecut2,TF
Onecut3,TF
Otx2,TF
Ovol1,TF
Ovol2,TF
Pabpn1,TF
Parp1,TF
Parp12,TF
Parp4,TF
Patz1,TF
Pax1,TF
Pax2,TF
Pax3,TF
Pax4,TF
Pax5,TF
Pax6,TF
Pax7,TF
Pax8,TF
Pax9,TF
Paxip1,TF
Pbrm1,TF
Pbx1,TF
Pbx2,TF
Pbx3,TF
Pbx4,TF
Pcbd1,TF
Pcbp1,TF
Pcbp2,TF
Pcbp3,TF
Pcgf2,TF
Pcgf6,TF
Pdcd7,TF
Pdx1,TF
Per1,TF
Per2,TF
Per3,TF
Pgr,TF
Pgs1,TF
Phb2,TF
Phf1,TF
Phf17,TF
Phf20,TF
Phf21a,TF
Phox2a,TF
Phox2b,TF
Pias1,TF
Pias2,TF
Pias3,TF
Pias4,TF
Pin1,TF
Pitx1,TF
Pitx2,TF
Pitx3,TF
Pknox1,TF
Pknox2,TF
Plag1,TF
Plagl1,TF
Plagl2,TF
