Tbx21
Eomes
Gata3
Maf
Rorc
Bcl6
Stat1
Stat4
Stat5a
Stat6
Ifng
Il4
Il5
Il13
Il10
Il18rap
Il18r1
Il12rb2
Ly6c1
Cxcr3
Il1rl1 
Ccr4
Cxcr5
Ccr6
S100a1
Hopx
Batf
Sell
Irf4
Irf8
Ebi3
Ctla4
Ikzf3
Jun
Runx3
Hlx
Pdcd1
Stat4.1
